年份,大中型工业企业流动资产合计,煤炭开采和洗选业大中型工业企业流动资产合计,石油和天然气开采业大中型工业企业流动资产合计,黑色金属矿采选业大中型工业企业流动资产合计,有色金属矿采选业大中型工业企业流动资产合计,非金属矿采选业大中型工业企业流动资产合计,其他采矿业大中型工业企业流动资产合计,农副食品加工业大中型工业企业流动资产合计,食品制造业大中型工业企业流动资产合计,饮料制造业大中型工业企业流动资产合计,烟草制品业大中型工业企业流动资产合计,纺织业大中型工业企业流动资产合计,纺织服装、鞋、帽制造业大中型工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业流动资产合计,家具制造业大中型工业企业流动资产合计,造纸及纸制品业大中型工业企业流动资产合计,印刷业和记录媒介的复制大中型工业企业流动资产合计,文教体育用品制造业大中型工业企业流动资产合计,石油加工、炼焦及核燃料加工业大中型工业企业流动资产合计,化学原料及化学制品制造业大中型工业企业流动资产合计,医药制造业大中型工业企业流动资产合计,化学纤维制造业大中型工业企业流动资产合计,橡胶制品业大中型工业企业流动资产合计,塑料制品业大中型工业企业流动资产合计,非金属矿物制品业大中型工业企业流动资产合计,黑色金属冶炼及压延加工业大中型工业企业流动资产合计,有色金属冶炼及压延加工业大中型工业企业流动资产合计,金属制品业大中型工业企业流动资产合计,通用设备制造业大中型工业企业流动资产合计,专用设备制造业大中型工业企业流动资产合计,交通运输设备制造业大中型工业企业流动资产合计,电气机械及器材制造业大中型工业企业流动资产合计,通信设备、计算机及其他电子设备制造大中型工业企业流动资产合计,仪器仪表及文化、办公用机械制造业大中型工业企业流动资产合计,工艺品及其他制造业大中型工业企业流动资产合计,废弃资源和废旧材料回收加工业大中型工业企业流动资产合计,电力、热力的生产和供应业大中型工业企业流动资产合计,燃气生产和供应业大中型工业企业流动资产合计,水的生产和供应业大中型工业企业流动资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,240505.34,14370.24677,4171.53261,1977.19327,915.65853,437.10122,0.04313,6263.83072,2892.47266,3851.66655,4060.35259,6569.76987,3330.93198,1865.82691,674.13817,1009.85085,3276.48357,834.60427,694.07611,7834.11291,13154.85763,5241.99159,2096.25077,1824.97504,2440.4238,7078.43988,20741.88688,9233.26993,4392.90416,11969.81931,10122.87327,28658.28206,18245.37464,24547.38301,2788.60108,1572.45741,347.21722,9455.08194,678.96378,884.39563
2010,195899.0,10629.13779,3329.11437,1755.54711,767.07479,292.73089,0.48,4634.76335,2174.68575,2888.78346,3671.88701,5659.99692,2484.48379,1573.8213,538.10214,809.74661,2559.58834,672.50687,591.20843,5903.88926,10216.45572,4139.03704,1666.71026,1445.32177,2033.39002,5434.73323,17081.46392,7641.45429,3527.16014,10108.66892,8151.56792,25454.25039,14616.59886,20306.13923,2135.00261,1118.1543,232.58404,8288.00996,592.7415,772.00276
2009,152364.09,7775.6058,2612.85875,860.08406,653.25894,251.9823,,3369.64801,1801.82589,2342.34639,3260.79625,4626.45622,1961.01532,1221.31879,457.50658,591.38978,1976.38281,569.81398,510.51419,4329.49791,7910.56027,3258.49773,1203.968,1136.44963,1575.91429,4291.57852,14737.64353,5850.04564,2737.68035,8202.68942,6101.76777,18589.45089,10509.84971,16106.57764,1696.45566,849.61762,104.65269,6419.4479,1248.41224,660.53271
2008,132898.77,6640.94916,2254.23274,846.31523,632.20242,203.42629,,2683.78439,1499.17981,1992.02673,2895.03146,4356.29696,1808.16537,1061.3155,474.46605,559.71083,1883.16268,540.88846,499.53239,4367.08148,7103.93689,2647.6291,1104.97341,1065.19405,1527.14015,3837.5091,12986.53037,4931.72444,2487.60541,7141.99489,5262.96424,14722.05787,8818.30603,14124.86299,1494.0614,711.14062,92.8908,6651.8669,419.77188,568.83975
2007,113694.45,4289.65329,1965.99477,573.52849,597.18383,167.21451,,2286.90981,1382.87689,1728.28341,2402.38398,4227.18658,1555.57643,1017.2741,402.54163,515.74339,1561.33498,498.78685,443.32605,3469.1104,6155.6744,2273.21992,1214.65243,905.87395,1364.97049,3034.17562,11151.95736,4244.83653,2169.01509,5831.15256,3910.70698,12457.23869,7587.35663,13690.70944,1244.88926,693.64118,21.08031,5705.08358,322.88751,630.41848
