年份,大中型工业企业主营业务税金及附加,煤炭开采和洗选业大中型工业企业主营业务税金及附加,石油和天然气开采业大中型工业企业主营业务税金及附加,黑色金属矿采选业大中型工业企业主营业务税金及附加,有色金属矿采选业大中型工业企业主营业务税金及附加,非金属矿采选业大中型工业企业主营业务税金及附加,其他采矿业大中型工业企业主营业务税金及附加,农副食品加工业大中型工业企业主营业务税金及附加,食品制造业大中型工业企业主营业务税金及附加,饮料制造业大中型工业企业主营业务税金及附加,烟草制品业大中型工业企业主营业务税金及附加,纺织业大中型工业企业主营业务税金及附加,纺织服装、鞋、帽制造业大中型工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业大中型工业企业主营业务税金及附加,家具制造业大中型工业企业主营业务税金及附加,造纸及纸制品业大中型工业企业主营业务税金及附加,印刷业和记录媒介的复制大中型工业企业主营业务税金及附加,文教体育用品制造业大中型工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业大中型工业企业主营业务税金及附加,化学原料及化学制品制造业大中型工业企业主营业务税金及附加,医药制造业大中型工业企业主营业务税金及附加,化学纤维制造业大中型工业企业主营业务税金及附加,橡胶制品业大中型工业企业主营业务税金及附加,塑料制品业大中型工业企业主营业务税金及附加,非金属矿物制品业大中型工业企业主营业务税金及附加,黑色金属冶炼及压延加工业大中型工业企业主营业务税金及附加,有色金属冶炼及压延加工业大中型工业企业主营业务税金及附加,金属制品业大中型工业企业主营业务税金及附加,通用设备制造业大中型工业企业主营业务税金及附加,专用设备制造业大中型工业企业主营业务税金及附加,交通运输设备制造业大中型工业企业主营业务税金及附加,电气机械及器材制造业大中型工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造大中型工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业大中型工业企业主营业务税金及附加,工艺品及其他制造业大中型工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业大中型工业企业主营业务税金及附加,电力、热力的生产和供应业大中型工业企业主营业务税金及附加,燃气生产和供应业大中型工业企业主营业务税金及附加,水的生产和供应业大中型工业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10748.54,391.99621,1235.21078,44.76014,22.29214,20.54601,0.00553,62.99686,47.08663,322.54845,3325.54541,85.10574,36.82299,24.44097,15.06902,13.44246,22.35839,7.44616,7.09574,2822.4858,321.15299,58.95183,12.15616,20.05142,22.45419,106.24695,162.75678,70.48121,43.01192,86.34564,61.3899,833.62135,109.71585,126.20966,17.88962,15.18168,4.5907,154.0485,7.00569,8.02623
2010,9300.84,273.60023,777.45849,42.29966,17.67513,16.67885,0.075,72.5301,35.08289,244.4773,2814.66423,56.76587,22.37805,15.35494,11.89273,7.27811,16.84978,4.08425,2.98309,2639.5094,287.43118,42.38062,7.98632,15.92227,15.04959,78.61218,175.74029,67.92739,36.10452,89.59835,50.85098,990.85299,109.41638,73.33305,10.73164,13.90988,4.06602,146.37046,5.39516,7.52448
2009,7303.89,207.35886,246.23468,32.57774,13.34488,14.7755,,77.41996,31.45194,212.83255,2268.06188,48.1053,16.90896,12.38849,10.22007,6.34396,16.21128,3.78078,5.51593,2365.08812,216.9235,37.91588,7.46652,13.05516,19.33977,71.26933,153.02537,65.30556,30.98489,54.22728,35.35148,700.87066,88.28355,54.69813,11.32539,11.1657,2.18403,130.11276,6.18747,5.5739
2008,4800.55,176.31419,543.63281,26.45089,13.23626,13.67653,,45.94018,24.13359,182.8123,1839.64013,41.32563,14.97561,11.45113,9.25919,4.4046,14.00306,3.3804,13.43906,406.94695,124.32475,26.53444,5.18515,12.25829,10.53651,62.08849,219.58421,80.43331,31.41981,50.89388,29.70548,463.94756,67.91005,58.63472,11.69635,10.85702,2.99298,137.70037,4.22074,4.60063
2007,3849.41,116.52079,258.08592,17.71007,10.18758,8.97977,,25.43407,12.22629,168.38241,1563.62759,32.74317,14.78519,8.28492,6.68269,3.95371,12.06155,2.56817,1.74818,400.65229,85.32983,23.40843,7.51891,11.29527,6.42657,42.13152,165.04911,87.94436,17.06998,50.14353,20.37996,444.16589,35.61457,41.1753,3.97873,5.73016,0.36607,129.19808,3.635,4.21555
