年份,大中型工业亏损企业亏损总额,煤炭开采和洗选业大中型工业亏损企业亏损总额,石油和天然气开采业大中型工业亏损企业亏损总额,黑色金属矿采选业大中型工业亏损企业亏损总额,有色金属矿采选业大中型工业亏损企业亏损总额,非金属矿采选业大中型工业亏损企业亏损总额,其他采矿业大中型工业亏损企业亏损总额,农副食品加工业大中型工业亏损企业亏损总额,食品制造业大中型工业亏损企业亏损总额,饮料制造业大中型工业亏损企业亏损总额,烟草制品业大中型工业亏损企业亏损总额,纺织业大中型工业亏损企业亏损总额,纺织服装、鞋、帽制造业大中型工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业大中型工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业大中型工业亏损企业亏损总额,家具制造业大中型工业亏损企业亏损总额,造纸及纸制品业大中型工业亏损企业亏损总额,印刷业和记录媒介的复制大中型工业亏损企业亏损总额,文教体育用品制造业大中型工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业大中型工业亏损企业亏损总额,化学原料及化学制品制造业大中型工业亏损企业亏损总额,医药制造业大中型工业亏损企业亏损总额,化学纤维制造业大中型工业亏损企业亏损总额,橡胶制品业大中型工业亏损企业亏损总额,塑料制品业大中型工业亏损企业亏损总额,非金属矿物制品业大中型工业亏损企业亏损总额,黑色金属冶炼及压延加工业大中型工业亏损企业亏损总额,有色金属冶炼及压延加工业大中型工业亏损企业亏损总额,金属制品业大中型工业亏损企业亏损总额,通用设备制造业大中型工业亏损企业亏损总额,专用设备制造业大中型工业亏损企业亏损总额,交通运输设备制造业大中型工业亏损企业亏损总额,电气机械及器材制造业大中型工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造大中型工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业大中型工业亏损企业亏损总额,工艺品及其他制造业大中型工业亏损企业亏损总额,废弃资源和废旧材料回收加工业大中型工业亏损企业亏损总额,电力、热力的生产和供应业大中型工业亏损企业亏损总额,燃气生产和供应业大中型工业亏损企业亏损总额,水的生产和供应业大中型工业亏损企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2927.52037,49.23882,164.26934,15.41333,2.89068,0.22339,,31.48083,21.81593,35.77818,0.07446,40.17011,13.15414,10.41117,3.37735,7.32686,30.48558,4.02609,7.9027,734.8938,208.21772,13.19083,22.13509,20.08189,18.89114,62.75146,194.53543,109.29282,15.64496,40.18342,56.07885,138.65268,108.54988,190.50536,8.95074,6.28327,0.96174,500.1627,5.73426,33.78337
2010,1442.09692,45.14302,125.0059,1.22427,2.36419,0.73085,,12.66179,23.61242,26.55484,1.31403,21.02656,6.95626,2.96594,3.00614,3.41481,19.18969,3.81253,4.11264,113.74368,155.59707,11.80786,3.74322,8.25611,10.02402,28.46683,116.53331,68.94168,7.81549,28.64109,24.93807,59.76747,39.87235,121.43206,3.61686,2.26267,0.39134,287.9073,7.46277,37.77979
2009,2077.49927,27.28528,140.20059,10.85865,4.85029,0.94089,,17.75011,15.59398,33.49523,0.17319,37.06887,8.92419,6.25124,4.45213,4.60085,36.29538,4.70461,5.40617,98.4101,259.00302,12.12543,14.63466,5.38904,17.05621,48.75637,182.66858,112.74515,21.54804,43.49949,33.7365,80.93148,32.70028,271.30698,5.45747,3.47805,0.7197,436.92767,6.55907,30.99433
2008,3921.80842,28.20942,66.07761,3.03882,2.9138,1.74759,,26.24203,33.86574,34.77538,0.69463,57.42839,13.56287,6.00004,2.55927,7.53499,27.76895,4.29373,9.93417,1528.69443,332.73663,12.60467,62.36293,22.10324,16.33949,56.63612,251.58025,145.36538,15.44759,39.05123,34.30115,87.20842,50.79997,216.0097,9.69633,4.87614,2.57213,667.34372,11.1751,28.25637
2007,1184.21878,26.10701,18.88992,2.00115,2.13144,0.77389,,9.03035,10.13594,25.92856,0.69995,38.61377,6.29971,5.17102,4.31233,4.50921,15.36172,2.69938,6.34455,367.2265,51.45367,17.05934,18.02549,9.7505,11.32534,48.16475,23.23561,17.79135,10.43782,20.06294,20.24661,64.444,35.69356,153.6615,4.06842,2.4518,0.00764,102.44842,9.62959,18.02403
