年份,大中型工业企业个人资本金,煤炭开采和洗选业大中型工业企业个人资本金,石油和天然气开采业大中型工业企业个人资本金,黑色金属矿采选业大中型工业企业个人资本金,有色金属矿采选业大中型工业企业个人资本金,非金属矿采选业大中型工业企业个人资本金,其他采矿业大中型工业企业个人资本金,农副食品加工业大中型工业企业个人资本金,食品制造业大中型工业企业个人资本金,饮料制造业大中型工业企业个人资本金,烟草制品业大中型工业企业个人资本金,纺织业大中型工业企业个人资本金,纺织服装、鞋、帽制造业大中型工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业个人资本金,家具制造业大中型工业企业个人资本金,造纸及纸制品业大中型工业企业个人资本金,印刷业和记录媒介的复制大中型工业企业个人资本金,文教体育用品制造业大中型工业企业个人资本金,石油加工、炼焦及核燃料加工业大中型工业企业个人资本金,化学原料及化学制品制造业大中型工业企业个人资本金,医药制造业大中型工业企业个人资本金,化学纤维制造业大中型工业企业个人资本金,橡胶制品业大中型工业企业个人资本金,塑料制品业大中型工业企业个人资本金,非金属矿物制品业大中型工业企业个人资本金,黑色金属冶炼及压延加工业大中型工业企业个人资本金,有色金属冶炼及压延加工业大中型工业企业个人资本金,金属制品业大中型工业企业个人资本金,通用设备制造业大中型工业企业个人资本金,专用设备制造业大中型工业企业个人资本金,交通运输设备制造业大中型工业企业个人资本金,电气机械及器材制造业大中型工业企业个人资本金,通信设备、计算机及其他电子设备制造大中型工业企业个人资本金,仪器仪表及文化、办公用机械制造业大中型工业企业个人资本金,工艺品及其他制造业大中型工业企业个人资本金,废弃资源和废旧材料回收加工业大中型工业企业个人资本金,电力、热力的生产和供应业大中型工业企业个人资本金,燃气生产和供应业大中型工业企业个人资本金,水的生产和供应业大中型工业企业个人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,11180.41018,349.64247,7.66126,144.04261,54.4068,29.42057,,433.01183,223.82763,192.12185,2.01789,743.32916,305.60479,122.03781,97.11886,88.83838,209.75075,64.54117,29.00853,300.42438,837.54125,437.52799,143.18547,108.17629,191.73838,710.93225,1033.67352,351.85666,322.0707,696.28139,453.08005,589.10211,969.8918,486.71784,170.71693,87.73518,12.08557,157.61333,14.85053,8.8262
2010,8498.33997,220.52596,7.59977,76.93788,42.67289,15.62153,1.98,347.18012,162.18857,161.11797,7.36401,626.82939,172.83852,105.57411,58.88373,56.29914,170.3662,49.59196,24.84221,242.40182,639.28167,318.57958,98.915,94.85104,127.79955,557.75608,860.60344,283.37835,247.28906,499.7825,351.1764,459.99858,673.40228,388.15931,89.1993,61.60811,6.42492,168.14498,13.86282,7.31122
2009,7357.64242,185.79222,7.17077,85.01418,44.48152,15.56395,,264.71154,145.18264,134.9827,0.76919,543.29052,146.5633,71.04979,66.90797,46.94839,151.29258,41.74759,24.2505,331.17584,577.07638,266.4552,103.19064,68.56509,109.81453,521.32103,714.65051,299.22446,184.3395,393.62749,248.78435,414.40503,518.18317,316.93637,79.93166,59.76335,2.78573,159.96407,5.6773,6.05137
2008,6801.24123,172.55022,3.84655,50.62379,40.02325,17.37391,,258.84164,148.82249,149.10783,0.16919,550.31467,136.39893,75.02437,50.14691,41.39849,143.9521,42.54062,23.78512,220.89925,583.79422,231.8614,130.20761,60.42419,108.83453,440.97956,625.83034,230.66515,204.99179,399.80474,213.10566,382.04084,463.75501,285.44848,86.75449,45.07432,2.65524,165.42351,7.3734,6.39742
2007,5387.79452,115.8626,12.48378,36.37752,25.33809,17.28367,,181.36695,93.31536,102.89289,0.05,498.32613,126.85849,61.24963,38.71896,33.61101,123.86328,42.50325,15.46521,147.65974,418.85139,206.77825,83.1386,55.81756,116.05813,385.95135,512.59831,165.87705,143.79243,329.08325,166.08165,299.78766,384.52313,221.35128,67.00937,33.28072,1.15049,110.8035,6.83393,5.79991
2006,4462.90636,83.39069,9.58966,25.50166,14.02491,12.5927,,143.53228,89.79169,83.12257,,467.34601,107.97392,54.7581,29.98175,24.09592,112.16774,34.11966,17.09838,129.1376,320.62411,185.18123,66.07924,46.7298,89.0195,308.74617,422.43143,149.12036,129.13463,256.67429,130.07292,255.83132,332.50871,160.09679,36.74537,30.0355,0.9496,94.78728,3.47911,6.43376
