年份,大中型工业企业流动负债合计,煤炭开采和洗选业大中型工业企业流动负债合计,石油和天然气开采业大中型工业企业流动负债合计,黑色金属矿采选业大中型工业企业流动负债合计,有色金属矿采选业大中型工业企业流动负债合计,非金属矿采选业大中型工业企业流动负债合计,其他采矿业大中型工业企业流动负债合计,农副食品加工业大中型工业企业流动负债合计,食品制造业大中型工业企业流动负债合计,饮料制造业大中型工业企业流动负债合计,烟草制品业大中型工业企业流动负债合计,纺织业大中型工业企业流动负债合计,纺织服装、鞋、帽制造业大中型工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业流动负债合计,家具制造业大中型工业企业流动负债合计,造纸及纸制品业大中型工业企业流动负债合计,印刷业和记录媒介的复制大中型工业企业流动负债合计,文教体育用品制造业大中型工业企业流动负债合计,石油加工、炼焦及核燃料加工业大中型工业企业流动负债合计,化学原料及化学制品制造业大中型工业企业流动负债合计,医药制造业大中型工业企业流动负债合计,化学纤维制造业大中型工业企业流动负债合计,橡胶制品业大中型工业企业流动负债合计,塑料制品业大中型工业企业流动负债合计,非金属矿物制品业大中型工业企业流动负债合计,黑色金属冶炼及压延加工业大中型工业企业流动负债合计,有色金属冶炼及压延加工业大中型工业企业流动负债合计,金属制品业大中型工业企业流动负债合计,通用设备制造业大中型工业企业流动负债合计,专用设备制造业大中型工业企业流动负债合计,交通运输设备制造业大中型工业企业流动负债合计,电气机械及器材制造业大中型工业企业流动负债合计,通信设备、计算机及其他电子设备制造大中型工业企业流动负债合计,仪器仪表及文化、办公用机械制造业大中型工业企业流动负债合计,工艺品及其他制造业大中型工业企业流动负债合计,废弃资源和废旧材料回收加工业大中型工业企业流动负债合计,电力、热力的生产和供应业大中型工业企业流动负债合计,燃气生产和供应业大中型工业企业流动负债合计,水的生产和供应业大中型工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,225041.60511,13486.25413,5474.50894,1600.06064,798.78946,360.09666,0.06833,5296.91394,2329.82063,3006.08698,1388.35962,5834.81059,2319.01646,1240.71173,510.54752,823.75529,3264.70345,589.66739,511.96809,8691.3667,13049.7626,3176.73877,2080.29951,1724.30709,1886.7107,6916.88964,25467.01729,8702.36984,3501.60795,9515.39356,7656.52415,24605.24287,14179.69937,19419.05212,1864.42559,1143.74454,275.81156,20572.44424,774.72231,1001.33486
2010,185563.7198,9680.54426,3879.21327,1216.4813,725.22044,242.25148,0.07,4196.74864,1947.16806,2431.91386,1245.20896,5175.5514,1771.64327,1105.29819,426.4987,678.70103,2578.585,493.75344,433.37884,6790.2203,10418.65268,2606.50506,1692.60616,1377.5764,1592.76642,5483.20976,20895.66439,7370.71785,2887.14245,8144.07024,6271.03356,22682.43664,11388.31892,15987.901,1446.84307,740.33702,225.17227,17804.31996,667.96984,862.02567
2009,151255.70965,7793.70638,3686.56464,710.98781,573.55673,235.45683,,3065.19999,1616.65432,2024.14716,1118.93287,4433.94328,1471.28197,913.12252,410.2123,506.70236,2161.12658,445.60831,382.28738,5662.31029,8063.50318,2307.35024,1296.48274,1129.04002,1360.1851,4416.00111,18028.50225,5668.17104,2386.60124,6898.42429,4969.70701,17409.14226,8524.52843,13341.5574,1145.19803,594.48191,117.0581,14440.43816,1261.37914,686.15628
2008,133353.58115,6642.8985,2736.42605,696.81493,508.99148,201.15637,,2529.11784,1416.07958,1787.37538,988.36153,4283.78901,1438.53443,856.55431,408.39685,499.47052,2114.6294,436.1919,407.27983,5203.74813,6973.13701,2051.38702,1260.97623,1140.36539,1327.80855,4059.68762,15648.18176,4813.59767,2177.24884,6163.05487,4439.75546,14254.39177,7294.26545,12033.2776,1024.47526,533.46701,98.73157,13796.74736,448.27602,658.93265
2007,112696.14141,4828.56502,2109.55799,463.89534,443.38557,166.76331,,2179.49211,1235.67822,1500.04843,875.78512,4256.04056,1264.12355,834.91245,365.76962,465.78175,1760.51325,429.71145,363.32165,3837.63466,5920.13899,1864.49941,1298.20942,944.67841,1220.28317,3266.58716,12630.86152,4136.50262,1898.36705,4869.32133,3385.2859,11927.58596,6456.75115,12090.57463,950.13885,543.41694,22.07199,10882.72634,391.38802,615.7725
