年份,大中型工业企业管理费用,煤炭开采和洗选业大中型工业企业管理费用,石油和天然气开采业大中型工业企业管理费用,黑色金属矿采选业大中型工业企业管理费用,有色金属矿采选业大中型工业企业管理费用,非金属矿采选业大中型工业企业管理费用,其他采矿业大中型工业企业管理费用,农副食品加工业大中型工业企业管理费用,食品制造业大中型工业企业管理费用,饮料制造业大中型工业企业管理费用,烟草制品业大中型工业企业管理费用,纺织业大中型工业企业管理费用,纺织服装、鞋、帽制造业大中型工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业管理费用,木材加工及木、竹、藤、棕、草制品业大中型工业企业管理费用,家具制造业大中型工业企业管理费用,造纸及纸制品业大中型工业企业管理费用,印刷业和记录媒介的复制大中型工业企业管理费用,文教体育用品制造业大中型工业企业管理费用,石油加工、炼焦及核燃料加工业大中型工业企业管理费用,化学原料及化学制品制造业大中型工业企业管理费用,医药制造业大中型工业企业管理费用,化学纤维制造业大中型工业企业管理费用,橡胶制品业大中型工业企业管理费用,塑料制品业大中型工业企业管理费用,非金属矿物制品业大中型工业企业管理费用,黑色金属冶炼及压延加工业大中型工业企业管理费用,有色金属冶炼及压延加工业大中型工业企业管理费用,金属制品业大中型工业企业管理费用,通用设备制造业大中型工业企业管理费用,专用设备制造业大中型工业企业管理费用,交通运输设备制造业大中型工业企业管理费用,电气机械及器材制造业大中型工业企业管理费用,通信设备、计算机及其他电子设备制造大中型工业企业管理费用,仪器仪表及文化、办公用机械制造业大中型工业企业管理费用,工艺品及其他制造业大中型工业企业管理费用,废弃资源和废旧材料回收加工业大中型工业企业管理费用,电力、热力的生产和供应业大中型工业企业管理费用,燃气生产和供应业大中型工业企业管理费用,水的生产和供应业大中型工业企业管理费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,22320.69846,2104.08089,784.61898,196.10744,155.46914,69.76767,0.03779,504.97766,290.54463,383.72028,360.58729,532.40385,347.08884,246.60534,84.50595,114.26192,212.80531,103.2062,97.06146,749.06771,1292.89803,620.53863,128.90024,183.31661,243.7193,698.30276,1395.99831,665.85874,374.7725,1039.61042,875.9421,2428.59632,1406.06007,2265.41925,283.65406,137.98864,19.94077,749.37114,74.32912,98.5631
2010,18908.24669,1784.29857,661.3503,155.42488,134.67999,44.83693,0.0007,444.24751,228.9082,308.86125,357.59449,413.51809,253.16126,180.73271,74.72775,92.96132,188.50269,84.47773,73.92207,687.1753,1102.5013,526.6836,84.57408,150.39179,190.02875,532.05293,1342.89868,537.65757,314.19606,892.43429,707.37056,2159.62418,1175.11369,1794.83508,220.21249,93.09805,17.36317,755.74649,57.39528,84.68691
2009,14443.72618,1307.50937,640.63135,93.68303,90.92507,40.37284,,240.29723,176.46139,239.577,336.51309,325.60832,196.91293,128.76587,42.5154,63.1309,132.99916,81.30837,60.01711,510.33769,853.06067,416.46938,68.0991,117.86066,140.02834,387.63242,1048.93702,351.50845,224.82752,664.91075,521.92926,1602.58871,875.42555,1441.5802,169.90195,70.95187,6.84653,648.09357,49.96544,75.54267
2008,13207.49765,1333.53149,481.04594,105.25072,95.70698,37.86717,,207.12953,157.9808,213.16375,299.45858,291.47667,182.61613,117.80021,39.66065,59.72371,122.03825,73.06831,58.21864,592.60242,830.30314,345.42604,81.31627,98.78832,130.62025,345.5226,973.77298,370.71221,202.62404,605.11773,452.20831,1297.01337,771.9256,1338.00739,160.13854,66.95232,8.09034,543.39581,46.60592,70.61652
2007,10826.25564,902.08073,424.99585,67.64175,88.00757,28.01033,,155.48812,115.96698,178.2675,248.00171,264.86892,159.22268,99.34874,33.73442,51.04671,104.14555,60.391,50.68316,430.82032,678.57405,288.89994,67.67877,85.86927,105.70273,281.55671,832.33794,293.11479,161.89981,506.17236,363.06306,1122.38966,594.48406,1107.05777,131.70755,63.67569,2.85518,572.94865,38.9218,64.62381
2006,8722.16936,769.80747,326.92221,52.52394,79.06914,28.88718,,113.25534,100.51232,143.85141,218.05613,235.11176,130.56488,75.65151,23.29854,38.67769,92.44154,52.83273,43.0135,260.89538,539.70766,246.45632,51.32418,64.56975,94.09328,224.10283,623.67966,250.0115,130.24651,420.35891,300.33832,905.37547,482.92345,893.9119,106.85948,46.88474,1.77423,466.06232,30.52126,57.59492
