年份,大中型工业企业利润总额,煤炭开采和洗选业大中型工业企业利润总额,石油和天然气开采业大中型工业企业利润总额,黑色金属矿采选业大中型工业企业利润总额,有色金属矿采选业大中型工业企业利润总额,非金属矿采选业大中型工业企业利润总额,其他采矿业大中型工业企业利润总额,农副食品加工业大中型工业企业利润总额,食品制造业大中型工业企业利润总额,饮料制造业大中型工业企业利润总额,烟草制品业大中型工业企业利润总额,纺织业大中型工业企业利润总额,纺织服装、鞋、帽制造业大中型工业企业利润总额,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业利润总额,木材加工及木、竹、藤、棕、草制品业大中型工业企业利润总额,家具制造业大中型工业企业利润总额,造纸及纸制品业大中型工业企业利润总额,印刷业和记录媒介的复制大中型工业企业利润总额,文教体育用品制造业大中型工业企业利润总额,石油加工、炼焦及核燃料加工业大中型工业企业利润总额,化学原料及化学制品制造业大中型工业企业利润总额,医药制造业大中型工业企业利润总额,化学纤维制造业大中型工业企业利润总额,橡胶制品业大中型工业企业利润总额,塑料制品业大中型工业企业利润总额,非金属矿物制品业大中型工业企业利润总额,黑色金属冶炼及压延加工业大中型工业企业利润总额,有色金属冶炼及压延加工业大中型工业企业利润总额,金属制品业大中型工业企业利润总额,通用设备制造业大中型工业企业利润总额,专用设备制造业大中型工业企业利润总额,交通运输设备制造业大中型工业企业利润总额,电气机械及器材制造业大中型工业企业利润总额,通信设备、计算机及其他电子设备制造大中型工业企业利润总额,仪器仪表及文化、办公用机械制造业大中型工业企业利润总额,工艺品及其他制造业大中型工业企业利润总额,废弃资源和废旧材料回收加工业大中型工业企业利润总额,电力、热力的生产和供应业大中型工业企业利润总额,燃气生产和供应业大中型工业企业利润总额,水的生产和供应业大中型工业企业利润总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,41743.78,3742.27451,4258.14533,693.00756,485.4055,133.03997,0.01461,1303.32436,812.38405,997.34025,803.39577,1147.47487,652.74673,489.57315,184.06476,172.89688,419.08056,170.85331,94.63659,208.01415,2445.37297,1109.94317,300.93286,272.84402,411.38364,1798.35322,1757.47691,1367.91861,711.74917,1588.71188,1268.27849,4744.95029,2297.54814,2434.09844,394.38059,232.18743,76.97828,1544.04497,187.18982,31.75954
2010,34977.19,2685.65748,2887.76678,491.31894,336.95703,62.16021,0.58,1013.02026,637.90418,703.18157,728.27531,885.78274,498.55699,376.12845,116.83078,122.82745,397.76066,135.14387,72.70977,1017.51489,1911.34962,911.99708,294.31668,242.62605,329.19253,1296.52705,1692.407,1069.76199,610.14507,1372.86089,1083.00812,4160.40729,2143.54664,2460.15863,330.19824,166.50576,37.46275,1527.52944,141.25818,25.85043
2009,22265.68,1670.91697,1790.13129,219.52017,186.98392,46.85922,,579.34644,451.29659,521.70115,640.95788,531.25207,356.51253,240.03634,82.26147,78.20846,271.20367,114.21413,53.22388,803.48186,1038.58923,689.16523,129.45712,204.50775,216.73833,834.39497,1109.36593,602.47915,355.61554,898.50272,659.03648,2548.48805,1479.73673,1500.01502,229.20568,99.93095,21.75716,929.57568,77.98794,3.02236
2008,19929.23,1754.8661,4454.19203,410.31356,254.12552,47.64258,,450.74477,280.00893,378.07413,702.69926,429.77951,258.85031,178.82356,75.30689,51.8286,233.00276,95.5061,28.56595,-1116.14038,929.34235,548.30294,43.69418,84.40945,195.52236,627.93948,1306.54873,535.06362,303.748,787.58663,571.44666,1731.92323,1218.34008,1326.17391,192.7571,94.22618,9.80327,394.94661,54.27875,4.98748
2007,19626.65,752.67783,3323.46919,189.40693,278.05685,30.96601,,404.10438,249.65496,336.76605,603.78348,413.28034,207.76933,137.91671,56.31956,52.51566,240.26141,83.36365,34.79207,87.9992,1146.2255,418.42274,122.55207,109.22529,164.12071,491.86251,1874.19693,980.68321,239.07374,634.28877,466.02523,1413.58284,844.30188,1254.77656,163.69655,72.72184,2.9662,1695.00849,34.16118,15.65191
