年份,大中型工业企业财务费用,煤炭开采和洗选业大中型工业企业财务费用,石油和天然气开采业大中型工业企业财务费用,黑色金属矿采选业大中型工业企业财务费用,有色金属矿采选业大中型工业企业财务费用,非金属矿采选业大中型工业企业财务费用,其他采矿业大中型工业企业财务费用,农副食品加工业大中型工业企业财务费用,食品制造业大中型工业企业财务费用,饮料制造业大中型工业企业财务费用,烟草制品业大中型工业企业财务费用,纺织业大中型工业企业财务费用,纺织服装、鞋、帽制造业大中型工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业财务费用,木材加工及木、竹、藤、棕、草制品业大中型工业企业财务费用,家具制造业大中型工业企业财务费用,造纸及纸制品业大中型工业企业财务费用,印刷业和记录媒介的复制大中型工业企业财务费用,文教体育用品制造业大中型工业企业财务费用,石油加工、炼焦及核燃料加工业大中型工业企业财务费用,化学原料及化学制品制造业大中型工业企业财务费用,医药制造业大中型工业企业财务费用,化学纤维制造业大中型工业企业财务费用,橡胶制品业大中型工业企业财务费用,塑料制品业大中型工业企业财务费用,非金属矿物制品业大中型工业企业财务费用,黑色金属冶炼及压延加工业大中型工业企业财务费用,有色金属冶炼及压延加工业大中型工业企业财务费用,金属制品业大中型工业企业财务费用,通用设备制造业大中型工业企业财务费用,专用设备制造业大中型工业企业财务费用,交通运输设备制造业大中型工业企业财务费用,电气机械及器材制造业大中型工业企业财务费用,通信设备、计算机及其他电子设备制造大中型工业企业财务费用,仪器仪表及文化、办公用机械制造业大中型工业企业财务费用,工艺品及其他制造业大中型工业企业财务费用,废弃资源和废旧材料回收加工业大中型工业企业财务费用,电力、热力的生产和供应业大中型工业企业财务费用,燃气生产和供应业大中型工业企业财务费用,水的生产和供应业大中型工业企业财务费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6091.06974,418.49572,72.99705,56.20319,24.66053,15.67414,,142.49938,43.10657,37.21289,-5.02873,260.48351,61.46007,46.69462,28.753,21.76133,123.06481,12.53819,10.06866,253.45593,461.28411,82.39744,73.07921,61.84169,51.94595,284.3548,747.87948,348.96734,95.57203,175.46167,140.07594,177.75862,330.1304,99.78771,26.00418,32.044,6.0645,1215.28904,13.95884,43.07193
2010,4677.75048,287.74905,40.68131,35.00449,20.66743,8.61941,0.007,120.99085,39.65357,33.90335,-3.19422,195.1674,42.88864,31.17306,20.18829,15.6076,98.26558,9.1671,10.10051,178.58671,340.44232,72.29909,57.01356,44.41607,42.52551,189.97335,572.84207,251.08916,73.30231,122.16164,92.1658,157.37495,225.36832,109.21879,18.98126,20.53803,5.13396,1044.18392,13.73011,39.76313
2009,3927.44187,222.04382,28.97297,18.98714,16.32386,9.06312,,101.88371,42.17736,35.75072,-4.74973,162.8216,34.52424,23.56232,17.11784,14.23249,91.25981,8.49598,9.13777,141.8469,277.39708,71.32483,49.47525,42.38355,37.41741,155.34264,453.66713,188.0377,65.35129,97.47239,72.971,147.76806,150.77715,114.08314,15.79058,16.24484,2.10051,950.05281,10.17149,36.1611
2008,4060.6085,202.30395,28.71047,23.14465,12.77263,8.64946,,100.50408,40.22908,32.2142,-3.00072,184.26024,38.09605,21.75163,19.42003,11.98126,85.04784,8.9619,8.80968,180.42368,254.75319,77.56755,57.63185,47.27441,40.73207,162.61574,518.88341,186.89311,64.08347,101.18667,84.12626,111.02637,197.49264,147.69546,15.07766,16.21586,1.43642,928.68434,10.46009,32.49182
2007,2946.26749,121.12998,19.15257,14.33658,11.81136,5.06105,,76.97222,34.76385,24.08136,4.10217,159.5151,34.84133,20.51597,16.08238,12.84571,75.84875,8.90148,8.85117,94.80468,197.92065,62.88424,51.24036,35.25573,36.35794,126.77424,377.76373,149.31178,51.86479,78.05448,56.60046,82.65433,134.76719,80.99877,10.73228,14.4965,0.19323,625.94486,6.00475,22.82947
2006,2368.02355,83.80548,14.9062,8.57111,9.48867,4.90654,,56.84833,27.21169,21.15542,10.5981,131.64947,27.28394,16.17264,10.97551,7.98064,69.49105,7.59225,6.69653,77.37419,164.1157,50.105,40.67306,28.03934,32.27593,104.8855,267.13512,108.41322,36.23847,60.00822,44.16065,92.80144,98.12533,86.38084,6.82357,10.56617,0.21966,519.78609,3.24359,21.31889
