年份,SCI收录科技论文篇数,SCI收录数学科技论文篇数,SCI收录力学科技论文篇数,SCI收录信息、系统科学科技论文篇数,SCI收录物理学科技论文篇数,SCI收录化学科技论文篇数,SCI收录天文学科技论文篇数,SCI收录地学科技论文篇数,SCI收录生物学科技论文篇数,SCI收录预防医学与卫生学科技论文篇数,SCI收录基础医学科技论文篇数,SCI收录药学科技论文篇数,SCI收录临床医学科技论文篇数,SCI收录中医学科技论文篇数,SCI收录军事医学与特种医学科技论文篇数,SCI收录农学科技论文篇数,SCI收录林学科技论文篇数,SCI收录畜牧、兽医科学科技论文篇数,SCI收录水产学科技论文篇数,SCI收录测绘科学技术科技论文篇数,SCI收录材料科学科技论文篇数,SCI收录工程与技术基础学科科技论文篇数,SCI收录矿山工程技术科技论文篇数,SCI收录能源科学技术科技论文篇数,SCI收录冶金、金属学科技论文篇数,SCI收录机械、仪表科技论文篇数,SCI收录动力与电气科技论文篇数,SCI收录核科学技术科技论文篇数,SCI收录电子、通讯与自动控制科技论文篇数,SCI收录计算技术科技论文篇数,SCI收录化工科技论文篇数,SCI收录轻工、纺织科技论文篇数,SCI收录食品科技论文篇数,SCI收录土木建筑科技论文篇数,SCI收录水利科技论文篇数,SCI收录交通运输科技论文篇数,SCI收录航空航天科技论文篇数,SCI收录环境科技论文篇数,SCI收录安全科学技术科技论文篇数,SCI收录管理科技论文篇数,SCI收录其他学科科技论文篇数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,376354.0,10169.0,3799.0,954.0,34403.0,52582.0,1816.0,14585.0,40243.0,4095.0,20689.0,13080.0,41975.0,1036.0,636.0,4346.0,954.0,1784.0,1539.0,3.0,30790.0,2106.0,632.0,10195.0,1772.0,5011.0,1202.0,1456.0,21513.0,14304.0,8147.0,806.0,5177.0,4902.0,2387.0,1004.0,1303.0,13571.0,161.0,920.0,307.0
2017,323878.0,9275.0,3135.0,853.0,31417.0,47224.0,1595.0,12547.0,37751.0,3188.0,21297.0,9782.0,34226.0,1031.0,466.0,4263.0,841.0,1390.0,1478.0,,24328.0,1623.0,392.0,7370.0,1646.0,4542.0,997.0,1422.0,16663.0,12049.0,7975.0,1096.0,4020.0,3102.0,1367.0,736.0,1027.0,10475.0,126.0,816.0,347.0
2016,290647.0,8746.0,2743.0,770.0,29470.0,45503.0,1544.0,10537.0,34657.0,3236.0,19260.0,8839.0,32109.0,1040.0,277.0,3775.0,688.0,1387.0,1285.0,2.0,21993.0,1488.0,377.0,6476.0,1676.0,4253.0,754.0,1246.0,13012.0,11401.0,4500.0,7.0,1965.0,2460.0,1803.0,690.0,898.0,8667.0,101.0,830.0,184.0
2015,265469.0,8693.0,2394.0,634.0,27490.0,44723.0,1447.0,9633.0,30516.0,2608.0,18283.0,7509.0,30696.0,1108.0,245.0,3316.0,617.0,1305.0,1044.0,2.0,20060.0,1959.0,539.0,5094.0,1949.0,3443.0,382.0,1220.0,10460.0,9782.0,4081.0,4.0,1738.0,1831.0,1205.0,537.0,731.0,7143.0,89.0,727.0,232.0
2014,235139.0,9410.0,2154.0,906.0,26520.0,41378.0,1324.0,8095.0,24885.0,2441.0,11589.0,5949.0,31014.0,930.0,119.0,2732.0,435.0,848.0,765.0,,17879.0,1854.0,408.0,4486.0,1966.0,3038.0,260.0,710.0,9781.0,7490.0,3329.0,,2427.0,1462.0,1092.0,512.0,654.0,5235.0,91.0,697.0,274.0
2013,192697.0,8934.0,1819.0,701.0,24453.0,36201.0,1201.0,6689.0,21518.0,1444.0,9411.0,4149.0,18632.0,1014.0,173.0,2561.0,368.0,895.0,788.0,9.0,16272.0,725.0,131.0,3013.0,1840.0,2761.0,728.0,450.0,6584.0,6665.0,2637.0,4.0,1857.0,1060.0,864.0,376.0,451.0,22.0,4820.0,256.0,221.0
2012,158615.0,7190.0,1650.0,1228.0,18822.0,33384.0,1092.0,4987.0,16731.0,1094.0,7478.0,3739.0,14757.0,813.0,106.0,2280.0,279.0,989.0,499.0,13.0,13242.0,541.0,85.0,2275.0,1698.0,1656.0,809.0,333.0,5447.0,5051.0,2366.0,20.0,1556.0,793.0,841.0,65.0,299.0,3842.0,361.0,157.0,47.0
2011,136445.0,6583.0,1170.0,1039.0,16677.0,26628.0,1003.0,3641.0,14320.0,925.0,5947.0,4167.0,10591.0,355.0,117.0,2819.0,188.0,384.0,720.0,3.0,12512.0,2141.0,99.0,2079.0,3665.0,1668.0,343.0,238.0,3383.0,3236.0,2292.0,2.0,1306.0,500.0,588.0,206.0,226.0,4178.0,34.0,431.0,41.0
2010,121530.0,6211.0,444.0,642.0,14707.0,30898.0,836.0,4084.0,16289.0,718.0,5269.0,1134.0,7767.0,281.0,332.0,1996.0,126.0,573.0,345.0,,8653.0,1311.0,77.0,941.0,1516.0,1652.0,8.0,172.0,5070.0,2241.0,1413.0,,611.0,791.0,73.0,20.0,318.0,3729.0,4.0,185.0,93.0
2009,108806.0,5620.0,514.0,447.0,13927.0,28799.0,822.0,3509.0,13122.0,573.0,4880.0,1312.0,7015.0,155.0,25.0,1273.0,93.0,544.0,265.0,2.0,6860.0,1478.0,72.0,759.0,1226.0,1504.0,13.0,372.0,4324.0,2736.0,1426.0,3.0,391.0,727.0,65.0,9.0,283.0,3.0,3288.0,191.0,179.0
2008,95506.0,5281.0,473.0,312.0,13426.0,23734.0,667.0,3351.0,10081.0,454.0,4220.0,1788.0,6068.0,,525.0,1707.0,92.0,104.0,318.0,,7516.0,411.0,28.0,778.0,1143.0,1472.0,25.0,198.0,3302.0,2040.0,1617.0,6.0,649.0,484.0,40.0,13.0,371.0,2439.0,1.0,243.0,129.0
2007,79669.0,4565.0,270.0,355.0,10966.0,23356.0,611.0,3039.0,7667.0,361.0,2077.0,1102.0,4831.0,63.0,38.0,993.0,64.0,63.0,276.0,1.0,7501.0,65.0,22.0,398.0,1137.0,1210.0,38.0,188.0,2847.0,1770.0,951.0,1.0,203.0,428.0,53.0,7.0,108.0,1797.0,18.0,190.0,39.0
2006,71351.0,3670.0,224.0,6.0,10239.0,20317.0,622.0,2044.0,7076.0,156.0,1692.0,505.0,3196.0,,92.0,1166.0,33.0,38.0,171.0,,5929.0,651.0,12.0,333.0,1218.0,763.0,11.0,87.0,2468.0,5157.0,936.0,,122.0,351.0,11.0,2.0,101.0,1516.0,7.0,155.0,274.0
2005,63150.0,3063.0,369.0,292.0,9351.0,18656.0,339.0,1989.0,4963.0,300.0,1698.0,864.0,2393.0,7.0,253.0,678.0,46.0,193.0,192.0,2.0,6657.0,160.0,14.0,119.0,1132.0,968.0,1502.0,58.0,444.0,3844.0,1006.0,1.0,89.0,352.0,3.0,4.0,65.0,981.0,24.0,64.0,15.0
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
