年份,CPCI-S收录科技论文篇数,CPCI-S收录数学科技论文篇数,CPCI-S收录力学科技论文篇数,CPCI-S收录信息、系统科学科技论文篇数,CPCI-S收录物理学科技论文篇数,CPCI-S收录化学科技论文篇数,CPCI-S收录天文学科技论文篇数,CPCI-S收录地学科技论文篇数,CPCI-S收录生物学科技论文篇数,CPCI-S收录预防医学与卫生学科技论文篇数,CPCI-S收录基础医学科技论文篇数,CPCI-S收录药学科技论文篇数,CPCI-S收录临床医学科技论文篇数,CPCI-S收录中医学科技论文篇数,CPCI-S收录军事医学与特种医学科技论文篇数,CPCI-S收录农学科技论文篇数,CPCI-S收录林学科技论文篇数,CPCI-S收录畜牧、兽医科学科技论文篇数,CPCI-S收录水产学科技论文篇数,CPCI-S收录测绘科学技术科技论文篇数,CPCI-S收录材料科学科技论文篇数,CPCI-S收录工程与技术基础学科科技论文篇数,CPCI-S收录矿山工程技术科技论文篇数,CPCI-S收录能源科学技术科技论文篇数,CPCI-S收录冶金、金属学科技论文篇数,CPCI-S收录机械、仪表科技论文篇数,CPCI-S收录动力与电气科技论文篇数,CPCI-S收录核科学技术科技论文篇数,CPCI-S收录电子、通讯与自动控制科技论文篇数,CPCI-S收录计算技术科技论文篇数,CPCI-S收录化工科技论文篇数,CPCI-S收录轻工、纺织科技论文篇数,CPCI-S收录食品科技论文篇数,CPCI-S收录土木建筑科技论文篇数,CPCI-S收录水利科技论文篇数,CPCI-S收录交通运输科技论文篇数,CPCI-S收录航空航天科技论文篇数,CPCI-S收录环境科技论文篇数,CPCI-S收录安全科学技术科技论文篇数,CPCI-S收录管理科技论文篇数,CPCI-S收录其他学科科技论文篇数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,61462.0,272.0,122.0,139.0,3781.0,1361.0,35.0,1913.0,738.0,47.0,709.0,32.0,5578.0,,,263.0,3.0,,29.0,,2314.0,930.0,,5183.0,1.0,654.0,690.0,1082.0,16033.0,15715.0,186.0,102.0,74.0,84.0,133.0,330.0,222.0,2431.0,83.0,21.0,172.0
2017,66605.0,298.0,56.0,5.0,4263.0,1530.0,25.0,930.0,1117.0,93.0,997.0,114.0,3199.0,,68.0,192.0,,2.0,31.0,,2332.0,3394.0,24.0,4198.0,156.0,3590.0,966.0,807.0,15551.0,18796.0,316.0,,27.0,947.0,22.0,94.0,302.0,867.0,122.0,949.0,225.0
2016,71462.0,342.0,290.0,249.0,4082.0,340.0,44.0,1992.0,588.0,98.0,1134.0,251.0,3713.0,,,80.0,4.0,6.0,6.0,214.0,2398.0,3785.0,2.0,3281.0,28.0,3331.0,930.0,130.0,17964.0,17915.0,244.0,2.0,117.0,1694.0,67.0,211.0,417.0,1614.0,471.0,1088.0,2556.0
2015,36853.0,110.0,2.0,151.0,1174.0,98.0,80.0,140.0,680.0,11.0,380.0,269.0,4039.0,,,27.0,,,,214.0,714.0,4159.0,53.0,2960.0,,626.0,4934.0,26.0,6822.0,7676.0,57.0,2.0,,373.0,,64.0,266.0,239.0,,233.0,274.0
2014,48224.0,18.0,296.0,155.0,2305.0,1006.0,20.0,8604.0,408.0,6.0,971.0,112.0,1855.0,,1.0,136.0,,23.0,24.0,,7855.0,,374.0,591.0,65.0,12.0,10.0,39.0,2934.0,6966.0,2591.0,,1.0,2921.0,13.0,923.0,,370.0,,612.0,6007.0
2013,48707.0,62.0,401.0,106.0,2919.0,658.0,23.0,478.0,520.0,28.0,592.0,90.0,2629.0,,7.0,291.0,,26.0,25.0,,9070.0,19.0,3.0,3780.0,104.0,4797.0,25.0,30.0,10165.0,5637.0,27.0,,,3697.0,11.0,188.0,61.0,,1669.0,233.0,336.0
2012,56351.0,119.0,1907.0,69.0,2214.0,1326.0,176.0,290.0,677.0,1.0,623.0,35.0,908.0,6.0,11.0,313.0,,10.0,,,15125.0,383.0,3.0,4469.0,266.0,328.0,369.0,122.0,8977.0,10783.0,50.0,10.0,15.0,3991.0,147.0,5.0,213.0,1207.0,257.0,59.0,887.0
2011,50458.0,117.0,383.0,40.0,3545.0,858.0,133.0,281.0,658.0,92.0,1574.0,226.0,715.0,18.0,,122.0,7.0,1.0,1.0,2.0,14391.0,197.0,305.0,1550.0,210.0,901.0,62.0,71.0,12070.0,6316.0,57.0,13.0,50.0,3005.0,65.0,680.0,171.0,193.0,178.0,27.0,1173.0
2010,86754.0,726.0,843.0,5091.0,4785.0,1398.0,82.0,1857.0,1204.0,347.0,2713.0,101.0,1760.0,169.0,1.0,764.0,14.0,5.0,8.0,4.0,8063.0,447.0,51.0,2414.0,349.0,2716.0,42.0,202.0,16131.0,21349.0,72.0,27.0,4.0,2774.0,112.0,4.0,592.0,1637.0,,2657.0,5239.0
