年份,EI收录科技论文篇数,EI收录数学科技论文篇数,EI收录力学科技论文篇数,EI收录信息、系统科学科技论文篇数,EI收录物理学科技论文篇数,EI收录化学科技论文篇数,EI收录天文学科技论文篇数,EI收录地学科技论文篇数,EI收录生物学科技论文篇数,EI收录预防医学与卫生学科技论文篇数,EI收录基础医学科技论文篇数,EI收录药学科技论文篇数,EI收录临床医学科技论文篇数,EI收录中医学科技论文篇数,EI收录军事医学与特种医学科技论文篇数,EI收录农学科技论文篇数,EI收录林学科技论文篇数,EI收录畜牧、兽医科学科技论文篇数,EI收录水产学科技论文篇数,EI收录测绘科学技术科技论文篇数,EI收录材料科学科技论文篇数,EI收录工程与技术基础学科科技论文篇数,EI收录矿山工程技术科技论文篇数,EI收录能源科学技术科技论文篇数,EI收录冶金、金属学科技论文篇数,EI收录机械、仪表科技论文篇数,EI收录动力与电气科技论文篇数,EI收录核科学技术科技论文篇数,EI收录电子、通讯与自动控制科技论文篇数,EI收录计算技术科技论文篇数,EI收录化工科技论文篇数,EI收录轻工、纺织科技论文篇数,EI收录食品科技论文篇数,EI收录土木建筑科技论文篇数,EI收录水利科技论文篇数,EI收录交通运输科技论文篇数,EI收录航空航天科技论文篇数,EI收录环境科技论文篇数,EI收录安全科学技术科技论文篇数,EI收录管理科技论文篇数,EI收录其他学科科技论文篇数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,249948.0,6220.0,4787.0,614.0,16558.0,16564.0,500.0,11561.0,26736.0,,395.0,,,,,190.0,,,,2414.0,20334.0,823.0,1151.0,14120.0,10795.0,10816.0,16783.0,251.0,26164.0,13045.0,305.0,325.0,55.0,19308.0,358.0,4985.0,2782.0,18212.0,222.0,1923.0,652.0
2017,214226.0,4118.0,3298.0,479.0,10032.0,7364.0,433.0,12542.0,16893.0,,337.0,,,,,351.0,,,,2054.0,18452.0,921.0,878.0,9596.0,7630.0,7827.0,11503.0,175.0,13299.0,8964.0,242.0,840.0,41.0,14687.0,2811.0,3923.0,1888.0,50653.0,193.0,1676.0,126.0
2016,213385.0,4626.0,3605.0,627.0,10571.0,7944.0,436.0,12944.0,16966.0,,337.0,,,,,213.0,,,,2295.0,20354.0,871.0,1036.0,9665.0,7896.0,8657.0,12798.0,217.0,14757.0,10503.0,251.0,906.0,61.0,15622.0,2962.0,4326.0,2051.0,37948.0,227.0,1604.0,109.0
2015,204332.0,3032.0,2779.0,313.0,8670.0,5854.0,271.0,9888.0,16004.0,,536.0,,,,,210.0,,,,2171.0,17682.0,796.0,830.0,8254.0,7456.0,6641.0,11192.0,410.0,15650.0,9651.0,173.0,313.0,63.0,32981.0,2911.0,5137.0,1735.0,31481.0,115.0,1107.0,26.0
2014,163799.0,4415.0,3804.0,595.0,11418.0,7253.0,214.0,7462.0,12679.0,,431.0,,,,,273.0,,,,1437.0,15997.0,1709.0,532.0,6848.0,5852.0,5599.0,9724.0,435.0,15391.0,9463.0,667.0,97.0,93.0,27354.0,2047.0,3934.0,1260.0,5262.0,96.0,1299.0,159.0
2013,153717.0,9149.0,8152.0,1470.0,15673.0,11022.0,184.0,4796.0,8064.0,,187.0,,,,,741.0,,,,824.0,16483.0,3916.0,423.0,4209.0,3121.0,5931.0,7406.0,330.0,14046.0,9848.0,2413.0,89.0,313.0,14519.0,1165.0,2669.0,1155.0,310.0,2700.0,2124.0,285.0
2012,116429.0,7311.0,6387.0,1380.0,11269.0,8183.0,163.0,3157.0,4981.0,,128.0,,,,,461.0,,,,684.0,12411.0,3223.0,299.0,3094.0,2445.0,4670.0,5849.0,225.0,11038.0,8472.0,1875.0,46.0,208.0,10809.0,841.0,2034.0,920.0,1523.0,221.0,1666.0,456.0
2011,116343.0,10374.0,8095.0,1705.0,12036.0,8881.0,131.0,2736.0,4821.0,,95.0,,,,,403.0,,,,579.0,12596.0,3465.0,230.0,2133.0,2058.0,5241.0,4949.0,153.0,9276.0,7354.0,2365.0,45.0,265.0,9407.0,739.0,1643.0,805.0,1326.0,287.0,1673.0,477.0
2010,112070.0,11922.0,10138.0,2962.0,12859.0,12255.0,130.0,1750.0,1511.0,179.0,725.0,161.0,,,,467.0,,,,622.0,11442.0,3743.0,217.0,1310.0,1264.0,6017.0,3936.0,121.0,7867.0,5836.0,2958.0,76.0,423.0,5006.0,427.0,1083.0,931.0,709.0,611.0,2161.0,251.0
2009,93017.0,9721.0,12292.0,,11255.0,12722.0,169.0,796.0,1227.0,35.0,24.0,,15.0,,,466.0,,,,382.0,9094.0,3180.0,391.0,693.0,1096.0,5410.0,3268.0,124.0,6780.0,3706.0,2783.0,84.0,429.0,1898.0,146.0,903.0,674.0,616.0,318.0,2068.0,252.0
2008,85381.0,6672.0,7875.0,,9045.0,8156.0,104.0,1619.0,2603.0,2.0,99.0,,7.0,,,222.0,,,,473.0,8917.0,1495.0,786.0,1504.0,3141.0,3760.0,4951.0,228.0,7469.0,5401.0,1706.0,53.0,230.0,3865.0,421.0,968.0,772.0,1156.0,274.0,1238.0,169.0
2007,75568.0,1209.0,1079.0,,7632.0,4266.0,130.0,2325.0,4628.0,,190.0,,,,,36.0,,,,676.0,7593.0,379.0,1367.0,2483.0,4670.0,3075.0,7463.0,138.0,8552.0,5939.0,340.0,31.0,6.0,6094.0,665.0,1209.0,980.0,1997.0,21.0,392.0,3.0
2006,64936.0,2586.0,2588.0,,6620.0,9451.0,131.0,1936.0,2153.0,,134.0,,,,,300.0,,,,114.0,3867.0,743.0,608.0,1137.0,2250.0,2249.0,5321.0,124.0,8396.0,4275.0,3029.0,26.0,79.0,2483.0,296.0,1034.0,907.0,1033.0,146.0,918.0,2.0
2005,60301.0,2739.0,2130.0,17.0,5704.0,8021.0,96.0,1998.0,2627.0,,166.0,,,,,269.0,,,,127.0,3433.0,658.0,565.0,1528.0,2007.0,2041.0,5111.0,149.0,7695.0,3755.0,3069.0,24.0,64.0,2366.0,289.0,917.0,873.0,766.0,134.0,963.0,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
