年份,公共图书馆业机构数,公共图书馆业从业人员数,公共图书馆总藏量,公共图书馆当年购买的报刊种类数,公共图书馆累计发放有效借书证数,公共图书馆图书流通人次,公共图书馆书刊文献外借人次,公共图书馆书刊文献外借册次,公共图书馆组织各类讲座次数,公共图书馆举办展览数,公共图书馆举办培训班数,公共图书馆计算机台数,公共图书馆电子阅览室终端数,公共图书馆阅览室座席数,人均拥有公共图书馆藏量,每万人拥有公共图书馆建筑面积,公共图书馆参加讲座人次,公共图书馆参观展览人次,公共图书馆参加培训人次
2019,3196,57796,111180.939,110.4,8627.2572,90134.769,26609.137,61372.617,85955,35034,74743,225815,145736,119.0656,0.79,121.4,2158.919,9097.982,528.762
2018,3176,57602,103716.165,113.0,7262.8018,82031.546,25814.232,58009.519,79274,33394,66375,223521,146333,111.6769,0.74,114.4,1481.94,8742.641,422.764
2017,3166,57567,96952.926,112.6794,6736.0811,74449.879,25502.575,55090.522,74174,30443,50973,220992,144255,106.4163,0.7,109.0,1254.337,7190.979,411.442
2016,3153,57208,90162.741,111.7762,5592.8124,66037.044,24891.533,54724.554,69308,26588,44137,211574,134888,98.5968,0.65,103.0,1057.299,5782.662,298.186
2015,3139,56422,83843.933,109.2145,5721.0823,58892.249,23084.675,50895.835,59562,20481,34501,211816,126702,91.0679,0.6099426241,94.7,934.115,4722.223,251.338
2014,3117,56071,79091.635,108.8303,3943.7996,53035.981,22736.658,46734.296,54939,18124,30523,198586,121597,85.552,0.58,90.0,973.698,3820.71,220.445
2013,3112,56320,74896.0,109.12,2877.0,49232.0,20552.0,40868.0,49474,15848,26198,195413,116274,80.9767,0.55,85.1,864.768,3353.772,192.699
2012,3076,54997,78851.813,100.9252,2484.5072,43437.199,17402.049,33191.459,44564,12389,24937,173313,101433,73.4571,0.582344783019704,78.1671885616378,826.527,3050.551,230.594
2011,2952,54475,69718.611,94.1184,2213.5831,38150.92,15316.295,28451.965,35175,10479,22597,157528,92649,68.1441,0.52,73.8,653.559,2093.797,189.739
2010,2884,53564,61726.123,,2019.5175,32823.335,13934.151,26391.738,,,,142772,83124,63.0683,,,,,
2009,2850,52688,58520.604,,,32167.5,13277.1,25857.28,,,,,,60.1519,,,,,
2008,2820,52021,55063.5,,,28140.5,12250.8,23128.7,,,,,,55.3547,,,,,
2007,2799,51650,52053.0,,1273.0,26103.0,,11454.0,,,,,,52.71,,,,,
2006,2778,51311,50024.0,,1160.0,25217.0,,21039.0,,,,,,159.0,,,,,
2005,2762,50423,48055.0,,1061.0,23331.0,,20268.0,,,,,,48.0,,,,,
2004,2720,49069,46152.0,,1056.0,22100.0,,18527.0,,,,,,47.0,,,,,
2003,2709,49646,43776.0,,943.0,21440.0,,18775.0,,,,,,46.0,,,,,
2002,2697,48447,42628.0,,918.0,21950.0,,20021.0,,,,,,44.0,,,,,
2001,2696,48579,41804.0,,792.3,20876.0,,17559.1,,,,,,43.7,,,,,
2000,2675,51368,40953.0,,623.0,18854.0,,16913.0,,,,,,42.0,,,,,
