省份编码,省份,年份,地震台数总数(个),国家级地震台数(个),省级地震台数(个),市、县级地震台数(个),企业地震台数(个),强震观测点(个),宏观观测点(个)
110000,北京市,2019,29,8,2,18,1,266,300
110000,北京市,2018,60,10,2,47,1,42,138
110000,北京市,2017,92,10,2,79,1,265,125
110000,北京市,2016,92,10,2,79,1,265,144
110000,北京市,2015,103,10,2,90,1,266,229
110000,北京市,2014,93,6,2,84,1,18,223
110000,北京市,2013,99,10,2,86,1,243,242
110000,北京市,2012,,,,,,,
110000,北京市,2011,99,10,2,87,1,243,242
110000,北京市,2010,93,10,2,81,2,243,195
110000,北京市,2009,101,5,8,88,2,244,259
110000,北京市,2008,104,5,9,88,2,244,164
110000,北京市,2007,83,6,6,68,3,197,130
110000,北京市,2006,90,4,18,66,2,44,129
110000,北京市,2005,78,4,7,65,2,45,119
110000,北京市,2004,22,,,,,2,
110000,北京市,2003,11,,,,,1,
110000,北京市,2002,54,,,,,,
110000,北京市,2001,53,,,,,,
110000,北京市,2000,46,,,,,,
120000,天津市,2019,10,5,5,,,120,1059
120000,天津市,2018,10,5,5,,,150,151
120000,天津市,2017,10,5,5,,,120,75
120000,天津市,2016,10,5,5,,,129,79
120000,天津市,2015,10,5,5,,,120,125
120000,天津市,2014,9,4,5,,,33,123
120000,天津市,2013,10,5,5,,,110,1769
120000,天津市,2012,,,,,,,
120000,天津市,2011,10,5,5,,,110,1769
120000,天津市,2010,10,5,5,,,218,1769
120000,天津市,2009,9,4,5,,,136,18
120000,天津市,2008,9,4,5,,,136,18
120000,天津市,2007,8,4,4,,,144,
120000,天津市,2006,8,4,4,,,34,0
120000,天津市,2005,9,4,5,,,34,
120000,天津市,2004,9,,,,,,
120000,天津市,2003,9,,,,,,
120000,天津市,2002,22,,,,,,
120000,天津市,2001,24,,,,,,
120000,天津市,2000,17,,,,,,
130000,河北省,2019,121,7,35,74,5,164,11407
130000,河北省,2018,108,7,35,62,4,140,4025
130000,河北省,2017,101,6,30,61,4,169,3778
130000,河北省,2016,110,6,29,70,5,113,2633
130000,河北省,2015,99,6,26,55,12,113,2901
130000,河北省,2014,90,5,28,45,12,43,1666
130000,河北省,2013,86,8,21,45,12,65,2755
130000,河北省,2012,,,,,,,
130000,河北省,2011,86,8,21,57,12,65,2755
130000,河北省,2010,86,8,21,57,12,67,1162
130000,河北省,2009,78,10,11,57,12,67,1129
130000,河北省,2008,79,8,13,47,11,67,1327
130000,河北省,2007,57,8,12,27,10,92,
130000,河北省,2006,65,6,17,31,11,4,847
130000,河北省,2005,77,6,29,29,13,19,66
130000,河北省,2004,53,,,,,27,
130000,河北省,2003,86,,,,,7,
130000,河北省,2002,112,,,,,6,
130000,河北省,2001,103,,,,,,
130000,河北省,2000,96,,,,,,
140000,山西省,2019,127,7,4,105,11,3,1611
140000,山西省,2018,106,7,4,82,13,18,2354
140000,山西省,2017,113,6,4,87,16,51,2053
140000,山西省,2016,110,6,4,84,16,51,4124
140000,山西省,2015,116,7,4,78,27,51,2734
140000,山西省,2014,111,7,4,84,16,39,4124
140000,山西省,2013,99,6,4,64,25,40,6044
140000,山西省,2012,,,,,,,
140000,山西省,2011,99,6,4,89,25,40,6044
140000,山西省,2010,99,6,4,89,25,40,6044
140000,山西省,2009,97,5,6,86,25,40,6044
140000,山西省,2008,74,5,5,38,26,40,1243
140000,山西省,2007,75,5,6,38,26,41,1004
140000,山西省,2006,130,5,20,78,27,27,1036
140000,山西省,2005,64,5,6,28,25,11,694
140000,山西省,2004,74,,,,,10,
140000,山西省,2003,94,,,,,10,
140000,山西省,2002,94,,,,,16,
140000,山西省,2001,106,,,,,10,
140000,山西省,2000,93,,,,,10,
150000,内蒙古自治区,2019,67,14,19,34,,45,1483
150000,内蒙古自治区,2018,65,6,24,35,,47,1055
150000,内蒙古自治区,2017,67,8,24,35,,48,591
150000,内蒙古自治区,2016,67,8,24,35,,47,486
150000,内蒙古自治区,2015,58,6,17,35,,47,486
150000,内蒙古自治区,2014,58,6,17,35,,2,460
150000,内蒙古自治区,2013,58,6,17,35,,32,540
150000,内蒙古自治区,2012,,,,,,,
150000,内蒙古自治区,2011,58,6,17,35,,32,540
150000,内蒙古自治区,2010,58,6,17,35,,32,530
150000,内蒙古自治区,2009,53,10,15,28,,32,530
150000,内蒙古自治区,2008,53,11,15,25,2,32,543
150000,内蒙古自治区,2007,51,6,17,25,3,32,412
150000,内蒙古自治区,2006,50,6,15,26,3,32,525
150000,内蒙古自治区,2005,49,6,16,23,4,,334
150000,内蒙古自治区,2004,61,,,,,,
150000,内蒙古自治区,2003,61,,,,,,
150000,内蒙古自治区,2002,61,,,,,,
150000,内蒙古自治区,2001,52,,,,,,
150000,内蒙古自治区,2000,60,,,,,,
210000,辽宁省,2019,48,7,11,28,2,95,1141
210000,辽宁省,2018,49,7,11,29,2,95,829
210000,辽宁省,2017,52,7,11,29,5,90,1444
210000,辽宁省,2016,50,7,11,27,5,90,841
210000,辽宁省,2015,48,7,11,27,3,90,932
210000,辽宁省,2014,48,6,11,28,3,23,840
210000,辽宁省,2013,51,7,11,28,5,70,936
210000,辽宁省,2012,,,,,,,
210000,辽宁省,2011,51,7,11,33,5,70,936
210000,辽宁省,2010,51,9,9,33,5,70,936
210000,辽宁省,2009,50,9,8,33,5,,872
210000,辽宁省,2008,51,9,8,29,5,36,832
210000,辽宁省,2007,51,7,11,28,5,37,1610
210000,辽宁省,2006,48,6,11,28,3,37,672
210000,辽宁省,2005,51,6,12,28,5,2,396
210000,辽宁省,2004,49,,,,,11,
210000,辽宁省,2003,49,,,,,1,
210000,辽宁省,2002,49,,,,,,
210000,辽宁省,2001,54,,,,,,
210000,辽宁省,2000,60,,,,,,
220000,吉林省,2019,39,5,6,28,,15,1191
220000,吉林省,2018,39,5,6,28,,15,1123
220000,吉林省,2017,40,5,6,29,,15,1133
220000,吉林省,2016,40,5,6,29,,15,1305
220000,吉林省,2015,45,5,6,34,,15,1303
220000,吉林省,2014,36,5,6,25,,19,1345
220000,吉林省,2013,32,5,6,21,,10,386
220000,吉林省,2012,,,,,,,
220000,吉林省,2011,32,5,6,21,,10,386
220000,吉林省,2010,29,6,5,18,,10,380
220000,吉林省,2009,31,7,6,18,,10,274
220000,吉林省,2008,30,7,6,17,,10,104
220000,吉林省,2007,26,6,6,14,,10,663
220000,吉林省,2006,23,5,5,13,,10,500
220000,吉林省,2005,33,5,5,23,,,500
220000,吉林省,2004,27,,,,,,
220000,吉林省,2003,28,,,,,,
220000,吉林省,2002,28,,,,,,
