省份编码,省份,年份,国内专利申请受理量(项),国内发明专利申请受理量(项),国内实用新型专利申请受理量(项),国内外观设计专利申请受理量(项),国内专利申请授权量(项),国内发明专利申请授权量(项),国内实用新型专利申请授权量(项),国内外观设计专利申请授权量(项)
110000,北京市,2019,226113,129930,73021,23162,131716,53127,58393,20196
110000,北京市,2018,211212,117664,70507,23041,123496,46978,59219,17299
110000,北京市,2017,185928,99167,68400,18361,106948,46091,46011,14846
110000,北京市,2016,189129,104643,64496,19990,100578,40602,44710,15266
110000,北京市,2015,156312,88930,53243,14139,94031,35308,45773,12950
110000,北京市,2014,138111,78129,48228,11754,74661,23237,44071,7353
110000,北京市,2013,123336,67554,47586,8196,62671,20695,36301,5675
110000,北京市,2012,92305,52720,32609,6976,50511,20140,24672,5699
110000,北京市,2011,77955,45057,26615,6283,40888,15880,19628,5380
110000,北京市,2010,57296,33466,18637,5193,33511,11209,16579,5723
110000,北京市,2009,50236,29326,15424,5486,22921,9157,10141,3623
110000,北京市,2008,43508,28394,11157,3957,17747,6478,8776,2493
110000,北京市,2007,31680,18763,8819,4098,14954,4824,7364,2766
110000,北京市,2006,26555,14226,8200,4129,11238,3864,5490,1884
110000,北京市,2005,22572,12102,6940,3530,10100,3476,4498,2126
110000,北京市,2004,18402,8608,6321,3473,9005,3216,3956,1833
110000,北京市,2003,17003,7833,6665,2505,8248,2261,4244,1743
110000,北京市,2002,13842,5785,5920,2137,6345,1061,3721,1563
110000,北京市,2001,12174,4984,5114,2076,6246,946,3600,1700
110000,北京市,2000,10344,3409,4984,1951,5905,1074,3463,1368
120000,天津市,2019,96045,24574,64871,6600,57799,5025,48252,4522
120000,天津市,2018,99038,26661,66535,5842,54680,5626,44683,4371
120000,天津市,2017,86996,25652,56675,4669,41675,5844,32353,3478
120000,天津市,2016,106514,38153,63589,4772,39734,5185,31046,3503
120000,天津市,2015,79963,28510,46845,4608,37342,4624,28486,4232
120000,天津市,2014,63422,23391,35068,4963,26351,3279,20122,2950
120000,天津市,2013,60915,21946,34134,4835,24856,3141,18759,2956
120000,天津市,2012,41009,13587,22074,5348,19782,3326,13677,2779
120000,天津市,2011,38489,10623,18042,9824,13982,2528,8961,2493
120000,天津市,2010,25973,7347,11064,7562,11006,1930,6718,2358
120000,天津市,2009,19624,6367,8267,4990,7404,1889,3988,1527
120000,天津市,2008,18230,6281,6061,5888,6790,1610,4016,1164
120000,天津市,2007,15744,5364,5117,5263,5584,1164,3063,1357
120000,天津市,2006,13299,4981,4184,4134,4159,967,2164,1028
120000,天津市,2005,11657,4470,4690,2497,3045,763,1543,739
120000,天津市,2004,8406,4013,3142,1251,2578,432,1587,559
120000,天津市,2003,6812,3328,2713,771,2505,241,1547,717
120000,天津市,2002,5360,2070,2361,929,1827,102,1163,562
120000,天津市,2001,3081,784,1707,590,1829,96,1214,519
120000,天津市,2000,2789,470,1492,827,1611,163,994,454
130000,河北省,2019,101274,20536,63798,16940,57809,5130,40562,12117
130000,河北省,2018,83785,18954,51171,13660,51894,5126,36210,10558
130000,河北省,2017,61288,13982,36134,11172,35348,4927,21841,8580
130000,河北省,2016,54838,14141,30253,10444,31826,4247,19762,7817
130000,河北省,2015,44060,11259,24646,8155,30130,3840,19103,7187
130000,河北省,2014,30000,8332,16693,4975,20132,2286,14253,3593
130000,河北省,2013,27619,7329,15781,4509,18186,2008,13038,3140
130000,河北省,2012,23241,6108,13635,3498,15315,1933,10795,2587
130000,河北省,2011,17595,4651,10423,2521,11119,1469,7490,2160
130000,河北省,2010,12295,3270,7089,1936,10061,954,6838,2269
130000,河北省,2009,11361,2811,6478,2072,6839,691,4515,1633
130000,河北省,2008,9128,2380,5001,1747,5496,549,3937,1010
130000,河北省,2007,7853,2094,4042,1717,5358,462,3570,1326
