省份编码,省份,年份,地形图(张),1：10000地形图(张),1：50000地形图(张),测绘基准成果(点),航摄成果(片),专题地图(张),地图集(册)
110000,北京市,2019,4134,113,,5225,,,
110000,北京市,2018,2546,62,,5128,,11080,
110000,北京市,2017,3694,47,,6562,,,
110000,北京市,2016,6924,276,,11003,,,
110000,北京市,2015,5742,79,,12447,,21440,
110000,北京市,2014,8532,292,,9520,,,
110000,北京市,2013,13604,1233,,10709,,,
110000,北京市,2012,13105,202,,13277,,58,8
110000,北京市,2011,15292,193,,13862,,,
110000,北京市,2010,15607,214,,14734,,,
110000,北京市,2009,18636,345,,18389,,,
110000,北京市,2008,37218,620,,11402,,,
110000,北京市,2007,21214,683,,15997,,,
110000,北京市,2006,30213,2434,,15675,,,
110000,北京市,2005,35410,3845,,,,,
110000,北京市,2004,33687,2501,85,13189,,245,
110000,北京市,2003,45278,4762,405,16057,,483,645
110000,北京市,2002,58193,4867,422,,,659,1
110000,北京市,2001,106202,54155,514,10328,,,
110000,北京市,2000,46774,3106,637,,,783,900
120000,天津市,2019,,,,176,,,
120000,天津市,2018,,,,57,,,
120000,天津市,2017,,,,8,,,
120000,天津市,2016,,,,5,,,
120000,天津市,2015,,,,7,,,
120000,天津市,2014,,,,16,,,
120000,天津市,2013,36,,,72,,,
120000,天津市,2012,8,,,101,,,
120000,天津市,2011,2,,,206,,,
120000,天津市,2010,3,,,177,,,
120000,天津市,2009,500,,,321,,,
120000,天津市,2008,,,,489,,,
120000,天津市,2007,,,,98,,,
120000,天津市,2006,11,,11,192,,,
120000,天津市,2005,15096,788,50,132,,,
120000,天津市,2004,14771,3747,131,172,,3,
120000,天津市,2003,13665,1980,178,217,68,,
120000,天津市,2002,2682,1817,266,135,113,4,68
120000,天津市,2001,1884,1509,221,321,,4,73
120000,天津市,2000,1185,641,504,109,,1185,
130000,河北省,2019,2832,2396,436,1646,,,
130000,河北省,2018,3250,2644,606,2060,277346,,
130000,河北省,2017,2110,1670,316,1071,192941.9,,
130000,河北省,2016,1417,1169,201,609,123742,,
130000,河北省,2015,1332,1131,109,1134,43240,,
130000,河北省,2014,1732,1419,221,2612,,,
130000,河北省,2013,2832,1991,642,421,3686.3994140625,,
130000,河北省,2012,1714,1446,213,910,21150,,
130000,河北省,2011,2910,2505,344,1396,,,
130000,河北省,2010,2301,1882,406,2295,2655,,
130000,河北省,2009,3603,2887,569,2452,15018,28,
130000,河北省,2008,3654,3059,457,2588,56,36,27
130000,河北省,2007,3584,3139,371,1614,76,,
130000,河北省,2006,6696,4808,1512,1562,,,
130000,河北省,2005,9256,5919,2760,778,,,
130000,河北省,2004,9484,5871,2670,882,48,64,
130000,河北省,2003,9924,6380,2615,2112,90,44,36
130000,河北省,2002,6130,2944,1861,1217,13339,,
130000,河北省,2001,10924,7128,2611,993,4137,119,35
130000,河北省,2000,4976,1964,2193,1086,6840,99,60
140000,山西省,2019,577,324,253,592,,,
140000,山西省,2018,1063,973,90,1131,,1206,
140000,山西省,2017,2076,1728,341,839,,3158,
140000,山西省,2016,3235,2744,480,1093,,1464,
140000,山西省,2015,3711,3007,655,343,,520,
140000,山西省,2014,4843,3583,615,541,,666,
140000,山西省,2013,4678,3830,756,654,,1776,
140000,山西省,2012,2939,2423,490,1384,,27745,5445
140000,山西省,2011,5116,4167,888,1994,,1751,
140000,山西省,2010,3054,2665,389,,,,
140000,山西省,2009,3277,2931,346,,,,
140000,山西省,2008,9137,7403,1541,1620,13908,1485,242
140000,山西省,2007,6640,4401,2006,1295,2956,1441,136
140000,山西省,2006,7378,5486,1643,1405,2623,,
140000,山西省,2005,9919,7925,1731,826,150,,
140000,山西省,2004,10066,7041,1873,1190,15450,,
140000,山西省,2003,13722,10400,3019,920,3036,,
140000,山西省,2002,17870,10191,6613,2383,,,
140000,山西省,2001,18708,14528,3403,3518,33620,,
140000,山西省,2000,13882,10860,2959,1087,22546,5692,27
150000,内蒙古自治区,2019,2232,338,1400,25659,,,
150000,内蒙古自治区,2018,6186,2203,2873,126239,53573,,
150000,内蒙古自治区,2017,6415,2565,2463,22749,30354,6100,
150000,内蒙古自治区,2016,8265,3539,4378,10747,63444.4,,
150000,内蒙古自治区,2015,5676,3891,1479,5827,24269.8,1500,
150000,内蒙古自治区,2014,7774,2384,4495,10858,30624.150390625,1370,
150000,内蒙古自治区,2013,8039,2948,4237,12743,12730.51953125,920,
150000,内蒙古自治区,2012,8247,2082,5127,24396,370812.6,1400,4320
150000,内蒙古自治区,2011,11470,2934,5770,13948,7503,270,156
150000,内蒙古自治区,2010,18864,1953,15256,17572,18123,,
150000,内蒙古自治区,2009,16005,1536,11354,33469,23238,,
150000,内蒙古自治区,2008,26666,1744,22024,10324,10778,,
150000,内蒙古自治区,2007,21171,6746,9241,6236,13008,,
150000,内蒙古自治区,2006,22753,4598,14207,5796,13917,20,7
150000,内蒙古自治区,2005,17534,5056,10451,5068,,,
150000,内蒙古自治区,2004,18337,5583,9120,3390,,,
150000,内蒙古自治区,2003,13602,2111,9043,1724,,,
150000,内蒙古自治区,2002,11314,1438,7115,3550,,99,237
150000,内蒙古自治区,2001,,,,,,,
150000,内蒙古自治区,2000,10003,2250,5232,2281,70,410,92
210000,辽宁省,2019,623,,,2043,,,
210000,辽宁省,2018,2051,1715,313,5267,,293,
210000,辽宁省,2017,1509,1262,247,1920,,197,
