年份,农、林、牧产品批发法人企业数,食品、饮料及烟草制品批发法人企业数,米、面制品及食用油批发法人企业数,烟草制品批发法人企业数,纺织、服装及日用品批发法人企业数,服装批发法人企业数,文化、体育用品及器材批发法人企业数,医药及医疗器材批发法人企业数,矿产品、建材及化工产品批发法人企业数,煤炭及制品批发法人企业数,石油及制品批发法人企业数,金属及金属矿批发法人企业数,建材批发法人企业数,化肥批发法人企业数,机械设备、五金交电及电子产品批发法人企业数,汽车、摩托车及零配件批发法人企业数,日用家电批发法人企业数,计算机、软件及辅助设备批发法人企业数,贸易经纪与代理法人企业数,其他批发法人企业数
2019,5341,13922,2190,509,17784,3568,4385,10893,58071,5431,5617,19228,10278,1425,24711,4872,1921,2277,1295,3673
2018,4841,11691,1878,510,14753,3048,3559,9053,46212,4721,5055,14696,7333,1490,19473,3662,1477,1661,1139,2975
2017,4946,10983,1754,510,13316,2820,3203,8008,39971,4538,4452,12553,5949,1608,16568,1711,1802,1368,1291,2702
2016,5276,10688,1742,540,12650,2796,2851,6830,37767,4655,4228,11796,5319,1795,14948,1552,1666,1260,1191,2865
2015,5072,9898,1636,558,11948,2769,2579,6231,37902,4983,4163,12248,5071,1832,14038,1499,1562,1248,1092,3059
2014,4853,9574,1592,570,11667,2705,2515,5698,40460,5762,4182,13843,4994,1850,14746,1555,1560,1558,1093,3354
2013,4455,8946,1457,601,11225,2630,2383,5175,40665,5936,4029,14615,4654,1755,14184,1487,1534,1494,1098,3476
2012,2922,6370,1171,598,8764,2043,1645,4335,33376,5215,3417,12487,3514,1424,11491,1258,1266,1420,949,3092
2011,2565,5496,1038,617,6685,1883,1463,3834,30249,4349,3095,11667,3229,1251,12295,2198,1201,1479,973,3192
2010,2261,4870,950,618,5758,1635,1303,3462,26966,3760,2687,10506,2827,1186,11067,2001,1036,1355,926,2851
2009,1931,4281,807,742,5210,1542,1268,3068,23599,3029,2352,9546,2337,1007,10230,1838,946,1368,859,2407
2008,2123,4681,905,902,5550,1643,1417,3078,27772,3235,2645,12097,2567,1074,11024,1985,1017,1331,1013,2774
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,1728,3661,658,1428,2499,764,808,1954,11789,1153,1911,4580,1047,699,6616,1526,688,876,300,1401
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
