年份,农、林、牧产品批发商品销售额,食品、饮料及烟草制品批发商品销售额,米、面制品及食用油批发商品销售额,烟草制品批发商品销售额,纺织、服装及日用品批发商品销售额,服装批发商品销售额,文化、体育用品及器材批发商品销售额,医药及医疗器材批发商品销售额,矿产品、建材及化工产品批发商品销售额,煤炭及制品批发商品销售额,石油及制品批发商品销售额,金属及金属矿批发商品销售额,建材批发商品销售额,化肥批发商品销售额,机械设备、五金交电及电子产品批发商品销售额,汽车、摩托车及零配件批发商品销售额,日用家电批发商品销售额,计算机、软件及辅助设备批发商品销售额,贸易经纪与代理商品销售额,其他批发商品销售额
2019,13905.8768,54371.408,8483.4266,18957.8646,53637.8682,9458.1091,12540.3141,35431.3865,369584.0988,40453.6414,72056.4217,171634.3482,23095.359,5601.2624,95811.7837,36122.9787,13327.9521,7934.1833,5456.3178,11425.0842
2018,10754.9,47801.4,7035.2,18363.9,46947.8,8747.2,11431.4,29856.4,318151.0,33368.3,76655.6,135370.6,17653.1,4824.2,87623.4,34684.5,11737.2,7611.8,4819.0,8789.0
2017,9372.52,45356.874,6702.029,17530.098,40821.42,8086.133,9958.134,27133.317,282417.272,29855.155,69832.651,118490.987,14347.455,4605.078,77802.787,28503.89,13617.222,6345.357,5789.835,8443.819
2016,8947.1494,44720.615,6118.6626,17111.4758,36578.9899,7850.9303,8709.1664,23204.4507,226843.3657,25622.7578,56406.3755,91419.5231,12713.2781,4471.3761,68869.2969,25619.1506,10862.0658,5357.594,6055.4472,8336.8302
2015,8511.5971,42663.0994,5565.3052,17502.5515,35191.1687,8760.7145,7928.2934,20252.6555,214225.2924,25610.0678,56034.8059,83201.4972,11950.427,5537.7827,58617.636,21048.9355,9457.7695,4540.7581,5571.2951,8351.1502
2014,8453.76444,39211.68811,5297.08975,17212.0571,34924.99922,8666.94137,7007.16337,17981.351,252479.0203,31339.27671,70909.82332,94856.12088,12755.40099,5530.12545,56146.64303,20087.01846,9847.49431,4625.29309,5293.11278,9180.6377
2013,8113.93278,34634.60241,4756.52038,15864.97952,31860.99047,7922.44317,6490.6852,15366.94312,238585.34908,32927.05369,70492.8942,86602.62139,11689.07185,5167.96676,49471.97163,17540.22134,9902.89167,4294.49881,4964.38422,8627.67946
2012,5985.75071,27855.6361,3780.68365,14330.6015,25825.57054,6619.0514,5162.23535,12297.9861,196624.46741,27717.76832,60665.48824,70440.59897,9980.68255,4793.65798,42168.64253,15177.63932,8129.34958,4140.64629,4035.4985,7135.53467
2011,4997.6507,23675.3159,2933.4312,12465.5934,15918.7048,5888.5311,3632.8701,10465.0725,173469.7154,22639.8533,54448.8103,65785.2995,8763.3636,3472.0255,45023.6214,14392.074,7786.0292,4840.9931,3995.3221,7522.7403
2010,3969.4,19083.8,2192.1,10589.0,12221.0,4168.2,2723.8,8076.6,128815.7,16822.1,39763.7,49625.9,5965.6,2461.6,35139.5,11474.7,6447.7,3123.3,3483.8,5607.4
2009,3034.27653,15374.5602,1476.4609,9363.02838,9665.08679,3511.92159,1980.99935,6813.70873,88821.41953,10413.65192,29379.59817,33399.1095,4389.30043,2197.74381,25403.71823,7459.28377,4653.16018,2570.77995,2884.02087,3856.82061
2008,2926.9829,14443.9782,1432.8211,8568.1603,10269.476,3699.8489,2277.54,5906.3509,99121.3099,10423.7898,31048.0045,40508.2309,4430.5138,2373.1933,26290.8987,7918.8446,4063.1952,2338.0084,3650.11,5373.5616
2007,2070.03976,11696.35591,813.0311,7813.4038,7448.26608,2859.90197,1353.50265,4206.23161,58073.15514,4210.27382,24247.56765,19709.87873,2606.96826,1481.8871,16031.54118,3778.31172,2869.54107,1475.2251,1143.96832,3596.82253
2006,1924.62549,10547.99746,708.78273,7116.36274,6461.03069,2523.19902,1228.75613,3638.32375,46530.53074,3025.43468,20380.60877,15306.16116,1763.01665,1263.0556,13211.36085,2704.90566,2283.50179,1199.13545,1068.0854,2983.62274
2005,1798.02437,9509.40273,692.99066,6682.85722,5417.01277,2028.33087,1113.6276,3147.56262,38924.57714,2838.42921,17225.21863,12113.97938,1492.41315,1110.47436,11620.60999,3300.93569,1860.79289,1095.77963,697.85649,3282.05647
2004,1876.18704,8921.21778,871.03525,5923.4178,5327.49452,1989.49794,1109.62335,3016.76082,35874.38083,2480.42242,15231.04768,11676.27752,1474.23488,966.30322,13037.47717,3866.6658,1725.07499,1246.46814,592.08828,2233.32424
2003,1324.60258,7140.83474,691.79975,5126.30744,3452.46116,1139.70172,728.87511,1997.18481,16066.6314,891.89275,7961.66994,4510.02357,517.58341,681.786,6322.91626,2258.49986,670.12056,356.16593,796.85323,1093.96177
2002,,6482.11,980.17,4166.24,,,,1567.25,,636.24,7224.27,,240.68,,,2087.14,,,,
2001,,6405.354,868.3212,4165.8207,,,,1410.0185,,611.1167,6834.0712,,190.9672,,,1533.5708,,,,
2000,,6517.6674,823.4592,4258.9673,,,,1206.0014,,525.2661,5622.9988,,188.3894,,1448.4881,1411.5447,,,,771.8675
