年份,农、林、牧产品批发年末从业人数,食品、饮料及烟草制品批发年末从业人数,米、面制品及食用油批发年末从业人数,烟草制品批发年末从业人数,纺织、服装及日用品批发年末从业人数,服装批发年末从业人数,文化、体育用品及器材批发年末从业人数,医药及医疗器材批发年末从业人数,矿产品、建材及化工产品批发年末从业人数,煤炭及制品批发年末从业人数,石油及制品批发年末从业人数,金属及金属矿批发年末从业人数,建材批发年末从业人数,化肥批发年末从业人数,机械设备、五金交电及电子产品批发年末从业人数,汽车、摩托车及零配件批发年末从业人数,日用家电批发年末从业人数,计算机、软件及辅助设备批发年末从业人数,贸易经纪与代理年末从业人数,其他批发年末从业人数
2019,171016,1068509,116301,254982,967771,309284,222359,849013,1285379,146043,330361,285644,195130,44614,972243,172589,116579,95950,34212,114872
2018,175814,1016619,111230,252425,934578,312477,207489,760685,1193228,133925,340468,252873,165616,52268,843577,150669,113958,74538,32512,104393
2017,200839,1021175,106758,249264,833329,253350,209118,704476,1181318,143938,355263,236333,153732,59088,782269,93422,172043,65332,38955,91734
2016,224522,1043728,106125,263695,828061,253674,190608,610408,1192226,164987,355422,224710,154541,68770,731801,95321,168993,77213,39407,98580
2015,220090,1010844,105359,273034,867306,281274,177342,552966,1250805,175191,387848,243368,150081,74064,679338,89953,169412,61088,41675,107021
2014,215053,987437,100811,278876,876930,275482,176517,506629,1353868,212626,428918,259090,148859,76357,720552,95796,172300,65562,41039,122490
2013,218352,935112,89941,280340,844084,255602,165254,454928,1370425,212832,458022,266521,134620,80782,685221,96763,170161,65218,43663,125345
2012,150051,758844,80151,261202,697477,200945,133647,378440,1217866,196343,448037,232856,97244,70094,617907,93867,154155,66683,41017,109059
2011,139843,694840,68433,251706,446027,174252,112088,349719,1105296,169329,422760,219485,84123,58056,732653,129341,162696,65393,42912,111508
2010,152892,738425,66171,320744,392750,175077,90860,311916,1091893,168716,411924,213778,80529,70523,598710,95998,127902,57163,37869,94096
2009,136946,651490,54600,321454,343994,149099,86504,287407,957603,147162,372274,186113,70716,55068,538877,84997,120290,51630,35210,84504
2008,143752,630092,53189,314371,336273,153450,94731,275704,990453,139677,352012,226552,71772,60787,542282,89730,101630,52378,38298,102200
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,240020,503236,64077,268444,150416,51066,56660,212381,626444,91034,262933,120242,37896,40963,377083,67156,70546,34327,10575,68163
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
