年份,批发业企业期末商品库存额,内资企业批发业企业期末商品库存额,国有企业批发业企业期末商品库存额,集体企业批发业企业期末商品库存额,股份合作企业批发业企业期末商品库存额,联营企业批发业企业期末商品库存额,国有联营企业批发业企业期末商品库存额,集体联营企业批发业企业期末商品库存额,国有与集体联营企业批发业企业期末商品库存额,其他联营企业批发业企业期末商品库存额,有限责任公司批发业企业期末商品库存额,国有独资公司批发业企业期末商品库存额,其他有限责任公司批发业企业期末商品库存额,股份有限公司批发业企业期末商品库存额,私营企业批发业企业期末商品库存额,私营独资企业批发业企业期末商品库存额,私营合伙企业批发业企业期末商品库存额,私营有限责任公司批发业企业期末商品库存额,私营股份有限公司批发业企业期末商品库存额,其他企业批发业企业期末商品库存额,港澳台商投资企业批发业企业期末商品库存额,港澳台商合资经营企业批发业企业期末商品库存额,港澳台商合作经营企业批发业企业期末商品库存额,港澳台商独资经营企业批发业企业期末商品库存额,港澳台商投资股份有限公司批发业企业期末商品库存额,其他港澳台商投资企业批发业企业期末商品库存额,外商投资企业批发业企业期末商品库存额,中外合资经营企业批发业企业期末商品库存额,中外合作经营企业批发业企业期末商品库存额,外资企业批发业企业期末商品库存额,外商投资股份有限公司批发业企业期末商品库存额,其他外商投资企业批发业企业期末商品库存额
2019,35035.9735,28489.982,1551.2527,21.5038,13.1738,1.3094,0.4245,0.349,0.4647,0.0712,14227.7424,2932.3464,11295.3961,2865.0485,9794.1692,19.7535,2.2616,9479.32,292.8343,15.7828,2562.2068,327.4819,4.4137,2201.9684,20.3258,8.0177,3983.7844,597.411,1.8024,3243.5091,87.0424,54.0199
2018,31202.1,25199.8,1652.8,33.8,11.0,3.5,0.4,0.6,,,12280.9,1844.6,10436.3,3135.1,8067.3,21.9,1.2,7815.2,229.0,15.3,2359.3,288.2,2.9,2019.0,39.9,9.4,3643.0,664.0,1.7,2864.3,38.1,75.0
2017,31609.0,25829.287,2376.064,46.043,9.044,4.583,0.516,1.474,2.353,0.24,12284.896,2028.885,10256.011,4029.352,7056.15,20.618,1.864,6802.993,230.675,23.155,2256.808,261.211,2.746,1968.448,12.613,11.79,3522.91,613.694,3.586,2814.24,28.605,62.785
2016,27295.7,21965.4737,3201.0302,52.2661,8.269,7.8439,0.6248,1.7838,4.7394,0.6959,10273.9914,1684.5508,8589.4405,1946.5215,6447.1144,22.0225,1.8249,6238.406,184.8613,28.4386,2467.1915,240.6494,4.4908,2199.8654,11.9883,10.1973,2863.0432,449.9124,3.7855,2349.655,16.4575,43.2333
2015,25378.5,20984.3802,2890.827,89.3325,11.9193,12.2409,0.885,1.9168,8.0846,1.3545,10848.0977,1438.1349,9409.9626,2047.9763,5047.0204,29.2772,3.1009,4846.7845,167.8581,36.9672,1641.4457,189.7336,5.2785,1421.9591,15.0922,9.3825,2752.674,530.0253,2.9464,2149.0149,26.8151,43.8728
2014,26080.9,21814.03401,2720.62535,93.11163,16.16984,9.74911,1.32892,1.30785,6.07212,1.04022,10048.80335,1587.31096,8461.49239,3147.63463,5730.53788,34.96511,5.0338,5511.82721,178.71176,47.40222,1394.90894,181.94768,4.25508,1174.58241,25.4605,8.66327,2871.95631,521.51294,3.90034,2311.17581,18.22797,17.13925
2013,23260.7,19633.55958,2866.96563,116.61814,21.40726,17.46992,4.47598,1.44859,10.47105,1.0743,8798.3815,1434.31055,7364.07095,2206.46163,5538.4031,40.73297,12.32601,5311.40188,173.94224,67.8524,1165.11858,115.53336,1.39155,1026.33935,20.35025,1.50407,2462.02506,418.96407,8.584,1973.96036,40.44309,20.07354
2012,21265.2,18192.5806,3811.10024,190.20828,95.79279,59.59499,22.49928,5.38096,11.99365,19.7211,6362.14326,842.24754,5519.89572,2893.86073,4533.00051,120.15888,30.48077,4229.81266,152.5482,246.8798,945.65669,137.19628,2.97945,785.71764,17.99216,1.77116,2127.00791,365.44748,17.27264,1725.94507,16.71754,1.62518
2011,18328.9843,15456.6479,3573.7598,226.1087,72.0131,36.3201,14.1937,3.2495,10.0822,8.7946,5716.1086,979.3407,4736.7679,1607.5188,4065.3616,134.4196,23.8795,3684.4386,222.6239,159.4571,944.8587,92.938,1.5251,830.8267,19.5612,,1927.4777,289.6199,11.3062,1607.8555,18.5442,0.1519
2010,14712.2,12914.9,2960.1,187.5,70.2,43.0,29.1,2.8,6.2,5.0,4830.7,1119.5,3711.3,1401.5,3327.7,123.2,26.5,3051.7,126.2,94.2,548.5,82.4,1.1,425.8,39.2,,1248.8,236.2,8.9,996.8,7.0,
2009,11848.3,10587.97808,2481.08164,290.32363,46.41787,31.08103,17.8696,1.69635,7.03026,4.48482,3911.09936,1014.68297,2896.41639,1096.89002,2682.69768,116.92024,26.47108,2430.97982,108.32654,48.38685,340.60045,35.9104,0.86372,269.03043,34.7959,,919.73109,167.46578,7.34234,740.49112,4.43185,
2008,11675.8,10001.3975,2544.32,304.9751,55.6103,43.1508,27.0946,1.786,10.6458,3.6244,3433.0424,972.1393,2460.9032,1025.8544,2550.7227,101.7881,34.9253,2266.8032,147.2062,43.7218,362.3482,54.1542,13.0214,282.774,12.3987,,1312.0175,180.8833,34.6296,1085.2369,11.2677,
2007,6649.9,6046.57173,1903.66631,198.8473,38.30675,38.56491,16.27753,0.84191,9.35146,12.09401,1880.01028,425.97531,1454.03497,629.01825,1316.20805,43.47116,8.07349,1187.57941,77.08399,41.94988,128.31348,18.36974,1.83998,104.18941,3.91435,,475.03634,103.78642,1.11202,310.84012,59.29778,
2006,5632.6,5189.49875,1675.67315,175.0599,31.53905,24.27144,13.66411,1.25823,5.20659,4.14251,1584.59346,318.68365,1265.90981,642.02424,1041.06244,12.82667,6.39212,962.6477,59.19595,15.27507,85.30253,13.06833,2.5718,67.77523,1.88717,357.80728,357.81,60.74,1.59,286.58,8.89,
2005,5274.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2864.96998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2675.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2843.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2831.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
