年份,批发业企业商品销售额,内资企业批发业企业商品销售额,国有企业批发业企业商品销售额,集体企业批发业企业商品销售额,股份合作企业批发业企业商品销售额,联营企业批发业企业商品销售额,国有联营企业批发业企业商品销售额,集体联营企业批发业企业商品销售额,国有与集体联营企业批发业企业商品销售额,其他联营企业批发业企业商品销售额,有限责任公司批发业企业商品销售额,国有独资公司批发业企业商品销售额,其他有限责任公司批发业企业商品销售额,股份有限公司批发业企业商品销售额,私营企业批发业企业商品销售额,私营独资企业批发业企业商品销售额,私营合伙企业批发业企业商品销售额,私营有限责任公司批发业企业商品销售额,私营股份有限公司批发业企业商品销售额,其他企业批发业企业商品销售额,港澳台商投资企业批发业企业商品销售额,港澳台商合资经营企业批发业企业商品销售额,港澳台商合作经营企业批发业企业商品销售额,港澳台商独资经营企业批发业企业商品销售额,港澳台商投资股份有限公司批发业企业商品销售额,其他港澳台商投资企业批发业企业商品销售额,外商投资企业批发业企业商品销售额,中外合资经营企业批发业企业商品销售额,中外合作经营企业批发业企业商品销售额,外资企业批发业企业商品销售额,外商投资股份有限公司批发业企业商品销售额,其他外商投资企业批发业企业商品销售额
2019,652164.1375,554507.6221,18329.7803,667.9067,306.7328,19.316,3.9084,12.0979,2.1374,1.1722,269021.8906,46544.3651,222477.5257,43566.0721,222163.2548,444.1308,94.8227,217666.4042,3957.8975,432.6692,31430.8569,4997.5381,240.406,25685.73,310.1282,197.0548,66225.6587,21950.3563,50.3006,42086.6663,1207.0912,931.2441
2018,566174.2,478386.0,18528.3,720.9,332.5,29.1,4.6,19.1,,,237698.3,39960.6,197737.8,46799.6,173903.5,384.0,51.7,169570.2,3897.6,373.7,26639.2,4294.9,235.8,21444.1,425.0,239.4,61149.0,18362.9,51.2,38014.5,524.2,4196.2
2017,507096.0,431793.326,22034.807,835.375,252.285,30.608,6.022,5.717,17.491,1.379,224355.904,43716.122,180639.782,42205.42,141304.377,420.177,43.166,137456.994,3384.039,774.552,24946.447,4168.765,144.57,20162.896,174.6,295.617,50356.204,15751.75,52.063,33266.425,501.045,784.922
2016,432265.3,368020.4837,22425.9526,1103.1095,222.1719,35.9129,6.3704,7.0522,19.7255,2.7649,192199.579,36379.6462,155819.933,36300.1042,114844.8973,560.7738,71.5275,111109.923,3102.6729,888.7572,21556.2216,3921.8858,208.9652,16769.1283,514.3856,141.8564,42688.6051,12537.9661,41.267,29100.1072,378.0761,631.1884
2015,401312.2,343741.672,27833.842,1338.38,333.043,60.0412,9.6215,5.9481,31.5593,12.9124,172604.0082,34272.9461,138331.062,38359.0229,102210.4854,745.109,137.9508,98628.5068,2698.919,1002.8504,19422.0432,3923.7603,193.1025,14745.0453,491.9109,68.2245,38148.4711,11413.5246,67.4441,25881.1167,384.8349,401.5514
2014,430678.4,373032.52426,31473.31049,1369.74496,318.00389,57.68617,9.56122,7.60035,31.17379,9.35081,186046.20454,41636.35705,144409.84749,44300.56716,108651.27558,710.86236,118.00055,104858.33409,2964.07858,815.73147,17526.3924,3858.44031,174.31596,13042.386,430.74901,20.50112,40119.46329,10940.86605,661.83855,27689.82041,376.85016,450.08812
2013,398116.5,349643.45039,42023.07764,1483.60032,478.75344,230.46372,158.25223,17.64998,45.79744,8.76407,164603.15999,32125.84073,132477.31926,42184.41268,97300.79323,686.95809,134.05094,93373.72094,3106.06326,1339.18937,12978.83278,1727.81472,125.52175,10847.89172,269.98461,7.61998,35494.2552,9764.61581,770.67742,24257.37653,369.68324,331.9022
2012,327091.3,286388.58945,66879.49282,1996.70273,818.17921,768.55186,396.24185,43.15498,218.14749,111.00754,105586.96292,12754.21705,92832.74587,33772.87683,72600.47991,2812.53741,889.47715,66652.27151,2246.19384,3965.34317,10313.11585,1646.67337,113.89834,8367.27574,176.35507,8.91333,30389.61661,8221.35616,856.25847,20920.58928,369.57696,21.83574
2011,288701.0131,251717.1562,56964.9317,2082.192,862.9296,615.0637,263.4982,42.1512,186.47,122.9443,86485.1131,10159.4975,76325.6156,33687.9099,68027.4127,2490.3761,827.5044,62207.5226,2502.0097,2991.6035,9503.0527,1588.2675,120.185,7615.4511,172.2101,6.9389,27480.8042,6364.7131,1076.5102,19899.4311,135.3335,4.8163
2010,219121.1,194037.9,45027.0,2436.0,815.0,600.5,306.3,40.3,120.9,133.0,61879.3,8498.3,53381.0,27337.5,54903.9,2143.1,617.6,50198.9,1944.4,1038.6,5552.7,1196.5,83.2,4008.1,264.9,,19530.5,4916.6,859.5,13689.0,65.4,
2009,157834.6,141429.29681,33018.0665,2754.90595,608.11138,433.26829,215.71942,14.99487,128.34603,74.20797,42968.88054,5419.50807,37549.37247,22302.97181,38631.05064,1653.2143,426.62282,35151.14026,1400.07326,712.0417,3976.0091,1026.30113,59.33154,2709.24363,181.1328,,12429.30493,3080.94567,41.34141,9237.58679,69.43106,
2008,170260.2,152165.147,32905.361,2505.1305,798.9068,677.0266,421.2476,53.8265,116.823,85.1295,46012.3231,7635.3403,38376.9828,22577.1376,45970.0938,2183.1288,677.7792,41100.047,2009.1388,719.1677,4061.3848,1085.898,122.2028,2726.7993,126.4848,,14033.6764,2777.0882,913.3935,10218.7454,124.4494,
2007,105619.9,96675.68827,26674.54594,1722.37275,463.45666,560.20091,315.97705,25.30814,109.36444,109.55128,28928.06947,4390.08253,24537.98694,16924.32016,21052.25461,553.74959,124.17166,19427.61541,946.71795,350.46777,1564.07013,345.50729,83.16883,1092.23416,43.15985,,7380.12478,2068.78848,38.04325,4872.95816,400.33489,
2006,87594.3,81052.91372,23317.19262,1693.18823,560.85095,521.01455,311.09038,28.97333,76.41698,104.53386,22825.80078,2025.35779,20800.44299,14928.48344,17001.39673,219.15223,107.57708,15991.54832,683.1191,204.98642,1106.66961,297.88861,58.08932,715.43466,35.25702,5434.74992,5434.75,1133.1,41.06,4131.02,129.57,
2005,75510.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,71988.6,66521.85106,18573.86524,1580.57925,638.28026,561.41843,355.17434,35.54353,108.90649,61.79407,19950.26486,2456.66168,17493.60318,11689.5246,13479.55211,264.59773,142.71447,12611.04612,461.19379,48.36631,732.47496,216.26717,40.7412,451.10669,24.3599,,4734.22801,1297.53667,555.58384,2779.3378,101.7697,
2003,38924.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,32420.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,28935.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,26947.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
