年份,农、林、牧产品批发期末商品库存额,食品、饮料及烟草制品批发期末商品库存额,米、面制品及食用油批发期末商品库存额,烟草制品批发期末商品库存额,纺织、服装及日用品批发期末商品库存额,服装批发期末商品库存额,文化、体育用品及器材批发期末商品库存额,医药及医疗器材批发期末商品库存额,矿产品、建材及化工产品批发期末商品库存额,煤炭及制品批发期末商品库存额,石油及制品批发期末商品库存额,金属及金属矿批发期末商品库存额,建材批发期末商品库存额,化肥批发期末商品库存额,机械设备、五金交电及电子产品批发期末商品库存额,汽车、摩托车及零配件批发期末商品库存额,日用家电批发期末商品库存额,计算机、软件及辅助设备批发期末商品库存额,贸易经纪与代理期末商品库存额,其他批发期末商品库存额
2019,2385.0142,4420.0396,1338.3697,1050.8316,4607.9723,931.5827,1339.9143,3476.3833,12216.491,1212.1705,3190.131,4544.9681,908.7538,393.5109,5812.2693,2169.272,1609.7842,482.2813,221.6432,556.2455
2018,1938.1,3725.7,1178.0,1035.9,4298.7,837.3,1242.0,2953.0,11032.2,920.9,2831.7,4439.4,656.0,397.1,5228.0,1995.1,1089.9,493.2,191.1,593.3
2017,2281.027,3589.333,983.464,1064.312,4938.305,794.894,1359.651,2640.305,10799.24,912.481,2789.11,4386.991,568.338,406.545,5169.832,1681.158,2896.242,487.293,236.567,594.745
2016,2141.9646,4367.221,1048.7778,1460.6172,3274.8959,706.7997,1139.1726,2211.1315,9309.7678,909.5313,2519.49,3679.1746,491.7654,383.5299,4159.6261,1328.3758,1289.7427,347.1396,205.5314,486.3989
2015,1846.5612,3268.7312,855.3699,1285.0102,2996.7401,714.8472,980.647,2840.0281,8184.8487,734.9156,2576.7799,2835.7632,507.2659,412.0025,4467.5928,1532.448,1135.058,321.4998,277.4482,515.9031
2014,1681.32027,3064.43055,884.42634,1125.38487,2999.20147,809.24414,964.80005,2868.24464,9445.76167,988.07403,2288.31401,3645.96238,541.53699,571.54397,4211.41051,1626.95501,1092.81143,330.28348,308.95034,536.77976
2013,1459.75731,3212.19292,895.32375,1282.08271,2398.52367,613.61786,798.7476,1388.65317,9451.21153,1037.93941,2415.34154,3553.94944,506.31438,549.28485,3713.33379,1173.79762,773.55901,341.37623,266.69767,571.58556
2012,1213.18312,2513.41134,793.54076,1048.07105,2053.15157,510.44805,626.30197,1219.62139,9553.01968,947.88939,2128.23334,4405.63439,490.099,611.23919,3345.64908,1191.82992,724.99033,320.60117,232.61108,508.29597
2011,1299.1008,2159.2722,698.8462,847.0713,1051.8254,413.7145,526.9679,948.4698,8334.0919,910.1897,1765.167,3723.8888,469.4506,553.1353,3324.2265,992.0764,585.3696,254.2373,229.3124,455.7174
2010,1197.9,1795.9,661.1,703.7,832.5,320.7,362.7,712.0,6749.9,560.8,1790.3,2957.1,336.5,374.2,2526.0,725.2,474.5,185.3,242.8,292.5
2009,946.93358,1516.77982,494.44519,631.58281,633.72192,221.62109,273.8894,619.61372,5321.66744,504.72518,1301.96886,2251.13104,302.24384,296.92525,2036.5693,566.8876,384.89671,151.62729,202.27965,296.85479
2008,876.6006,1554.8475,544.6555,543.8497,742.8056,344.8028,319.884,506.7849,4986.5823,422.6442,1197.9418,2083.3453,265.4722,412.6355,2216.3748,577.0419,307.5674,252.347,225.8082,246.0754
2007,816.71963,754.6205,199.37803,361.20082,404.43961,160.04522,185.66761,392.61084,2669.77049,149.26952,660.259,1142.03548,163.87046,200.64261,1059.67443,211.79329,187.21791,69.50279,76.24015,290.17829
2006,821.46761,714.79877,178.50963,350.88179,312.01723,115.83905,159.55005,340.14674,2114.64262,109.68997,624.52192,803.46304,123.49641,160.10429,905.09021,175.94247,193.48215,56.08904,41.79808,223.09725
2005,876.92484,693.62695,170.88527,375.66787,230.4007,85.63052,139.20387,373.22021,1797.43292,113.60481,453.10532,695.4362,95.53618,162.4795,878.20552,191.7775,221.37055,59.15278,15.17172,270.62351
2004,,,,,,,,,,,,,,,,,,,,
2003,441.92432,539.56127,137.26457,322.48813,156.45424,56.8714,115.87848,250.36062,747.61699,33.58947,198.75639,313.12126,37.79546,80.34683,476.16574,152.8302,67.58606,17.62574,86.43549,50.57283
2002,,827.89,414.64,322.87,,,,241.74,,32.32,165.35,,21.86,,,111.25,,,,
2001,,939.6965,456.4811,374.7624,,,,197.4064,,19.7338,255.0547,,17.113,,,175.0062,,,,
2000,,890.0007,380.7094,393.5611,,,,160.6555,,26.8433,261.7713,,14.021,,124.6767,128.9742,,,,86.6202
