年份,批发业年末从业人数,内资批发企业年末从业人数,国有批发企业年末从业人数,集体批发企业年末从业人数,股份合作批发企业年末从业人数,联营批发企业年末从业人数,国有联营批发企业年末从业人数,集体联营批发企业年末从业人数,国有与集体联营批发企业年末从业人数,其他联营批发企业年末从业人数,有限责任公司批发企业年末从业人数,国有独资公司批发企业年末从业人数,其他有限责任公司批发企业年末从业人数,股份有限公司批发企业年末从业人数,私营批发企业年末从业人数,私营独资批发企业年末从业人数,私营合伙批发企业年末从业人数,私营有限责任公司批发企业年末从业人数,私营股份有限公司批发企业年末从业人数,其他内资批发企业年末从业人数,港澳台投资批发企业年末从业人数,合资经营批发企业(港或澳、台资)年末从业人数,合作经营批发企业(港或澳、台资)年末从业人数,港、澳、台商独资经营批发企业年末从业人数,港、澳、台商投资股份有限公司批发企业年末从业人数,其他港澳台商投资企业年末从业人数,外商投资批发企业年末从业人数,中外合资经营批发企业年末从业人数,中外合作经营批发企业年末从业人数,外资批发企业年末从业人数,外商投资股份有限公司批发企业年末从业人数,其他外商投资企业批发业年末从业人数
2019,5685374,4726350,264852,12468,3402,917,423,371,103,20,1659003,185152,1473851,388377,2380281,8465,978,2302547,68291,17050,433554,35440,2436,381047,7824,6807,525470,84338,1855,415987,15826,7464
2018,5268895,4409376,279628,16289,3345,1072,458,360,,,1581365,173477,1407888,428157,2077631,8321,1188,2002176,65946,21889,411319,30008,1741,363734,8059,7777,448200,59801,1060,363930,10616,12793
2017,5063213,4331273,310232,21651,3096,1088,457,125,467,39,1680898,163037,1517861,446659,1834929,10149,1124,1753848,69808,32720,320168,27619,1962,275351,7101,8135,411772,49368,1359,338180,9461,13404
2016,4959341,4232125,337504,35598,3712,1574,429,619,467,59,1638414,189348,1449066,469671,1700674,13160,1627,1615667,70220,44978,341529,30958,8297,290811,6677,4786,385687,42564,900,325966,5950,10307
2015,4907000,4159427,382133,39417,5873,2193,423,670,972,128,1574160,161890,1412270,470056,1635653,16193,8847,1542542,68071,49942,344488,32111,8188,293060,8209,2920,403472,44787,1696,340783,6785,9421
2014,5001000,4243835,397941,43059,7095,2796,611,814,1140,231,1571993,160275,1411718,497122,1668400,18625,4790,1577827,67158,55429,342090,36369,8452,280797,13969,2503,414590,42051,1999,355951,7854,6735
2013,4842000,4130970,442131,49701,8172,3716,878,1201,1306,331,1451682,152941,1298741,500564,1599044,22337,5054,1499289,72364,75960,314454,29119,7588,263886,13216,645,396960,44289,2193,333234,13935,3309
2012,4104000,3512493,634886,62436,18355,10262,3018,1435,2065,3744,1055477,70019,985458,408951,1246530,66504,13975,1119662,46389,75596,249741,33126,6470,197460,11250,1435,342074,41133,2854,290356,5299,2432
2011,3734886,3222606,603078,63513,20388,9248,2346,1545,1457,3900,963745,65675,898070,399594,1103740,67191,12888,973481,50180,59300,185083,30538,5927,136614,11611,393,327197,38881,3649,277815,6514,338
2010,3509411,3146278,717042,82840,20000,9399,3331,776,1809,3483,848583,62575,786008,359883,1070941,77645,17341,920343,55612,37590,134682,23501,4024,94356,12801,,228451,54791,2415,168835,2410,
2009,3122535,2801147,690946,77640,17810,7154,2894,445,1140,2675,740837,55576,685261,342626,898077,59395,15887,773722,49073,26057,105718,24424,3951,72737,4606,,215670,42450,2781,165223,5216,
2008,3153785,2840215,688302,78085,21199,10484,6211,499,1656,2118,728571,61669,666902,326855,934248,64349,24746,797637,47516,52471,104762,28756,1707,70619,3680,,208808,29539,4343,167421,7505,
2007,2495863,2296051,669839,76079,15818,14599,8584,736,2348,2931,637021,62360,574661,337031,489042,22315,4678,439144,22905,56622,50554,11444,1995,35367,1748,,149258,31737,1654,106887,8980,
2006,2248731,2111635,687278,92511,19554,14761,8342,1630,1893,2896,541045,53108,487937,303510,444761,9822,3980,412506,18453,8215,39334,8894,1868,26622,1950,,97762,14837,2205,77831,2889,
2005,2244131,2134494,725578,104940,25226,13581,9100,868,1664,1949,554321,69033,485288,305608,399207,9706,3769,369508,16224,6033,27461,5617,2032,17024,2788,,82176,14026,2155,64085,1910,
2004,2244978,2136985,761215,134116,27517,16408,8839,2007,2876,2686,540447,60236,480211,245146,407789,11937,4745,373889,17218,4347,24744,5901,1696,13863,3284,,83249,19545,3159,57159,3386,
2003,1786669,1741806,847948,144120,24199,9886,5801,431,1740,1914,351206,47311,303895,255971,106450,5742,2056,93140,5512,2026,16577,4221,2563,7987,1806,,28286,8193,897,18611,585,
2002,1944793,1910272,1016379,202541,27750,11203,6036,425,2871,1871,339724,64544,275180,229255,82467,2505,729,75156,4077,953,12616,2940,1893,6378,1405,,21905,8153,825,12280,647,
2001,1982927,1963164,1124343,274613,28830,19449,14622,502,3144,1181,270770,40995,229775,197366,47116,1918,994,40937,3267,677,7212,1925,1663,2204,1420,,12551,9248,522,2521,260,
2000,2319248,2306312,1465201,373647,30706,10510,4992,834,3630,1054,250835,48226,202609,154685,20405,1279,904,16598,1624,323,3330,1781,723,806,20,,9606,6121,1241,1737,507,
