年份,农、林、牧产品批发商品购进额,食品、饮料及烟草制品批发商品购进额,米、面制品及食用油批发商品购进额,烟草制品批发商品购进额,纺织、服装及日用品批发商品购进额,服装批发商品购进额,文化、体育用品及器材批发商品购进额,医药及医疗器材批发商品购进额,矿产品、建材及化工产品批发商品购进额,煤炭及制品批发商品购进额,石油及制品批发商品购进额,金属及金属矿批发商品购进额,建材批发商品购进额,化肥批发商品购进额,机械设备、五金交电及电子产品批发商品购进额,汽车、摩托车及零配件批发商品购进额,日用家电批发商品购进额,计算机、软件及辅助设备批发商品购进额,贸易经纪与代理商品购进额,其他批发商品购进额
2019,13047.8133,43355.1627,7877.3001,13165.5447,47000.5651,7589.2309,11299.8087,30219.8681,356198.7619,37737.6927,72629.1654,166145.6516,21373.6666,5269.3048,85620.3143,31883.1098,13117.4796,7268.053,4949.5589,10216.9093
2018,9729.7,37880.3,6929.9,13036.4,41037.4,7042.8,10882.2,25697.4,302271.0,30974.0,75031.2,129463.6,15634.7,4763.6,77177.8,29953.0,11647.7,7068.3,4121.8,7314.0
2017,8817.028,35739.234,6339.059,12039.081,37122.541,6645.362,9189.9,24633.187,269457.586,27995.04,67127.286,113960.813,13378.243,4338.576,69993.712,25214.709,14040.23,5768.365,5351.818,7860.385
2016,8713.5225,35972.5926,5790.4784,12064.6251,32875.3276,6211.4294,7769.313,20172.3949,217315.6163,23939.5558,54206.0605,88376.9144,11907.6054,4172.808,61551.2571,22248.8439,11423.624,4853.4321,5446.4442,7602.467
2015,8127.092,34270.7949,5185.2318,12779.4308,32957.2364,7194.0657,7270.1719,18011.882,203628.4107,24029.4683,53927.3574,79147.2739,11297.9853,5231.0583,52508.9437,18310.4911,11059.4515,4337.2545,5173.6205,7590.7899
2014,8072.54236,32161.57397,5028.94682,12963.36573,30600.26426,7293.51731,6393.63745,15941.5669,240713.92706,29906.68905,67033.32568,91128.77619,11888.76652,5394.51473,50094.11255,17416.67976,9201.13186,4304.36857,4714.94422,8459.58481
2013,7791.31311,28559.47307,4687.35933,12134.59817,27523.36397,6400.7476,5873.54878,13688.79041,226606.15035,31020.74392,66028.1964,82929.92067,11034.86892,4955.62674,42639.38676,13475.57632,9303.1338,4052.31014,4599.30222,7969.12782
2012,5840.53891,22942.42843,3629.84545,11053.26397,22871.53343,5617.27231,4670.94525,11143.13964,189863.25455,26430.6153,58447.957,68884.31459,9449.96807,4629.99752,36665.05401,11785.73212,7660.79811,3922.96165,3683.23726,6606.73709
2011,4765.7547,19182.5998,2759.3439,9429.6308,13431.366,4868.0789,3323.2076,9451.2477,166180.8005,21364.2171,52417.8198,63643.8284,8185.023,3406.5195,39226.1541,11903.0256,7028.0317,4454.1997,3541.1524,6974.8808
2010,4012.2,15154.7,2123.5,7810.2,10424.3,3506.6,2477.7,7246.6,121320.4,14856.7,37516.8,47793.8,5638.7,2342.5,30315.2,9306.1,5734.3,2909.4,3226.1,4973.0
2009,2826.7653,12231.08098,1377.63587,7065.9709,8164.80837,2870.61576,1805.41579,6163.65541,84089.41053,9478.38682,27954.87495,32087.12947,4129.01896,1969.73196,21766.3498,6275.33233,3751.12268,2447.44498,2556.54857,3404.66266
2008,2812.8316,11742.1175,1360.2749,6590.4287,8703.2055,3055.9178,2028.4571,5291.1152,91255.9152,8843.9753,29481.4469,37502.829,3999.6223,2286.5239,22532.2197,6886.3003,3241.6977,1948.7689,3244.0902,4947.5081
2007,1965.63862,10088.35195,819.09292,5837.75603,6888.63478,2687.3389,1289.66913,3911.67957,61177.92202,3906.84839,24742.91811,20029.0431,2517.09788,1446.58917,15062.86577,3559.58884,2813.09993,1438.8567,1076.29113,3371.41421
2006,1750.76606,8834.25864,704.15297,5791.99038,5644.79858,2257.68347,1168.01355,3364.08463,46094.61534,2561.67403,21705.56377,14459.41681,1668.85794,1214.48021,12793.23059,2547.10214,2260.75814,1165.15359,968.10153,2761.98717
2005,1801.92658,8013.48917,655.56015,5466.69103,4638.61796,1759.01296,1045.9648,2937.91836,37762.45002,2271.166,17176.9691,11860.9492,1458.6724,1066.59394,11828.1127,4122.52098,1738.23016,1056.28905,691.96962,2930.15976
2004,,,,,,,,,,,,,,,,,,,,
2003,1177.67579,6355.1422,651.46762,4550.53929,3133.70836,1037.49609,723.19827,1837.80877,15639.1129,693.7537,7959.2532,4380.24294,506.43092,648.14011,6128.13521,2224.95926,638.45865,344.03499,649.98374,1051.63404
2002,,5696.94,865.4,3631.26,,,,1495.29,,496.58,6901.95,,220.93,,,1890.18,,,,
2001,,5659.4791,894.5276,3541.7188,,,,1245.4348,,551.0971,6705.9992,,174.7872,,,1475.5117,,,,
2000,,5685.6151,754.2782,3618.5435,,,,1089.2411,,462.0688,5776.8241,,176.0095,,1296.3599,1316.4441,,,,654.0064
