年份,批发业法人企业单位数,内资批发企业法人企业数,国有批发企业法人企业数,集体批发企业法人企业数,股份合作批发企业法人企业数,联营批发企业法人企业数,国有联营批发企业法人企业数,集体联营批发企业法人企业数,国有与集体联营批发企业法人企业数,其他联营批发企业法人企业数,有限责任公司批发企业法人企业数,国有独资公司批发企业法人企业数,其他有限责任公司批发企业法人企业数,股份有限公司批发企业法人企业数,私营批发企业法人企业数,私营独资批发企业法人企业数,私营合伙批发企业法人企业数,私营有限责任公司批发企业法人企业数,私营股份有限公司批发企业法人企业数,其他内资批发企业法人企业数,港澳台投资批发企业法人企业数,合资经营批发企业(港或澳、台资)法人企业单位数,合作经营批发企业(港或澳、台资)法人企业单位数,港、澳、台商独资经营批发企业法人企业数,港、澳、台商投资股份有限公司批发企业法人企业数,其他港澳台商投资批发企业法人企业数,外商投资批发企业法人企业数,中外合资经营批发企业法人企业数,中外合作经营批发企业法人企业数,外资批发企业法人企业数,外商投资股份有限公司批发企业法人企业数,其他外商投资批发业法人企业数
2019,140075,133079,1334,273,110,16,3,6,4,3,29948,2086,27862,2175,98753,564,62,96716,1411,470,2990,434,19,2442,59,36,4006,591,17,3243,72,83
2018,113696,108261,1495,343,109,12,3,5,,,27384,1739,25645,2136,76261,466,51,74525,1219,521,2416,346,13,1977,49,31,3019,460,14,2422,55,68
2017,100988,96000,1887,431,105,17,5,6,3,3,29638,1548,28090,2106,61032,472,50,59176,1334,784,2299,328,17,1843,54,57,2689,380,18,2175,49,67
2016,95066,90507,2130,592,126,17,5,7,3,2,28865,1436,27429,2067,55704,577,55,53768,1304,1006,2071,319,23,1649,47,33,2488,355,13,2020,42,58
2015,91819,87504,2368,648,163,24,4,8,6,6,27701,1295,26406,1970,53537,713,136,51436,1252,1093,1896,300,19,1526,41,10,2419,366,16,1949,46,42
2014,93960,89668,2556,731,197,30,6,12,6,6,27598,1303,26295,1981,55379,764,141,53127,1347,1196,1836,282,23,1485,45,1,2456,392,19,1984,38,23
2013,91607,87201,2755,765,225,45,16,12,8,9,25394,1204,24190,2016,54453,922,168,51895,1468,1548,1766,257,20,1449,39,1,2640,377,21,2189,39,14
2012,72944,69356,4005,944,352,131,57,23,20,31,18847,597,18250,1606,41650,2343,460,37652,1195,1821,1327,215,18,1056,35,3,2261,354,23,1837,33,14
2011,66752,63170,3936,1030,353,130,51,20,24,35,16530,536,15994,1675,37980,2306,509,33918,1247,1536,1261,211,20,997,31,2,2321,372,23,1881,40,5
2010,59464,56684,3857,1121,352,129,53,20,25,31,13932,475,13457,1588,35222,2397,534,31038,1253,483,962,182,12,735,33,,1818,367,22,1391,38,
2009,52853,50498,3922,1101,372,130,51,17,33,29,12381,458,11923,1533,30657,1808,464,27205,1180,402,790,159,17,590,24,,1565,283,22,1222,38,
2008,59432,56652,4584,1263,450,150,59,22,35,34,13370,483,12887,1798,34665,2197,718,30360,1390,372,871,153,17,677,24,,1909,292,28,1542,47,
2007,29046,27839,3810,925,282,181,72,22,45,42,7835,356,7479,1028,13673,455,150,12571,497,105,389,83,14,287,5,,818,141,11,652,14,
2006,28125,27106,4234,1028,292,186,79,23,42,42,7606,379,7227,1075,12594,295,131,11687,481,91,310,69,11,222,8,,709,127,17,551,14,
2005,26963,25947,4710,1099,354,173,84,18,38,33,7442,426,7016,1164,10933,259,130,10109,435,72,308,62,13,227,6,,708,117,14,567,10,
2004,30756,29559,5792,1316,448,232,97,30,57,48,8355,505,7850,1251,12125,294,154,11189,488,40,329,84,15,218,12,,868,166,17,673,12,
2003,14937,14406,5712,1238,279,178,91,11,33,43,3605,241,3364,1033,2343,104,45,2086,108,18,199,53,16,121,9,,332,43,6,282,1,
2002,15262,14822,6804,1527,324,192,101,11,39,41,3184,270,2914,1034,1743,71,31,1546,95,14,169,45,9,110,5,,271,49,4,214,4,
2001,15258,15058,7736,1859,363,206,115,12,41,38,2671,269,2402,949,1262,45,34,1105,78,12,84,27,12,39,6,,116,49,3,58,6,
2000,15393,15279,9317,2406,355,228,123,21,51,33,1722,233,1489,685,560,36,17,472,35,6,47,22,6,18,1,,67,36,5,23,3,
