年份,零售业资产总计,内资零售业企业资产总计,国有零售业企业资产总计,集体零售业企业资产总计,股份合作零售业企业资产总计,联营零售业企业资产总计,国有联营零售业企业资产总计,集体联营零售业企业资产总计,国有与集体联营零售业企业资产总计,其他联营零售业企业资产总计,有限责任公司零售业企业资产总计,国有独资公司零售业企业资产总计,其他有限责任公司零售业企业资产总计,股份有限公司零售业企业资产总计,私营零售业企业资产总计,私营独资零售业企业资产总计,私营合伙零售业企业资产总计,私营有限责任公司零售业企业资产总计,私营股份有限公司零售业企业资产总计,其他零售业企业资产总计,港澳台商投资零售业企业资产总计,港澳台商合资经营零售业企业资产总计,港澳台商合作经营零售业企业资产总计,港澳台商独资经营零售业企业资产总计,港澳台商投资股份有限公司零售业企业资产总计,其他港澳台商投资零售业企业资产总计,外商投资零售业企业资产总计,中外合资经营零售业企业资产总计,中外合作经营零售业企业资产总计,外资零售业企业资产总计,外商投资股份有限公司零售业企业资产总计,其他外商投资零售业企业资产总计
2019,64891.7561,53741.8494,579.3115,156.1933,186.8681,11.5498,1.7031,2.9225,2.664,4.2603,21642.6626,1925.9749,19716.6876,9940.9775,21190.9292,307.1601,40.7755,20027.3965,815.5974,33.3584,4911.8607,1376.869,44.5607,3285.4148,127.2784,77.7378,6238.0459,1844.6883,69.7097,3089.796,829.6882,404.1642
2018,61828.3413,52599.1943,972.4973,188.3878,61.7686,12.7824,1.4147,3.0944,4.0663,4.2071,22383.4972,1562.8649,20820.6323,9946.5187,18990.1044,294.6007,38.8561,17908.5167,748.1309,43.6378,4186.2726,1224.0601,43.1016,2753.2855,107.3459,58.4795,5042.8744,1649.1212,78.3462,2844.5282,323.5744,147.3044
2017,61205.8957,51261.966,651.826,219.402,58.952,30.068,3.433,4.636,9.76,12.238,23029.987,1454.884,21575.103,10110.268,17066.275,321.019,44.779,15846.622,853.856,95.189,5884.15,1579.168,45.19,4070.705,126.587,62.503,4059.78,1090.488,92.839,2478.768,166.057,231.627
2016,60435.9764,52790.5853,759.7947,304.0553,54.2252,29.5015,1.9456,13.4244,7.4117,6.7196,23135.8496,1212.0272,21923.8219,11259.5531,17125.9981,340.0493,41.6365,15882.8543,861.4585,121.6097,3980.4226,1262.1413,42.229,2467.9209,179.3467,28.7851,3664.9684,986.6158,97.9942,2329.4258,156.5505,94.3824
2015,53507.3129,46783.2015,927.5706,319.0632,57.0768,19.863,2.8327,6.7219,5.0254,5.283,20855.6008,833.717,20021.8839,8938.389,15464.1334,437.6656,49.9363,14290.3369,686.1952,201.5044,3448.3339,1058.1738,39.5,2184.4414,152.4346,13.7844,3275.7778,964.0205,86.657,2058.5641,121.0543,45.4821
2014,50824.9231,44157.31743,1043.23696,333.99365,55.09919,19.30708,3.44189,6.5529,5.36287,3.94942,19860.44332,734.62202,19125.8213,7635.40884,15024.65285,368.89795,46.04384,13853.39836,756.3127,185.17554,3370.92287,970.54325,39.6394,2126.34887,149.28122,85.11013,3296.6828,1059.18325,97.48294,2013.29747,110.7328,15.98634
2013,44438.4417,37784.73083,932.02098,331.19564,54.58094,23.07855,4.74579,8.17697,5.50832,4.64747,15987.98374,597.03616,15390.94758,7201.65332,13039.00261,348.25475,48.03108,11879.34151,763.37527,215.21505,3554.27309,865.23992,63.32944,2362.8177,165.57387,97.31216,3099.43779,1040.9685,117.29361,1829.18965,93.55053,18.4355
2012,37727.30651,32058.81623,2039.20912,368.11682,182.04911,58.6619,23.13302,9.63988,14.27313,11.61587,12270.32485,236.26435,12034.0605,5611.8501,10735.02071,868.22634,114.61674,8962.43198,789.74565,793.58362,2756.75354,769.89585,262.44457,1498.27838,94.95297,131.18177,2911.73674,954.17063,119.22396,1791.14662,34.77801,12.41752
2011,30842.8874,26263.146,1932.7451,334.8938,154.546,63.6071,34.5511,8.4407,9.9809,10.6344,9809.0319,187.6584,9621.3735,5172.9679,8290.1378,617.8647,95.3096,7100.6371,476.3264,505.2164,2048.4352,627.1576,134.749,1114.0461,63.3328,109.1498,2531.3062,881.7969,152.5931,1462.2664,29.653,4.9967
2010,24557.8,21057.9,1603.6,353.0,145.0,67.3,34.5,6.8,14.1,11.9,7434.7,170.4,7264.2,4263.5,7017.6,584.0,99.4,5846.2,488.0,173.3,1428.3,476.1,128.8,747.9,75.5,,2071.6,727.5,108.6,1137.3,98.2,
