年份,综合零售负债合计,百货零售负债合计,超级市场零售负债合计,食品、饮料及烟草制品专门零售负债合计,纺织、服装及日用品专门零售负债合计,服装零售负债合计,文化、体育用品及器材专门零售负债合计,体育用品零售负债合计,图书零售负债合计,医药及医疗器材专门零售负债合计,西药零售负债合计,汽车、摩托车、燃料及零配件专门零售负债合计,汽车新车零售负债合计,机动车燃料零售负债合计,家用电器及电子产品专门零售负债合计,日用家电零售负债合计,计算机、软件及辅助设备零售负债合计,通信设备零售负债合计,五金、家具及室内装修材料专门零售负债合计,无店铺及其他零售负债合计,邮购及电子销售负债合计
2019,12319.0356,7633.6931,4146.2194,1373.4135,2813.1606,1878.8195,1719.5454,95.0862,780.8673,1889.9435,1627.969,17736.7285,11929.4247,5136.1943,3203.6663,1952.0127,301.1114,368.4266,942.0828,3652.9912,3039.6864
2018,10997.2456,6808.9862,3791.1647,1226.7141,2433.318,1663.283,1695.5719,110.9837,746.6184,2205.808,2008.0544,17029.764,12188.2636,4300.0564,3681.4591,2170.1993,467.01,413.4202,927.5699,2835.3666,2292.332
2017,10735.252,6645.972,3794.474,1202.527,2394.712,1627.225,1491.424,83.551,629.798,2437.766,2300.615,16124.241,12179.477,3586.798,3326.075,1926.394,439.498,327.842,936.006,2854.88,2232.162
2016,11077.9797,6745.4621,4046.1717,1051.6324,2284.7804,1576.0562,1474.8456,75.7351,666.8873,2832.8708,2681.8314,16239.1425,12321.2563,3498.052,3724.8971,2399.4738,331.8361,331.9419,1197.7614,2209.9197,1377.6404
2015,10925.1235,6678.49,3972.0801,1133.2132,2081.4671,1405.4405,1349.2249,63.4355,608.4415,2496.6727,2373.869,14856.4288,11422.6837,2996.1067,2713.1349,1439.9802,322.6589,393.7659,1061.374,1574.4756,779.1169
2014,10568.7082,6283.94444,4031.085,1072.21638,1891.81394,1272.53135,1306.84107,51.8325,544.74254,2336.03053,2147.43248,14037.20117,11264.89996,2498.72291,2543.41146,1418.60946,356.3997,252.28656,1044.01544,1606.96614,820.5899
2013,10329.12673,6249.53167,3827.87194,731.55195,1618.39416,1112.06634,1159.37055,68.10516,483.64058,1897.46057,1752.34768,11773.04621,9554.64167,1997.18741,2394.60605,1372.62151,339.44022,217.16614,924.93606,1200.41156,508.45298
2012,8689.30428,5161.30657,3316.30754,703.9821,1339.23766,949.46039,941.97455,62.13532,417.39959,1483.51454,1376.96051,9762.67584,7911.10174,1643.63825,2642.64318,1805.31868,308.43334,193.8567,590.22674,976.95282,341.1
2011,7687.0319,4576.654,2882.4443,487.038,1009.7021,741.0534,704.106,45.9678,332.1219,1062.0651,993.2164,7875.2502,6363.3225,1333.9853,2027.5749,1574.0166,244.5842,169.7901,561.5461,551.9397,159.373
2010,6503.4,3694.3,2604.7,302.4,731.4,543.4,558.7,31.5,299.1,836.1,789.5,6101.7,4879.0,1080.7,1789.3,1435.5,208.4,113.8,384.3,413.3,120.3
2009,5267.619,2996.4989,2129.8633,238.71644,623.82831,445.68135,482.84536,24.74704,281.10111,614.4644,583.04771,4436.15661,3559.34577,754.19604,1438.92702,1168.08647,147.6772,91.58701,303.63771,309.98188,72.51211
2008,4615.5646,2656.684,1836.4459,203.992,569.8198,408.3898,440.9391,17.034,259.6919,515.3861,489.59,3455.9819,2803.0466,552.5592,1109.4085,880.1819,123.2413,88.043,288.8426,254.717,62.1704
2007,3833.79888,2242.65367,1436.94825,161.95147,283.3321,202.05147,329.93794,20.5755,196.52404,392.74656,364.87251,2391.40884,1988.58011,335.70599,926.79525,719.01959,115.48281,71.07304,202.16495,144.2876,22.32095
2006,3362.4122,1972.8635,1226.808,159.3687,208.9293,135.0749,297.8359,13.7652,197.9869,345.1469,307.2476,1959.9006,1500.3616,380.1569,669.4737,492.9374,97.0065,60.1387,158.9554,114.8936,14.468
2005,2814.21288,1670.17537,1043.63417,134.11261,178.37461,114.27911,272.59749,8.99857,185.69819,323.8721,296.06916,1522.88372,1128.11009,341.17556,630.91597,469.17345,87.60042,55.5343,146.70269,119.02582,6.09468
2004,2492.85607,1541.19063,826.25954,162.76679,187.90107,120.10411,246.40454,8.55287,170.47618,315.248,260.81242,1312.35237,1031.2011,226.21835,557.20306,413.82016,72.38778,56.70129,154.52641,106.0741,8.71482
2003,2376.14669,1612.87124,679.13158,174.72812,123.09679,66.66356,168.85189,4.42598,124.27015,177.3575,167.1492,531.49661,398.2209,89.42394,370.3752,289.75463,39.01659,37.13768,85.18988,60.08278,1.2494
2002,,1899.4386,,267.9865,91.9798,,14.0219,,115.5226,161.4126,,224.2668,,,,,40.5309,,,,
2001,,1778.1739,,288.2981,86.1144,,15.1301,,101.7779,130.2515,,107.2024,,,,,26.0359,,,,
2000,,1706.2,,387.0833,78.0,,12.8,,92.7022,99.061,,77.8642,,,,,10.2111,,,,
