年份,零售业负债合计,内资零售业企业负债合计,国有零售业企业负债合计,集体零售业企业负债合计,股份合作零售业企业负债合计,联营零售业企业负债合计,国有联营零售业企业负债合计,集体联营零售业企业负债合计,国有与集体联营零售业企业负债合计,其他联营零售业企业负债合计,有限责任公司零售业企业负债合计,国有独资公司零售业企业负债合计,其他有限责任公司零售业企业负债合计,股份有限公司零售业企业负债合计,私营零售业企业负债合计,私营独资零售业企业负债合计,私营合伙零售业企业负债合计,私营有限责任公司零售业企业负债合计,私营股份有限公司零售业企业负债合计,其他零售业企业负债合计,港澳台商投资零售业企业负债合计,港澳台商合资经营零售业企业负债合计,港澳台商合作经营零售业企业负债合计,港澳台商独资经营零售业企业负债合计,港澳台商投资股份有限公司零售业企业负债合计,其他港澳台商投资零售业企业负债合计,外商投资零售业企业负债合计,中外合资经营零售业企业负债合计,中外合作经营零售业企业负债合计,外资零售业企业负债合计,外商投资股份有限公司零售业企业负债合计,其他外商投资零售业企业负债合计
2019,45650.5667,38232.923,348.9979,90.4486,173.9931,5.0208,0.5142,1.1608,1.2131,2.133,15776.9135,1282.9596,14493.9541,6107.7634,15715.8207,137.9549,17.4841,15113.5261,446.8556,13.9656,3363.7039,752.2793,14.6465,2461.1525,88.2695,47.3569,4053.9392,1100.0084,48.5431,2199.3307,405.0846,300.9732
2018,43032.8171,36820.2392,632.7431,109.6158,40.2343,5.1972,0.4279,1.2029,1.3039,2.2624,16073.2402,966.452,15106.7882,5994.5697,13950.108,130.7795,15.6898,13366.0811,437.5575,14.531,2817.309,683.5658,14.1251,2007.7469,71.1268,40.7445,3395.2689,1102.9665,56.8617,2079.3912,67.2083,88.8412
2017,41502.8821,35902.217,367.844,127.258,39.121,9.477,2.591,1.84,2.249,2.797,17074.88,1014.418,16060.462,5766.426,12481.382,129.456,23.148,11789.758,539.022,35.83,2764.571,749.962,17.379,1872.99,82.49,41.75,2836.095,651.698,54.676,1800.804,120.677,208.24
2016,42093.8278,36852.7869,456.3456,182.5284,36.457,14.2313,1.2059,7.8769,1.1676,3.9811,17041.9705,734.9872,16306.9833,6723.326,12350.3779,136.734,21.2461,11637.687,554.711,47.5512,2603.2357,706.4249,20.2687,1756.2508,95.8278,24.4635,2637.8057,635.7185,59.0726,1750.6629,114.5241,77.8276
2015,38191.1133,33482.5694,579.2906,198.6529,34.498,10.7782,2.1315,3.7704,1.5396,3.3371,15618.2122,493.3422,15124.8705,5613.9804,11314.8789,208.8074,28.8805,10625.4195,451.7716,112.2788,2326.7894,643.8065,24.6615,1566.381,80.9686,10.9721,2381.754,641.4072,66.6826,1542.2891,98.5039,32.8716
2014,36407.2043,31652.00452,643.57788,207.52948,34.92511,10.61013,2.56205,3.59024,1.82254,2.6353,14561.45644,404.67844,14156.778,4945.60605,11145.73628,168.52267,26.20319,10437.59889,513.41153,102.56315,2288.51554,617.3432,16.62537,1518.1935,95.11008,41.24339,2466.68427,780.50391,73.35149,1513.11806,86.55931,13.1515
2013,32028.9038,27075.87805,580.68998,210.04553,35.4644,13.02249,2.90748,5.03642,2.33187,2.74672,12002.15224,321.12096,11681.03128,4561.07671,9548.59883,161.76026,28.90034,8838.41503,519.5232,124.82787,2593.79346,580.21282,43.43966,1826.20985,101.66496,42.26617,2359.23233,782.43405,89.32614,1402.89418,68.52573,16.05223
2012,27130.51171,22936.42119,1247.93065,237.45924,121.74976,34.76913,12.36543,6.64841,9.39691,6.35838,9387.37695,133.41482,9253.96213,3486.01462,7851.60506,452.7267,71.25749,6844.45603,483.16484,569.51578,1912.71424,518.18803,178.03837,1065.41911,70.18427,80.88446,2281.37628,733.91535,91.39481,1421.71689,25.54536,8.80387
2011,21966.254,18639.7754,1159.7064,224.9658,88.2025,42.2477,24.0401,5.6428,7.3148,5.25,7402.8296,99.665,7303.1645,3194.0693,6153.5021,360.5388,57.484,5398.7301,336.7491,374.252,1420.7762,419.064,111.8557,778.9997,52.195,58.6617,1905.7024,667.2697,105.7463,1109.6608,17.696,5.3297
2010,17620.7,15049.1,1049.8,246.5,102.2,43.1,22.8,3.7,10.1,6.7,5636.3,88.3,5548.0,2650.8,5191.1,322.2,57.4,4461.5,350.1,129.3,1008.4,316.2,104.8,534.9,52.5,,1563.2,542.2,75.0,890.0,56.1,
2009,13716.17673,11679.01347,759.01317,255.56932,99.5693,27.1285,17.39516,2.73143,2.4415,4.56041,4355.02,85.34252,4269.67748,2084.33049,3978.54884,260.44893,40.48239,3360.46472,317.1528,119.83385,768.80889,264.272,67.68118,400.4017,36.45401,,1268.35437,488.77677,79.82323,668.72727,31.0271,
2008,11454.6516,9854.0264,697.5077,216.3539,83.6102,43.6442,12.7021,1.9523,17.5462,11.4436,3590.8533,106.642,3484.2113,1846.7618,3300.3319,233.3609,35.4512,2867.9102,163.6096,74.9634,562.0373,195.8511,16.5768,333.6728,15.9365,,1038.588,449.7736,149.8341,395.5605,43.4198,
2007,8666.4,7597.74487,627.92933,206.07842,96.22609,48.72836,9.4204,10.19446,17.92259,11.19091,2731.92499,134.27951,2597.64548,1493.61661,2319.64319,94.59742,26.53331,2081.93984,116.57262,73.59788,289.80839,155.57702,26.19849,104.53021,3.50267,,778.87033,412.55601,122.09891,240.22632,3.98909,
2006,7276.9,6479.8042,606.726,207.3976,76.3453,60.5961,21.6243,5.8268,19.462,13.6831,2253.9159,176.6573,2077.2587,1374.599,1860.6042,68.0266,29.5526,1662.3112,100.7137,39.62,225.9558,147.8565,22.4813,55.4436,0.1745,,571.1561,284.2353,110.4863,162.7227,13.7118,
2005,6142.7,5554.49767,632.76108,178.51724,85.84045,59.27064,21.24593,3.8946,18.05206,16.07805,1933.37777,89.12755,1844.25022,1245.87426,1403.8527,46.00485,20.10154,1257.41498,80.33133,15.00363,188.52746,152.78644,14.71607,20.18793,0.83702,,399.67266,212.92885,112.69529,73.69939,0.34913,
2004,5535.33241,5030.89834,662.19453,182.87945,75.31954,52.99653,19.16833,5.50342,18.45115,9.87363,1838.44773,76.8832,1761.56453,956.2462,1251.45696,39.17988,14.46781,1124.4767,73.33257,11.3574,198.788,176.19604,16.96477,5.34525,0.28194,0.0,305.64607,168.29904,92.36488,44.34054,0.64161,0.0
2003,4067.32546,3690.99902,765.82097,186.25193,84.57912,44.05385,15.21995,1.96347,16.68193,10.1885,1166.47818,77.28704,1089.19114,874.29572,564.71723,39.95565,11.09219,477.67521,35.99418,4.80202,139.15772,88.21033,31.11845,19.67894,0.15,,237.47907,131.26427,35.53263,67.07107,3.6111,
2002,3351.2178,3036.9004,835.8983,193.6941,83.5733,54.2505,18.0255,9.191,14.6966,12.3374,760.9266,47.0025,713.9241,778.9649,326.0897,16.8156,3.4955,277.7223,28.0563,3.503,123.3311,87.1407,21.8068,3.9277,10.456,,190.9862,91.8426,75.943,19.7886,3.4121,
2001,2955.8809,2680.9006,948.9067,203.434,77.4852,38.9646,12.9938,2.3811,10.5337,13.056,518.3778,46.0072,472.3705,688.9776,202.3102,15.4628,1.5711,169.3196,15.9567,2.4446,126.2948,89.606,27.2957,1.7498,7.6433,,148.6855,88.1827,54.9173,5.5855,,
2000,2882.9215,2612.4665,1125.2097,267.1567,69.0895,35.9009,9.9392,8.6202,7.5342,9.8072,361.0191,52.2552,308.7639,656.7793,96.2742,14.431,1.2364,73.718,6.8888,1.0371,146.426,79.7228,39.7089,2.4191,24.5752,,124.029,78.0859,45.7315,0.0209,0.1908,
