年份,零售业固定资产合计,内资零售业企业固定资产合计,国有零售业企业固定资产合计,集体零售业企业固定资产合计,股份合作零售业企业固定资产合计,联营零售业企业固定资产合计,国有联营零售业企业固定资产合计,集体联营零售业企业固定资产合计,国有与集体联营零售业企业固定资产合计,其他联营零售业企业固定资产合计,有限责任公司零售业企业固定资产合计,国有独资公司零售业企业固定资产合计,其他有限责任公司零售业企业固定资产合计,股份有限公司零售业企业固定资产合计,私营零售业企业固定资产合计,私营独资零售业企业固定资产合计,私营合伙零售业企业固定资产合计,私营有限责任公司零售业企业固定资产合计,私营股份有限公司零售业企业固定资产合计,其他零售业企业固定资产合计,港澳台商投资零售业企业固定资产合计,港澳台商合资经营零售业企业固定资产合计,港澳台商合作经营零售业企业固定资产合计,港澳台商独资经营零售业企业固定资产合计,港澳台商投资股份有限公司零售业企业固定资产合计,其他港澳台商投资零售业企业固定资产合计,外商投资零售业企业固定资产合计,中外合资经营零售业企业固定资产合计,中外合作经营零售业企业固定资产合计,外资零售业企业固定资产合计,外商投资股份有限公司零售业企业固定资产合计,其他外商投资零售业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,7536.6531,6570.4359,154.7375,42.3785,14.9817,2.5571,0.2139,1.0085,0.3926,0.9419,2661.2924,209.3172,2451.9753,1411.4989,2267.1654,81.8533,10.4603,2073.2447,101.6071,15.8242,501.3522,137.6421,5.5112,334.4024,14.6956,9.101,464.8651,156.6974,9.3942,243.0956,29.7856,25.8921
2017,8180.5686,7180.68,149.735,51.75,17.141,5.587,0.286,0.867,3.592,0.841,2960.974,243.102,2717.872,1657.577,2304.658,102.004,11.105,2092.202,99.347,33.26,565.22,158.173,9.806,366.501,18.825,11.916,434.668,143.368,6.848,232.42,33.692,18.343
2016,8384.5868,7316.6334,195.71,86.8381,16.2113,5.0956,0.4726,1.375,2.2438,1.0045,3026.753,201.015,2825.7378,1614.9589,2327.7573,115.9833,10.984,2092.7238,108.0668,43.3101,592.5674,182.6275,9.1965,373.5561,17.9896,9.198,475.3866,170.9197,7.0109,253.2185,33.9227,10.3149
2015,7835.8893,6829.453,207.1654,92.6026,16.1254,3.4013,0.6742,1.3567,0.7166,0.6538,2850.0047,158.8272,2691.1773,1516.9576,2091.5972,124.4075,11.6841,1859.5112,95.9953,51.5992,535.5954,145.5096,9.5747,360.2684,17.3787,2.8645,470.8408,178.0509,8.7913,251.2472,22.0944,10.6575
2014,7737.5867,6801.00054,228.03267,97.43431,14.07785,3.57675,0.82379,1.47825,0.73537,0.53934,2933.104,172.39226,2760.71174,1448.86794,2030.26062,125.4221,11.04381,1795.95051,97.8442,45.6464,470.76418,116.72993,12.5095,314.77474,20.46235,6.28766,465.822,173.04613,9.98503,255.87888,22.07179,4.84017
2013,6802.157,5883.07792,216.55458,91.62256,13.58235,3.98856,1.01177,1.43507,0.83868,0.70304,2327.35261,149.40123,2177.95138,1340.87711,1837.67111,116.04143,11.41644,1612.5845,97.62874,51.42904,432.51458,98.31202,12.45851,281.56905,30.59444,9.58056,486.56449,178.51667,11.45986,264.26204,29.50586,2.82006
2012,5569.98006,4821.15401,482.84628,89.53178,49.15012,9.51869,3.63005,1.24402,2.11233,2.53229,1616.36632,52.03362,1564.3327,1092.27077,1362.99626,218.76915,19.10749,1057.93536,67.18426,118.47379,342.55482,92.57394,9.43974,211.00935,11.25376,18.27803,406.27123,162.51951,11.93601,224.05836,4.553,3.20435
2011,5054.6989,4377.8943,467.396,84.2771,36.9622,9.473,5.0056,1.1898,0.9336,2.3439,1409.6975,47.3432,1362.3543,1185.1931,1101.8525,147.8294,20.7368,864.1099,69.1765,83.0431,302.208,96.6459,9.0483,171.2788,11.8396,13.3954,374.5966,154.8973,20.046,196.6341,2.4864,0.5328
2010,4198.6,3615.4104,408.75786,94.77397,34.11504,11.84663,4.793,1.26199,1.73444,4.0572,1178.61768,47.41973,1131.19795,828.87088,1022.64594,157.39014,21.57069,776.96516,66.71995,35.7824,221.65949,75.55118,7.49672,122.14373,16.46786,,361.48497,140.63254,15.76646,178.77597,26.31,
