年份,零售业流动资产合计,内资零售业企业流动资产合计,国有零售业企业流动资产合计,集体零售业企业流动资产合计,股份合作零售业企业流动资产合计,联营零售业企业流动资产合计,国有联营零售业企业流动资产合计,集体联营零售业企业流动资产合计,国有与集体联营零售业企业流动资产合计,其他联营零售业企业流动资产合计,有限责任公司零售业企业流动资产合计,国有独资公司零售业企业流动资产合计,其他有限责任公司零售业企业流动资产合计,股份有限公司零售业企业流动资产合计,私营零售业企业流动资产合计,私营独资零售业企业流动资产合计,私营合伙零售业企业流动资产合计,私营有限责任公司零售业企业流动资产合计,私营股份有限公司零售业企业流动资产合计,其他零售业企业流动资产合计,港澳台商投资零售业企业流动资产合计,港澳台商合资经营零售业企业流动资产合计,港澳台商合作经营零售业企业流动资产合计,港澳台商独资经营零售业企业流动资产合计,港澳台商投资股份有限公司零售业企业流动资产合计,其他港澳台商投资零售业企业流动资产合计,外商投资零售业企业流动资产合计,中外合资经营零售业企业流动资产合计,中外合作经营零售业企业流动资产合计,外资零售业企业流动资产合计,外商投资股份有限公司零售业企业流动资产合计,其他外商投资零售业企业流动资产合计
2019,44989.1112,37216.3515,351.1651,108.6913,152.9206,8.1383,1.2904,2.0509,1.6717,3.1253,15322.8891,1107.843,14215.0461,5888.1936,15368.0566,184.0916,23.4609,14628.1842,532.3201,16.2972,3438.7711,949.7879,32.9844,2341.5272,68.9851,45.4867,4333.9887,1281.4235,54.9474,2331.0918,426.8283,239.6978
2018,43283.2981,36692.6726,683.106,118.3358,39.336,9.4614,1.1609,1.9763,3.4388,2.8855,15943.7408,900.7613,15042.9794,5745.6603,14131.5502,171.4211,21.4764,13442.4232,496.2295,21.482,2909.2375,834.7771,31.3639,1924.6569,76.1331,42.3064,3681.3881,1175.072,58.1926,2208.6822,181.4424,57.9989
2017,41718.6808,35830.387,406.909,133.258,36.005,16.39,3.129,3.471,4.409,5.381,16671.595,897.407,15774.188,5823.181,12695.558,183.703,25.899,11888.25,597.706,47.491,2970.089,1001.872,29.458,1822.245,80.872,35.641,2918.206,706.674,55.717,1884.499,70.134,201.183
2016,40501.3865,35344.86,397.5655,164.1517,30.5422,22.9767,1.441,11.6804,4.633,5.2219,16055.2974,657.4212,15397.8762,6547.3239,12071.8505,178.378,22.5503,11273.7656,597.1568,55.1538,2629.8303,841.9703,18.7921,1653.0878,102.5744,13.4057,2526.6962,632.0856,60.5138,1687.7839,70.4498,75.8638
2015,35876.7616,31393.9979,544.7355,175.9636,33.7826,14.4258,1.5358,4.7633,4.017,4.1097,14289.1068,420.7546,13868.3522,5127.2096,11089.4424,251.7946,27.3344,10326.7151,483.599,119.3332,2221.4754,720.5765,22.0595,1380.7038,89.7159,8.4194,2261.2891,615.9375,70.8374,1478.5738,64.4885,31.4521
2014,34036.1011,29578.86133,540.32137,192.44287,34.16203,13.50301,2.41174,4.49542,4.09267,2.50318,13792.64962,364.96533,13427.68429,3981.91799,10912.43078,195.80082,26.74389,10143.56412,546.32195,111.43366,2163.629,681.341,19.43557,1344.49811,69.29983,49.05449,2293.61072,712.02934,79.53263,1440.89949,53.85981,7.28945
2013,29523.7947,25276.36471,522.94864,192.66313,33.44206,16.62622,3.30004,5.54637,4.18388,3.59593,11133.31888,280.34909,10852.96979,3817.21668,9428.4883,189.45067,29.16517,8673.31929,536.55317,131.6608,2109.87327,618.03976,40.24495,1315.56001,80.54689,55.48166,2137.55667,711.57422,97.13966,1271.41665,43.19542,14.23072
2012,25981.07046,21933.36779,1071.56543,212.35797,93.77124,34.84439,11.02859,6.8044,9.88745,7.12395,8941.89818,128.66658,8813.2316,2971.1391,8043.42119,565.27018,75.48833,6846.94244,555.72024,564.37029,1937.03586,555.29043,188.81397,1057.46685,51.74218,83.72243,2110.66681,652.24518,88.39284,1338.22193,24.69423,7.11263
2011,20802.734,17601.2882,937.6096,208.5932,100.5711,43.3314,23.0912,6.1612,7.9824,6.0966,7102.8918,103.2892,6999.6026,2666.8554,6183.3425,395.8795,63.6558,5371.7038,352.1034,358.0932,1384.8912,441.9024,116.6694,754.2995,20.4469,51.5729,1816.5546,622.7927,117.1559,1048.1317,24.1343,4.3399
2010,16483.1,14088.8,901.0,215.2,81.5,46.3,24.1,3.8,11.3,7.1,5340.4,91.8,5248.6,2237.9,5154.5,349.6,62.4,4378.4,364.1,112.0,951.4,319.2,103.0,500.0,29.2,,1442.9,499.5,80.3,821.9,41.2,
2009,12857.16891,10992.31622,628.82805,239.59758,85.43088,29.44421,18.55086,3.08941,2.89194,4.912,4027.68771,73.59841,3954.0893,1953.43207,3920.10327,278.94313,43.71004,3282.20805,315.24205,107.79245,737.07439,256.20357,79.74728,373.39709,27.72645,,1127.7783,421.84723,81.80431,596.12221,28.00455,
2008,10488.5369,9089.993,627.8732,180.4149,71.4146,41.2677,13.131,2.9143,16.3345,8.888,3297.1998,93.864,3203.3358,1641.8521,3161.9619,238.8354,38.7242,2731.4191,152.9833,68.0089,545.285,184.0866,18.7408,328.858,13.5997,,853.2589,386.3867,125.886,307.8828,33.1034,
2007,7560.8,6661.35132,469.2419,165.23919,82.00807,48.92621,10.31142,6.76014,20.43799,11.41666,2388.93832,98.94869,2289.98963,1181.4631,2259.92764,101.75096,23.76639,2025.89276,108.51753,65.60689,280.25706,126.2664,26.75411,125.38506,1.85149,,619.2014,330.99079,99.23218,186.80229,2.17614,
