年份,综合零售资产总计,百货零售资产总计,超级市场零售资产总计,食品、饮料及烟草制品专门零售资产总计,纺织、服装及日用品专门零售资产总计,服装零售资产总计,文化、体育用品及器材专门零售资产总计,体育用品零售资产总计,图书零售资产总计,医药及医疗器材专门零售资产总计,西药零售资产总计,汽车、摩托车、燃料及零配件专门零售资产总计,汽车新车零售资产总计,机动车燃料零售资产总计,家用电器及电子产品专门零售资产总计,日用家电零售资产总计,计算机、软件及辅助设备零售资产总计,通信设备零售资产总计,五金、家具及室内装修材料专门零售资产总计,无店铺及其他零售资产总计,邮购及电子销售资产总计
2019,17233.9165,11298.0437,5351.1198,2406.7098,4139.9355,2647.7902,2971.5037,139.2803,1524.813,2684.8763,2325.2289,24960.682,15496.2281,8438.6815,4440.2342,2589.4585,564.1944,498.3452,1410.8821,4643.016,3509.3121
2018,15697.4039,10177.1203,5036.9134,2492.6201,3600.7457,2422.1035,2906.3011,173.4602,1443.1817,3079.7682,2793.5375,23809.902,15740.2315,7227.4764,5268.6187,3123.4314,727.9038,545.544,1430.6819,3542.2997,2658.356
2017,16709.244,11436.466,4903.52,2203.885,3539.419,2381.376,2624.522,138.611,1218.404,3401.887,3179.489,22699.17,15830.678,6362.418,5065.412,2928.305,743.794,464.493,1483.522,3478.836,2470.548
2016,15774.0433,10322.0076,5080.2211,2007.8069,3547.1551,2473.6678,2552.1698,120.0949,1238.3371,3835.1533,3595.8777,22362.6061,15690.2164,6137.0086,5618.5257,3526.2607,629.5297,441.7374,1934.738,2803.7792,1532.0645
2015,14949.5182,9631.7436,4944.3404,1959.2348,3169.3874,2164.2365,2319.2484,99.983,1103.739,3286.2404,3101.963,20240.6934,14465.7452,5217.9125,3973.4915,2053.8087,559.974,529.5613,1671.4255,1938.0748,732.2238
2014,14468.31452,9142.10982,4985.17508,2276.91669,2692.4065,1768.96503,2182.50108,84.49786,981.96944,3020.13362,2765.34132,18951.00973,14319.24028,4241.74833,3694.09764,1995.19257,592.86014,336.10303,1578.68681,1960.85651,744.43162
2013,13915.6374,8790.25688,4777.26826,1372.33671,2346.54694,1568.71562,1925.33741,101.43061,896.08298,2458.19025,2263.34061,16058.35593,12135.24899,3596.75031,3438.64746,1929.88482,544.0385,290.8528,1424.02833,1499.36128,430.84354
2012,11834.99471,7397.15512,4152.06295,1213.48697,1831.08576,1249.79873,1562.4416,87.1936,782.99343,1931.80293,1791.3271,13580.92081,10037.71979,3230.83256,3603.00545,2331.17506,464.86834,262.17048,913.76154,1255.80674,315.8
2011,10489.7577,6534.3791,3627.6998,790.6281,1399.2395,991.4888,1194.2252,64.388,615.6674,1425.4241,1332.7764,11074.4895,8208.5921,2606.9688,2757.3451,2099.6497,376.9351,223.9656,916.1222,795.6561,175.0067
2010,8746.7,5253.8,3218.6,521.4,992.9,707.1,1005.0,46.6,597.1,1116.1,1056.1,8574.6,6315.8,2046.3,2363.9,1840.3,318.4,157.9,636.6,600.7,125.7
2009,7148.14715,4284.99404,2673.64069,409.28257,874.08584,570.72465,847.1139,37.0393,535.25728,818.4283,778.74882,6600.91891,4632.06239,1791.8425,1924.2639,1513.84761,236.37761,129.17487,453.81976,446.79649,68.50763
2008,6236.4922,3778.6182,2291.3125,347.9878,753.8558,526.4514,760.765,23.0099,477.8363,678.3203,645.6487,5326.1882,3713.8882,1465.7146,1508.4116,1159.0482,198.6536,122.7092,400.4183,368.3555,62.1005
2007,5124.28662,3146.40606,1755.29619,266.93889,386.44398,277.16875,548.8336,26.43469,342.35039,505.84768,470.83771,3304.03516,2561.40699,647.93721,1169.19801,867.9924,170.89683,99.23314,281.77943,221.7983,24.1613
2006,4477.4687,2743.427,1527.0688,244.4322,286.7404,186.8476,512.5318,17.311,346.4037,444.144,396.9815,2743.7395,1949.3985,713.3452,857.1839,615.7749,134.2124,79.5005,217.4297,181.9362,14.3774
2005,3803.89014,2352.8513,1310.75149,201.12087,239.0368,152.56647,464.35426,10.24511,322.29739,409.42683,375.04316,2141.42145,1498.06851,571.66621,792.63188,563.17541,127.474,76.22122,192.86712,181.4712,4.09716
2004,3474.06833,2246.58762,1098.21823,224.31679,256.69838,165.01049,409.97674,10.01489,294.4822,423.64889,355.2707,1858.00602,1385.35041,397.83973,685.9684,486.19095,97.81375,80.29622,207.76156,162.55732,7.80605
2003,3251.61183,2271.43065,871.0895,215.71377,158.00849,83.54422,287.6572,5.37578,218.97447,233.32887,,736.26495,525.45735,154.01966,462.30974,339.36253,49.70138,67.68225,105.81379,102.26139,1.865
2002,,2650.5388,,334.4703,111.8033,,17.3517,,212.8648,207.6192,,295.1177,,,,,63.4811,,,,
2001,,2515.6016,,355.5655,102.3029,,18.2301,,192.1703,165.8466,,141.3465,,,,,40.1722,,,,
2000,,2372.9,,486.5164,99.2,,16.8,,159.7849,130.7148,,104.7667,,,,,15.5552,,,,
