年份,零售业所有者权益合计,内资零售业企业所有者权益合计,国有零售业企业所有者权益合计,集体零售业企业所有者权益合计,股份合作零售业企业所有者权益合计,联营零售业企业所有者权益合计,国有联营零售业企业所有者权益合计,集体联营零售业企业所有者权益合计,国有与集体联营零售业企业所有者权益合计,其他联营零售业企业所有者权益合计,有限责任公司零售业企业所有者权益合计,国有独资公司零售业企业所有者权益合计,其他有限责任公司零售业企业所有者权益合计,股份有限公司零售业企业所有者权益合计,私营零售业企业所有者权益合计,私营独资零售业企业所有者权益合计,私营合伙零售业企业所有者权益合计,私营有限责任公司零售业企业所有者权益合计,私营股份有限公司零售业企业所有者权益合计,其他零售业企业所有者权益合计,港澳台商投资零售业企业所有者权益合计,港澳台商合资经营零售业企业所有者权益合计,港澳台商合作经营零售业企业所有者权益合计,港澳台商独资经营零售业企业所有者权益合计,港澳台商投资股份有限公司零售业企业所有者权益合计,其他港澳台商投资零售业企业所有者权益合计,外商投资零售业企业所有者权益合计,中外合资经营零售业企业所有者权益合计,中外合作经营零售业企业所有者权益合计,外资零售业企业所有者权益合计,外商投资股份有限公司零售业企业所有者权益合计,其他外商投资零售业企业所有者权益合计
2019,19387.3243,15651.2193,226.4462,65.1853,12.9503,6.5291,1.1892,1.762,1.451,2.1272,5841.5671,642.654,5198.9124,4064.6335,5414.566,166.8789,22.1528,4858.3594,367.1752,19.343,1548.1743,624.8532,29.9141,824.2617,38.7647,30.3812,2187.9306,744.6801,21.1666,894.2344,424.6039,103.2455
2018,18863.0963,15846.5272,196.7408,78.772,21.5341,7.5853,0.9868,1.8914,2.7624,1.9447,6312.3488,596.413,5715.9359,4154.6389,5045.8005,163.8261,23.1662,4548.2349,310.5732,29.1068,1368.9636,540.4943,28.9765,745.5387,36.2191,17.735,1647.6055,546.1547,21.4844,765.137,256.3662,58.4632
2017,19677.9581,15334.694,283.982,92.144,19.831,20.591,0.842,2.797,7.512,9.44,5955.102,440.467,5514.636,4318.472,4585.212,191.564,21.831,4056.984,314.834,59.359,3119.58,829.206,27.811,2197.715,44.096,20.752,1223.685,438.79,38.163,677.965,45.381,23.387
2016,18307.517,15903.1669,303.4492,121.527,17.7682,15.2703,0.7398,5.5478,6.2442,2.7384,6093.8787,477.0403,5616.8384,4490.9367,4786.279,203.312,20.3903,4255.8297,306.7472,74.0582,1377.1873,555.7165,21.9603,711.6701,83.5191,4.3218,1027.1629,350.8973,38.9214,578.7629,42.0265,16.5549
2015,15322.1965,13307.8406,348.2802,120.4104,22.5792,9.0851,0.7014,2.9517,3.4861,1.9458,5236.812,339.7987,4897.0131,3332.2142,4149.2347,228.8588,21.0554,3664.8972,234.4238,89.2256,1120.3326,413.1558,14.8386,618.06,71.4658,2.8124,894.0235,322.6129,19.9745,516.2751,22.5505,12.6102
2014,14550.4895,12636.0232,399.65908,126.46417,20.17408,8.69695,0.87984,2.96266,3.54033,1.31412,5298.8538,329.94358,4968.91022,2820.86709,3878.69564,200.37528,19.84065,3415.57854,242.90117,82.61239,1082.40733,353.20005,23.01403,608.15537,54.17114,43.86674,832.05893,278.67935,24.13145,502.2398,24.17349,2.83484
2013,12441.9846,10741.29947,351.331,121.15011,19.11654,10.05606,1.83831,3.14055,3.17645,1.90075,3986.38933,275.9152,3710.47413,2672.13249,3490.73676,186.49449,19.13074,3041.25946,243.85207,90.38718,960.47963,285.0271,19.88978,536.60785,63.90891,55.04599,740.20546,258.53445,27.96747,426.29547,25.0248,2.38327
2012,10611.25896,9136.8592,809.08084,130.65758,60.29935,23.89277,10.76759,2.99147,4.87622,5.25749,2882.9479,102.84953,2780.09837,2122.52726,2883.38566,415.49964,43.35925,2117.94596,306.58081,224.06784,844.0393,251.70782,84.4062,432.85927,24.7687,50.29731,630.36046,220.25528,27.82915,369.42973,9.23265,3.61365
2011,8906.2912,7653.0284,773.0387,109.928,66.3435,21.3594,10.511,2.7979,2.6661,5.3844,2433.6755,87.9934,2345.6821,1981.2465,2136.4724,257.3257,37.8255,1701.7439,139.5773,130.9644,627.6591,208.0936,22.8932,335.0464,11.1378,50.4881,625.6038,214.5273,46.8468,352.6056,11.9571,-0.333
2010,6935.2,6006.9,553.8,106.5,42.8,24.2,11.7,3.1,4.1,5.2,1798.4,82.2,1716.3,1610.8,1826.5,261.9,42.0,1384.7,137.9,44.0,419.8,159.9,24.1,213.0,22.9,,508.4,185.3,33.7,247.3,42.1,
2009,5801.92131,5025.66721,428.88973,116.95442,36.10265,14.12824,8.03449,2.2107,2.28372,1.59933,1356.28134,54.81829,1301.46305,1678.22269,1344.16463,194.12169,32.36194,1026.37358,91.30742,50.92351,311.26739,135.83733,28.43822,134.24892,12.74292,,464.98671,180.11248,31.48508,239.32825,14.0609,
2008,4913.7177,4320.3304,426.0418,91.7382,30.0969,20.5282,8.4968,2.1592,7.1938,2.6784,1135.2238,50.9071,1084.3168,1417.6813,1164.2131,164.1774,29.2019,900.5095,70.3243,34.8071,273.2631,106.0535,11.6213,150.5094,5.079,,320.1242,168.3372,19.7256,110.5123,21.549,
2007,3141.8,2793.94737,221.04269,62.01542,25.72376,20.8369,4.75684,3.13914,10.47695,2.46397,811.26536,53.29664,757.96872,920.28024,709.51334,54.11564,10.60442,595.47724,49.31604,23.26966,152.17043,88.50837,10.74095,53.7739,-0.85279,,195.65554,129.20342,10.90833,56.59581,-1.05202,
2006,2687.1,2429.9727,245.7628,54.7853,20.5731,23.6102,9.811,2.5459,9.9836,1.2698,660.262,73.1939,587.0681,844.1722,571.7077,31.6351,5.7594,486.8528,47.4604,9.0995,114.9472,81.602,9.0399,24.1107,0.1947,,142.1662,94.9758,10.4987,35.9839,0.7078,
2005,2282.3,2081.22165,208.47126,52.67931,20.35802,21.02675,5.79016,1.62373,9.09769,4.51517,564.10527,50.82413,513.28114,755.54146,453.70804,22.61523,11.93545,382.33326,36.8242,5.33154,79.74981,67.87587,8.54017,2.60056,0.73321,,121.36497,88.11102,15.44622,17.47513,0.3326,
2004,2156.00786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1485.64457,1370.01577,252.55216,57.35081,25.76369,18.9848,5.96899,0.74334,8.27092,4.00155,317.60575,16.06959,301.53616,532.71469,163.5573,9.46604,3.68159,138.72516,11.68451,1.48657,37.69832,28.23012,3.66318,5.85056,,,77.93811,59.78727,11.68505,6.52326,-0.05747,
2002,1284.4654,1185.4166,225.3744,63.4569,24.4405,40.3687,28.8307,-0.4212,8.2396,3.7195,237.7003,16.8016,220.8988,487.4421,106.4771,6.22,1.5168,90.508,8.2324,0.1565,34.4439,29.4796,2.4747,0.6836,1.806,,64.6049,45.0695,18.383,1.1658,-0.0134,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
