年份,综合零售固定资产合计,百货零售固定资产合计,超级市场零售固定资产合计,食品、饮料及烟草制品专门零售固定资产合计,纺织、服装及日用品专门零售固定资产合计,服装零售固定资产合计,文化、体育用品及器材专门零售固定资产合计,体育用品零售固定资产合计,图书零售固定资产合计,医药及医疗器材专门零售固定资产合计,西药零售固定资产合计,汽车、摩托车、燃料及零配件专门零售固定资产合计,汽车新车零售固定资产合计,机动车燃料零售固定资产合计,家用电器及电子产品专门零售固定资产合计,日用家电零售固定资产合计,计算机、软件及辅助设备零售固定资产合计,通信设备零售固定资产合计,五金、家具及室内装修材料专门零售固定资产合计,无店铺及其他零售固定资产合计,邮购及电子销售固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,
2018,2910.4803,2033.1345,823.1888,328.8494,289.4155,193.0813,318.7087,25.2415,184.9546,151.6564,130.1295,2714.8173,1594.3384,999.5197,276.6464,136.1618,26.269,17.0875,236.1679,309.9112,93.9887
2017,3118.629,2160.492,888.459,374.439,336.64,222.383,315.985,25.521,175.758,192.625,177.458,2885.645,1727.206,1109.721,326.367,172.612,33.792,23.607,282.085,348.153,103.119
2016,3206.671,2178.5902,952.4489,380.0062,379.3752,261.9649,296.3586,18.6776,171.9249,213.3155,198.5146,2782.9526,1638.2459,1091.9996,380.4719,219.3789,40.2299,23.6653,352.9305,392.5063,86.9437
2015,3110.9312,2077.3081,954.9474,357.5068,377.0755,258.9424,301.1625,14.7178,162.9658,184.3264,171.3299,2526.2514,1546.3806,931.2389,295.3326,160.6497,33.6313,21.552,350.7683,332.5355,39.9281
2014,2907.87759,1903.0951,930.45029,637.14187,360.22042,241.92256,298.40983,12.3994,158.30053,174.53002,159.43228,2409.58374,1474.32618,891.22701,315.30296,163.65532,37.26735,24.40154,362.6559,271.86439,22.8196
2013,2717.89262,1769.04296,870.16225,267.55031,338.08999,237.15797,310.93427,8.36947,169.94531,157.16404,143.13703,2133.4485,1270.1319,819.39211,315.07811,170.57801,34.63283,19.69332,304.0074,257.99175,13.43782
2012,2382.35444,1579.49796,739.09225,174.73605,247.57732,179.85599,229.27962,6.42077,159.7468,123.14715,113.8909,1809.33305,1006.93842,765.7859,251.08524,155.30742,37.32019,14.97341,196.01343,156.45376,9.2
2011,2230.8683,1453.9427,703.6246,137.734,182.0602,131.7701,205.1762,4.9336,134.8769,106.6017,99.0799,1551.3948,806.9133,712.1698,226.1596,179.2524,21.7446,20.7442,273.5126,141.1915,9.3224
2010,1908.55823,1233.02763,611.66533,120.7898,176.9451,132.4969,217.97449,6.11304,157.13589,100.61997,96.41228,1224.42671,644.92796,549.01305,183.37054,139.35659,18.37249,22.4777,156.03025,109.83977,4.33357
2009,1747.43046,1140.84065,560.5705,98.85257,151.82774,109.67856,187.9377,6.61971,149.15837,84.85124,82.43242,1066.60241,517.99399,523.41941,121.62688,87.38671,14.72619,16.89179,106.48915,82.23384,3.23457
2008,2206.8631,1403.0164,739.9476,118.032,179.7286,132.7721,234.807,5.4645,183.8719,119.7908,116.1737,1285.223,604.9554,653.1229,160.2739,114.6197,19.2414,23.1546,136.3871,100.9533,3.8017
2007,1938.20633,1243.32249,641.4488,75.03869,110.07645,81.80274,196.55542,3.06408,152.12524,91.57446,88.19401,683.43951,372.20864,295.23384,101.49393,61.71036,14.65354,22.26289,92.05257,68.59224,2.25965
2006,1868.3169,1225.234,584.4482,76.3675,94.4864,58.9362,191.9739,2.815,147.7826,87.2537,81.8827,595.8527,281.5672,297.6582,75.7528,51.8692,12.166,8.9855,70.9963,57.5263,1.5375
2005,1212.57528,830.37477,344.82686,51.26793,59.91068,44.15041,127.74059,0.6305,101.2752,57.33835,55.36369,409.32914,173.24966,227.75145,66.94814,48.11276,9.94181,7.45082,50.20647,51.76074,0.16366
2004,1455.00846,1047.91127,368.58919,73.31591,86.06949,61.75784,145.02616,0.89139,123.44683,86.57826,75.63089,423.71767,184.61819,227.78811,75.97866,51.05509,10.69955,12.39317,53.48414,47.99068,0.35216
2003,1219.94572,952.01797,230.33655,67.58817,54.71579,33.73931,104.67279,1.64533,85.0623,47.82841,45.24509,147.53748,60.09944,79.51124,80.82643,45.49774,5.02102,29.99252,28.67442,52.5752,
2002,,1089.2778,,97.7863,41.1919,,5.4726,,85.311,44.8072,,42.8728,,,,,11.2363,,,,
2001,,1085.4337,,110.7774,41.6466,,6.6842,,70.3187,38.9523,,26.004,,,,,4.281,,,,
2000,,1048.6,,158.6783,35.3,,5.1,,60.7904,37.7092,,20.4965,,,,,2.1983,,,,
