年份,大中型工业企业开发新产品经费,煤炭开采和洗选业中型工业企业开发新产品经费,石油和天然气开采业中型工业企业开发新产品经费,黑色金属矿采选业中型工业企业开发新产品经费,有色金属矿采选业中型工业企业开发新产品经费,非金属矿采选业中型工业企业开发新产品经费,农副食品加工业中型工业企业开发新产品经费,食品制造业中型工业企业开发新产品经费,饮料制造业中型工业企业开发新产品经费,烟草制品业中型工业企业开发新产品经费,纺织业中型工业企业开发新产品经费,纺织服装、鞋、帽制造业中型工业企业开发新产品经费,皮革、毛皮、羽毛(绒)及其制品业中型工业企业开发新产品经费,木材加工及木、竹、藤、棕、草制品业中型工业企业开发新产品经费,家具制造业中型工业企业开发新产品经费,造纸及纸制品业中型工业企业开发新产品经费,印刷业和记录媒介的复制中型工业企业开发新产品经费,文教体育用品制造业中型工业企业开发新产品经费,石油加工、炼焦及核燃料加工业中型工业企业开发新产品经费,化学原料及化学制品制造业中型工业企业开发新产品经费,医药制造业中型工业企业开发新产品经费,化学纤维制造业中型工业企业开发新产品经费,橡胶制品业中型工业企业开发新产品经费,塑料制品业中型工业企业开发新产品经费,非金属矿物制品业中型工业企业开发新产品经费,黑色金属冶炼及压延加工业中型工业企业开发新产品经费,有色金属冶炼及压延加工业中型工业企业开发新产品经费,金属制品业中型工业企业开发新产品经费,通用设备制造业中型工业企业开发新产品经费,专用设备制造业中型工业企业开发新产品经费,交通运输设备制造业中型工业企业开发新产品经费,电气机械及器材制造业中型工业企业开发新产品经费,通信设备、计算机及其他电子设备制造业中型工业企业开发新产品经费,仪器仪表及文化、办公用机械制造业中型工业企业开发新产品经费,工艺品及其他制造业中型工业企业开发新产品经费,电力、热力的生产和供应业中型工业企业开发新产品经费,燃气生产和供应业中型工业企业开发新产品经费,水的生产和供应业中型工业企业开发新产品经费
2019,120324780.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,108744998.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,100640517.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,89037617.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,79788542.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,79532787.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,74406399.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,65718382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,56971680.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44206917.4,526463.5,148195.3,21712.6,29530.6,16862.1,522259.7,403399.8,430503.3,127833.2,1136539.0,293184.6,145474.3,91534.7,86116.0,438336.6,118552.3,107642.5,410683.8,2460544.7,1314022.3,604986.4,621974.2,459597.6,802850.6,4258499.8,1227783.2,716199.5,3120820.2,2979701.8,7163237.3,5442392.0,6817011.0,780934.1,157407.7,196203.2,12407.2,9195.2
2009,36546131.0,449429.1,237455.3,17535.8,43889.0,10802.4,465888.1,363670.0,469904.6,132855.6,877974.5,213657.4,125290.3,71649.5,71063.3,305050.9,106191.7,123274.1,272776.2,1904544.7,1073411.9,400647.5,491879.0,373833.9,629830.2,3371715.1,933703.4,609578.7,2629491.8,2490082.9,5823650.2,3734952.6,6665809.4,645652.2,117225.4,268235.3,15398.9,8129.8
2008,30955692.2,267254.5,135728.1,22522.9,13949.5,19578.5,348371.5,207218.4,407328.5,59360.3,732684.0,177224.1,94285.2,73075.6,54837.1,267972.3,56424.6,83746.2,215878.8,1750897.9,871913.7,366199.1,451337.2,338258.9,551120.2,3136868.7,746857.6,567824.7,2152786.8,1903443.3,4642351.6,3381924.9,6089335.5,462081.2,93276.3,201475.2,4626.3,8121.1
2007,24533447.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,18629418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,14571954.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,8209592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,6389593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5092038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,4220419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3888539.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
