年份,大中型工业企业新产品项目数,煤炭开采和洗选业中型工业企业新产品项目数,石油和天然气开采业中型工业企业新产品项目数,黑色金属矿采选业中型工业企业新产品项目数,有色金属矿采选业中型工业企业新产品项目数,非金属矿采选业中型工业企业新产品项目数,农副食品加工业中型工业企业新产品项目数,食品制造业中型工业企业新产品项目数,饮料制造业中型工业企业新产品项目数,烟草制品业中型工业企业新产品项目数,纺织业中型工业企业新产品项目数,纺织服装、鞋、帽制造业中型工业企业新产品项目数,皮革、毛皮、羽毛(绒)及其制品业中型工业企业新产品项目数,木材加工及木、竹、藤、棕、草制品业中型工业企业新产品项目数,家具制造业中型工业企业新产品项目数,造纸及纸制品业中型工业企业新产品项目数,印刷业和记录媒介的复制中型工业企业新产品项目数,文教体育用品制造业中型工业企业新产品项目数,石油加工、炼焦及核燃料加工业中型工业企业新产品项目数,化学原料及化学制品制造业中型工业企业新产品项目数,医药制造业中型工业企业新产品项目数,化学纤维制造业中型工业企业新产品项目数,橡胶制品业中型工业企业新产品项目数,塑料制品业中型工业企业新产品项目数,非金属矿物制品业中型工业企业新产品项目数,黑色金属冶炼及压延加工业中型工业企业新产品项目数,有色金属冶炼及压延加工业中型工业企业新产品项目数,金属制品业中型工业企业新产品项目数,通用设备制造业中型工业企业新产品项目数,专用设备制造业中型工业企业新产品项目数,交通运输设备制造业中型工业企业新产品项目数,电气机械及器材制造业中型工业企业新产品项目数,通信设备、计算机及其他电子设备制造业中型工业企业新产品项目数,仪器仪表及文化、办公用机械制造业中型工业企业新产品项目数,工艺品及其他制造业中型工业企业新产品项目数,电力、热力的生产和供应业中型工业企业新产品项目数,燃气生产和供应业中型工业企业新产品项目数,水的生产和供应业中型工业企业新产品项目数
2019,253058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,233296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,222448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,195747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,176447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,225206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,222508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,210730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,176044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,159637,1853.0,823.0,58.0,76.0,139.0,1792.0,1810.0,1502.0,662.0,4861.0,920.0,633.0,344.0,710.0,1186.0,490.0,1234.0,1000.0,6952.0,9410.0,1038.0,2520.0,1726.0,3026.0,6363.0,2564.0,3123.0,16451.0,12679.0,21277.0,19529.0,25850.0,4463.0,957.0,1467.0,67.0,77.0
2009,152770,1695.0,970.0,95.0,84.0,139.0,1698.0,1825.0,2707.0,734.0,5220.0,846.0,1017.0,843.0,340.0,711.0,542.0,798.0,955.0,7077.0,8837.0,805.0,2535.0,1522.0,2911.0,5700.0,2397.0,2813.0,15364.0,12378.0,19390.0,18445.0,23908.0,4360.0,1100.0,1940.0,29.0,94.0
2008,121358,1045.0,876.0,79.0,51.0,142.0,1190.0,1536.0,1413.0,473.0,4523.0,938.0,836.0,271.0,259.0,617.0,445.0,1146.0,618.0,6129.0,6695.0,609.0,2137.0,1148.0,2491.0,3826.0,1969.0,2184.0,12414.0,8233.0,17448.0,14534.0,19464.0,3439.0,840.0,1280.0,10.0,50.0
2007,112369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,100760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,81033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,46575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,68633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,59788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,57418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,55953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
