年份,大中型工业企业新产品销售收入,国有及国有控股大中型工业企业新产品销售收入,内资大中型工业企业新产品销售收入,国有大中型工业企业新产品销售收入,集体大中型工业企业新产品销售收入,股份合作大中型工业企业新产品销售收入,联营大中型工业企业新产品销售收入,国有联营大中型工业企业新产品销售收入,有限责任公司大中型工业企业新产品销售收入,国有独资公司大中型工业企业新产品销售收入,股份有限公司大中型工业企业新产品销售收入,私营大中型工业企业新产品销售收入,其他大中型工业企业新产品销售收入,港、澳、台商投资大中型工业企业新产品销售收入,合资经营大中型工业企业新产品销售收入,合作经营大中型工业企业新产品销售收入,独资经营大中型工业企业新产品销售收入,投资股份有限公司大中型工业企业新产品销售收入,外商投资大中型工业企业新产品销售收入,中外合资经营大中型工业企业新产品销售收入,中外合作经营大中型工业企业新产品销售收入,外资大中型工业企业新产品销售收入,外商投资股份有限公司大中型工业企业新产品销售收入
2019,1660898594.1,,,,,,,,,,,,,,,,,,,,,,
2018,1591166153.9,,,,,,,,,,,,,,,,,,,,,,
2017,1599569497.0,,,,,,,,,,,,,,,,,,,,,,
2016,1473363552.8,,,,,,,,,,,,,,,,,,,,,,
2015,1290765861.7,,,,,,,,,,,,,,,,,,,,,,
2014,1236008137.2,,,,,,,,,,,,,,,,,,,,,,
2013,1125619063.0,,,,,,,,,,,,,,,,,,,,,,
2012,981921709.0,,,,,,,,,,,,,,,,,,,,,,
2011,886502359.4,,,,,,,,,,,,,,,,,,,,,,
2010,728638981.6,294557521.0,455532479.6,64777746.6,10408721.2,2662225.5,1377740.5,1173936.8,177917276.0,44210575.3,116434393.6,81118151.5,836224.7,65346032.1,30263652.0,889496.5,28089395.4,6103488.2,207760469.9,131963249.8,1236062.9,65241639.1,9319518.1
2009,579780546.0,255747758.9,364212557.4,67025008.2,8066924.0,1132883.2,1319257.0,1288098.3,140076360.3,39562242.8,89478516.0,55787071.6,1326537.1,57868081.5,25652870.4,420081.6,27977311.0,3817818.5,157699907.1,113748691.4,789863.4,35833773.5,7327578.8
2008,512916075.0,222653321.0,302620261.5,37229766.6,6827690.8,1337831.3,2327112.3,2258128.3,123361412.6,31979444.9,87134474.0,43154308.0,1247665.9,55507138.4,18161031.0,225162.1,34011775.3,3109170.0,154788675.4,104415749.7,563529.3,42865888.9,6943507.5
2007,409761681.4,,,,,,,,,,,,,,,,,,,,,,
2006,312328083.9,,,,,,,,,,,,,,,,,,,,,,
2005,240970909.9,,,,,,,,,,,,,,,,,,,,,,
2004,204212346.0,,,,,,,,,,,,,,,,,,,,,,
2003,140980000.0,,,,,,,,,,,,,,,,,,,,,,
2002,108380000.0,,,,,,,,,,,,,,,,,,,,,,
2001,87940000.0,,,,,,,,,,,,,,,,,,,,,,
2000,76413740.6,,,,,,,,,,,,,,,,,,,,,,
