年份,大中型工业企业新产品销售收入,煤炭开采和洗选业中型工业企业新产品销售收入,石油和天然气开采业中型工业企业新产品销售收入,黑色金属矿采选业中型工业企业新产品销售收入,有色金属矿采选业中型工业企业新产品销售收入,非金属矿采选业中型工业企业新产品销售收入,农副食品加工业中型工业企业新产品销售收入,食品制造业中型工业企业新产品销售收入,饮料制造业中型工业企业新产品销售收入,烟草制品业中型工业企业新产品销售收入,纺织业中型工业企业新产品销售收入,纺织服装、鞋、帽制造业中型工业企业新产品销售收入,皮革、毛皮、羽毛(绒)及其制品业中型工业企业新产品销售收入,木材加工及木、竹、藤、棕、草制品业中型工业企业新产品销售收入,家具制造业中型工业企业新产品销售收入,造纸及纸制品业中型工业企业新产品销售收入,印刷业和记录媒介的复制中型工业企业新产品销售收入,文教体育用品制造业中型工业企业新产品销售收入,石油加工、炼焦及核燃料加工业中型工业企业新产品销售收入,化学原料及化学制品制造业中型工业企业新产品销售收入,医药制造业中型工业企业新产品销售收入,化学纤维制造业中型工业企业新产品销售收入,橡胶制品业中型工业企业新产品销售收入,塑料制品业中型工业企业新产品销售收入,非金属矿物制品业中型工业企业新产品销售收入,黑色金属冶炼及压延加工业中型工业企业新产品销售收入,有色金属冶炼及压延加工业中型工业企业新产品销售收入,金属制品业中型工业企业新产品销售收入,通用设备制造业中型工业企业新产品销售收入,专用设备制造业中型工业企业新产品销售收入,交通运输设备制造业中型工业企业新产品销售收入,电气机械及器材制造业中型工业企业新产品销售收入,通信设备、计算机及其他电子设备制造业中型工业企业新产品销售收入,仪器仪表及文化、办公用机械制造业中型工业企业新产品销售收入,工艺品及其他制造业中型工业企业新产品销售收入,电力、热力的生产和供应业中型工业企业新产品销售收入,燃气生产和供应业中型工业企业新产品销售收入,水的生产和供应业中型工业企业新产品销售收入
2019,1660898594.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1591166153.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1599569497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1473363552.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1290765861.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1236008137.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1125619063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,981921709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,886502359.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,728638981.6,3787927.2,249845.0,101794.8,305573.3,205658.4,7623757.2,5906578.4,5825543.2,8014046.7,23521639.9,4833869.6,2982503.9,1682614.5,1257159.3,7015264.9,1564069.2,1149673.0,7822587.6,33844837.2,16755263.2,6815208.5,8060035.5,5076200.9,10273591.2,56971040.2,21947146.2,9192981.9,39991391.8,32301119.1,171165190.3,86302465.2,133689434.1,9534768.5,1931648.5,842338.1,26821.0,17823.7
2009,579780546.0,6524026.9,153388.4,78740.7,617940.9,234863.0,6336931.2,4670112.5,4367562.0,7547038.6,15330843.4,4278843.5,2608666.7,1510200.5,1151528.9,5502603.4,1241597.1,1113192.7,6170503.1,27273659.7,12483159.4,7114422.8,6096849.8,4574560.5,8369690.1,47337140.6,13852481.6,6789417.8,32737014.3,24840531.4,145705928.5,59980864.4,104362335.8,6968491.9,1437988.2,315056.7,95461.9,2812.5
2008,512916075.0,5802484.9,3182161.3,107158.7,510799.8,178633.9,5690113.0,3787163.7,4054206.6,3418522.1,10189502.8,2578006.1,2176544.8,1242281.9,847405.2,5098651.7,888776.7,836094.1,9098068.1,23136893.9,9489106.1,6149380.6,5143548.3,4175086.8,6861962.1,56552147.3,14746111.2,6769981.6,28350675.5,19718456.3,103211735.5,52882105.3,109019941.4,5655805.8,1105075.2,242077.4,,22262.3
2007,409761681.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,312328083.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,240970909.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,204212346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,140980000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,108380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,87940000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,76413740.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
