年份,居住类城市居民消费价格指数(上年=100),建房及装修材料类城市居民消费价格指数(上年=100),住房租金类城市居民消费价格指数(上年=100),自有住房类城市居民消费价格指数(上年=100),水电燃料类城市居民消费价格指数(上年=100)
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,101.04725763,100.35283603,102.81480945,102.30896002,98.39826494
2014,102.1,101.1,103.2,102.8,100.9
2013,103.0,101.3,104.0,103.9,101.9
2012,102.21916404,101.10361477,102.65100514,102.34076654,102.4572213
2011,105.14326023,103.93793815,105.37912468,106.6222598,103.03866911
2010,104.5,102.9,105.0,103.7,105.2
2009,95.40399749,100.75717817,101.61804644,83.45736639,97.67575551
2008,104.30725727,106.42137106,103.4618609,102.58346553,104.65420036
2007,104.51457158,105.29001654,103.77842761,107.40623905,103.02459713
2006,104.703491,103.93149085,102.49552425,103.88253298,105.86477447
2005,105.5845,102.5642,101.5733,106.8231,107.6714
2004,104.2515,103.2095,103.0829,100.8632,106.6812
2003,102.8339,99.1688,103.8429,98.78,106.5117
2002,99.8,98.5,104.7,94.2,102.4
2001,101.7,98.3,109.4,100.0,102.2
2000,106.7,98.0,111.3,104.4,108.3
