年份,食品类城市居民消费价格指数(上年=100),粮食类城市居民消费价格指数(上年=100),大米类城市居民消费价格指数(上年=100),面粉类城市居民消费价格指数(上年=100),淀粉及制品类城市居民消费价格指数(上年=100),干豆类及豆制品类城市居民消费价格指数(上年=100),油脂类城市居民消费价格指数(上年=100),肉禽及其制品类城市居民消费价格指数(上年=100),蛋类城市居民消费价格指数(上年=100),水产品类城市居民消费价格指数(上年=100),菜类城市居民消费价格指数(上年=100),鲜菜类城市居民消费价格指数(上年=100),调味品类城市居民消费价格指数(上年=100),糖类城市居民消费价格指数(上年=100),茶及饮料类城市居民消费价格指数(上年=100),茶叶类城市居民消费价格指数(上年=100),饮料类城市居民消费价格指数(上年=100),干鲜瓜果类城市居民消费价格指数(上年=100),鲜果类城市居民消费价格指数(上年=100),糕点饼干面包类城市居民消费价格指数(上年=100),液体乳及乳制品类城市居民消费价格指数(上年=100),在外用膳食品类城市居民消费价格指数(上年=100),其它食品类城市居民消费价格指数(上年=100)
2019,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,
2015,102.30801585,102.1861998,101.56128886,101.69152036,101.83547711,102.49302428,96.63393142,104.81727594,93.10313471,101.72238596,106.9739356,107.45898264,103.9825426,100.32000759,101.67753595,101.74422302,101.64304471,97.4449725,96.021221,101.50866973,98.78358053,102.77839034,101.13776212
2014,103.3,103.2,101.05073083,103.01028116,102.05612849,103.81664064,94.9,100.6,110.4,104.5,99.2,98.47555669,102.9448499,100.4,101.7,101.72237632,101.74934609,114.1,118.23260347,101.92155844,108.9,103.2870048,101.35480822
2013,104.6,104.5,102.32690818,108.75215403,103.6169923,105.26560525,100.3,104.4,104.9,104.1,107.5,107.47500724,103.32678172,100.8,101.9,101.69183491,102.05363339,105.5,106.65535925,102.46912195,106.2,104.40502614,101.25277548
2012,105.1402898,104.1252209,104.12104315,102.52420143,104.03514559,102.22477878,105.63311258,102.82759754,97.29947815,107.7001887,113.6993906,115.67729224,104.3004453,104.6256687,104.42791268,103.38151248,104.97958921,100.04877341,98.79727272,104.19306926,103.29909048,106.78137983,104.38534226
2011,111.59741069,112.22245689,114.07510349,109.56441577,115.66468689,105.4352772,113.35406495,122.18709543,114.64131421,112.28356946,100.70874416,100.15722342,106.06894414,110.61575495,104.26961521,104.12526824,104.34588294,115.92736352,116.29166354,108.48578228,105.48398421,108.34454904,106.55194196
2010,107.1,111.5,115.8,107.8,107.6,108.4,103.4,102.6,108.4,108.5,117.8,117.8,104.5,106.6,101.3,102.7,100.7,114.1,115.0,102.5,103.0,103.7,101.9
2009,101.02458916,105.66009162,106.13131647,107.47412672,103.66704357,98.57193169,82.05505373,91.50630822,101.34577727,102.7033851,113.42794478,115.00196018,103.70968371,102.63662512,101.95524068,101.56720712,102.10042804,106.96095446,108.98522027,102.72126818,101.38538017,102.43781485,101.58355623
2008,114.4585138,107.24327144,104.34562893,105.7005523,111.49294756,135.43660496,124.8992613,122.57444418,104.27751437,113.81690748,110.86792278,110.46761813,106.22536836,104.90656604,103.94574939,102.28196911,104.65897613,110.91893804,108.92287643,109.680968,117.95066572,111.79224744,108.86965884
2007,111.73924152,106.41322671,105.33137779,106.97756696,106.00428464,107.60566441,125.48697425,131.57845669,122.19520074,104.48977193,107.25999434,106.61180673,104.40067211,102.09800812,101.55286549,103.4622049,100.73778629,102.03605066,99.77636871,103.83267755,102.84183868,107.28069372,104.71571397
2006,102.4691298,102.65837009,104.24880133,99.73576471,100.09884988,100.60484482,98.85556879,97.11056587,95.96273953,101.48166061,108.19822561,108.24884652,102.08832908,109.68005987,101.09662584,101.16532323,101.06679655,117.16148899,120.21982657,101.47179288,100.90319895,101.66380475,101.22231192
2005,103.1273,101.4885,101.3,100.2,105.9338,102.1483,94.0438,102.1292,104.1984,106.143,110.0211,111.0,101.2256,102.8603,100.1018,100.8056,99.8145,102.7915,102.3,100.8389,100.7059,102.6461,101.6367
2004,109.0707,125.7194,132.2468,122.9241,105.6128,120.7681,115.1101,117.8837,120.4098,111.8806,94.1606,93.2809,101.9618,101.6005,100.0793,101.3785,99.5467,103.8254,102.2117,101.8981,100.2305,103.7992,101.1131
2003,103.4464,102.326,103.1951,101.5873,100.3889,106.2696,111.977,102.792,98.3405,100.4707,119.2032,121.127,99.5228,98.8963,99.2133,99.5374,99.0847,102.5753,101.5928,99.1887,99.1526,100.1102,99.0314
2002,99.5,98.3,98.3,98.6,100.3,98.2,99.2,99.3,102.5,97.1,97.9,97.8,101.0,98.9,99.1,101.2,98.3,103.1,103.6,99.0,99.2,100.1,98.9
2001,100.1,99.2,99.8,98.9,100.3,98.7,90.9,101.7,106.3,96.9,101.2,101.4,102.3,103.9,99.1,101.2,98.3,100.2,100.6,99.0,99.0,100.4,98.4
2000,97.4,88.8,,,98.6,102.5,85.7,97.8,84.2,102.3,104.3,104.7,100.6,102.0,,,,95.9,95.3,100.0,100.2,99.6,98.2
