年份,衣着类城市居民消费价格指数(上年=100),服装类城市居民消费价格指数(上年=100),衣着材料类城市居民消费价格指数(上年=100),鞋袜帽类城市居民消费价格指数(上年=100),衣着加工服务费类城市居民消费价格指数(上年=100)
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,102.84790413,102.84287406,101.21002801,102.828163,105.24636564
2014,102.4,102.6,101.73541282,102.0,104.89511074
2013,102.2,102.4,101.61568206,101.5,106.54368754
2012,102.92894695,103.16459309,103.41303617,102.02836073,107.23647772
2011,102.19085502,102.52837664,109.04247485,100.6528798,107.91805293
2010,98.9,99.1,102.9,97.9,103.2
2009,97.82365503,97.73465156,101.10395944,97.49343111,104.05795601
2008,98.17522475,98.16481194,101.69818191,97.57086567,104.79084746
2007,99.13080337,99.29092231,101.30857357,98.36412574,102.19898591
2006,99.37738373,99.01385272,100.18443176,100.20187989,101.63098478
2005,97.9815,97.9365,99.6875,97.6546,101.0883
2004,98.4878,98.4445,99.9284,98.2383,100.6186
2003,97.4276,97.3164,98.6935,97.382,99.8897
2002,97.3,97.1,98.8,97.6,100.3
2001,97.8,97.4,98.2,98.6,100.3
2000,99.5,99.3,98.5,100.4,
