年份,家庭设备用品及维修服务类城市居民消费价格指数(上年=100),耐用消费品类城市居民消费价格指数(上年=100),家具类城市居民消费价格指数(上年=100),家庭设备类城市居民消费价格指数(上年=100),室内装饰品类城市居民消费价格指数(上年=100),床上用品类城市居民消费价格指数(上年=100),家庭日用杂品类城市居民消费价格指数(上年=100),家庭服务及加工维修服务费类城市居民消费价格指数(上年=100)
2019,,,,,,,,
2018,,,,,,,,
2017,,,,,,,,
2016,,,,,,,,
2015,101.04815364,99.81147566,100.96373357,99.19101255,100.27073297,100.14383295,100.72485491,106.91929996
2014,101.2,100.2,101.60561313,99.4670556,99.7,99.78535881,100.73237036,107.6
2013,101.5,100.2,101.39065173,99.63672303,100.3,100.47240502,101.17696889,109.0
2012,102.08386939,100.38150674,101.48089858,99.8213097,100.73635615,100.27961497,102.70032831,110.19792443
2011,102.69621563,100.46778933,102.80808737,99.31588218,100.66283744,104.90908769,102.62740718,112.72244204
2010,99.9,98.3,100.4,97.1,99.9,99.8,100.2,107.2
2009,100.26673387,98.15744472,99.93865559,97.20311976,99.66960564,98.62526787,102.70617482,105.48182216
2008,103.0196596,101.28540317,102.35915412,100.68441151,99.95354811,99.54986822,105.26538336,109.78566929
2007,101.85597077,101.48931249,101.43571346,101.51417304,100.20808216,99.10639917,101.59103593,107.30969396
2006,101.29620609,100.94341245,100.19987494,101.34925931,99.96382286,99.35874952,101.05179449,105.99726367
2005,99.71,98.56,98.841,98.4399,99.0439,99.0825,100.2977,104.127
2004,98.1447,96.6321,98.5657,95.7294,99.0739,98.6089,99.5111,101.3299
2003,97.0165,95.3284,97.5318,94.3233,98.5868,97.8875,98.0333,101.0941
2002,97.3,95.7,97.5,94.9,98.6,99.0,97.8,101.4
2001,97.5,95.7,97.9,94.8,98.4,99.6,98.4,101.7
2000,97.7,96.4,97.3,95.9,98.9,99.7,98.3,99.3
