年份,交通和通信类城市居民消费价格指数(上年=100),交通类城市居民消费价格指数(上年=100),交通工具类城市居民消费价格指数(上年=100),车用燃料及零配件类城市居民消费价格指数(上年=100),车辆使用及维修费类城市居民消费价格指数(上年=100),市区公共交通费类城市居民消费价格指数(上年=100),城市间交通费类城市居民消费价格指数(上年=100),通信类城市居民消费价格指数(上年=100),通信工具类城市居民消费价格指数(上年=100),通信服务类城市居民消费价格指数(上年=100)
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,,,,,,,,,
2016,,,,,,,,,,
2015,98.36631741,97.66145202,97.96899376,84.05301161,102.8271747,104.30986276,100.18361273,99.45041188,96.40716523,99.8320093
2014,99.8,100.2,99.02527635,98.61991757,102.91375075,101.14010394,101.39154746,99.3,94.97911447,99.91605081
2013,99.5,100.0,98.48334057,99.33041266,104.04835272,100.64532701,100.63719013,98.7,90.31418834,99.87681319
2012,99.66435988,100.9334617,98.85665872,102.8561574,104.90562138,101.06869721,100.96394025,97.81313491,85.53817986,99.90449612
2011,100.24660326,102.36505942,98.60880261,111.79303921,104.14216029,101.21069924,102.54976063,97.30903573,85.24771576,99.71270594
2010,99.4,101.5,98.3,111.7,101.8,100.3,102.0,97.1,84.3,99.6
2009,97.30634819,98.33902204,97.19844134,92.87569521,101.27836038,100.38136804,100.19679018,96.18432689,79.09014805,99.54551332
2008,98.41366628,101.12850338,96.98515889,113.6193402,100.58123859,99.83331893,102.94182615,95.56274242,78.44999701,98.86861814
2007,98.37287979,100.1840249,96.8581712,103.30591557,102.35494068,100.69599055,101.99587046,96.52713873,78.62649232,100.09646845
2006,99.26892149,102.59607794,96.84066372,112.97276215,102.5601744,104.12229473,104.05126152,96.07453579,79.62349048,99.85042087
2005,98.4152,101.145,96.1962,110.8749,102.1627,101.8515,102.3601,96.2265,81.1403,99.651
2004,97.8971,100.1181,95.1242,108.088,101.2082,101.135,101.5654,96.1995,81.9504,99.5108
2003,97.3804,99.5736,95.4651,108.8152,99.4564,100.6166,100.2114,95.6581,79.8391,99.1274
2002,98.0,99.3,94.4,98.7,100.6,102.2,99.9,97.1,81.9,100.4
2001,99.1,101.8,96.2,99.8,100.9,106.5,102.9,97.0,78.2,101.7
2000,,94.1,97.2,,,,,,90.1,
