年份,烟酒及用品类城市居民消费价格指数(上年=100),烟草类城市居民消费价格指数(上年=100),酒类城市居民消费价格指数(上年=100)
2019,,,
2018,,,
2017,,,
2016,,,
2015,102.04138932,103.99119397,99.24657089
2014,99.3,100.1,98.1
2013,100.1,100.2,100.1
2012,102.93859957,100.28264643,106.9134851
2011,103.04696338,100.40386641,107.2733132
2010,101.7,100.5,104.1
2009,101.67824705,100.40163974,103.82537023
2008,103.13029689,100.27511141,108.55545969
2007,101.79676907,100.63330047,104.28209241
2006,100.8265291,100.21851165,101.85903336
2005,100.3126,100.4228,100.3635
2004,101.1785,100.6422,102.7837
2003,99.7822,99.6708,100.1614
2002,99.9,99.6,100.5
2001,99.7,99.4,100.4
2000,,96.5,
