年份,娱乐教育文化用品及服务类城市居民消费价格指数(上年=100),文娱用耐用消费品及服务类城市居民消费价格指数(上年=100),教育类城市居民消费价格指数(上年=100),教材及参考书类城市居民消费价格指数(上年=100),学杂托幼费类城市居民消费价格指数(上年=100),文化娱乐类城市居民消费价格指数(上年=100),文化娱乐用品城市居民消费价格指数(上年=100),书报杂志类城市居民消费价格指数(上年=100),文娱费类城市居民消费价格指数(上年=100),旅游类城市居民消费价格指数(上年=100)
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,,,,,,,,,
2016,,,,,,,,,,
2015,101.4494726,98.27544201,102.88675664,101.1228742,,101.85299073,100.18944755,105.8865908,101.42802932,99.27395385
2014,101.9,96.9,102.6,101.26309022,,101.3,100.19870259,101.77877926,101.78793225,104.8
2013,101.7,95.9,102.8,102.17221877,,101.3,100.09975879,101.00389446,102.24574819,103.8
2012,100.37807042,93.99837361,101.65912587,101.67332975,,101.31529674,100.30211505,101.44287816,101.90806997,101.44039552
2011,100.2573608,92.96337343,101.2099919,101.14321325,,101.13465774,100.50940699,100.97161414,101.59158776,103.8417951
2010,100.4,93.6,101.2,102.4,101.0,101.0,99.4,100.5,102.4,105.0
2009,98.75948617,89.34851213,101.12725538,103.16655986,100.89719797,102.67418126,99.56796004,108.70750029,102.16437276,97.25467374
2008,99.08013585,91.08238572,100.36489294,100.72838148,100.3190319,101.30723401,99.39445831,102.49340098,102.20138733,101.12672269
2007,99.28726742,91.76186775,100.40093658,99.62314522,100.48261815,101.06163667,99.17130782,100.6806309,102.72865936,102.08748335
2006,99.97971421,93.24828509,100.97409582,100.67622133,101.00546474,101.0957452,99.54469389,100.73606198,102.52691851,103.31275355
2005,101.2942,92.8739,104.3455,100.9464,104.6612,101.3365,99.7869,100.7804,103.0487,99.3943
2004,100.8132,92.6205,103.1215,102.4967,103.1719,101.317,99.4435,100.4918,103.5082,100.819
2003,100.52,91.9906,103.9481,101.9904,104.1129,101.6902,98.7031,100.547,104.9842,95.102
2002,100.2,89.5,104.1,99.5,104.5,101.6,98.9,101.1,104.5,95.9
2001,106.7,89.8,116.5,105.8,117.5,102.2,99.4,102.0,105.0,100.3
2000,96.9,91.5,,106.6,,102.1,99.9,104.9,110.1,
