年份,规模以上工业企业新产品产值,规模以上煤炭开采和洗选业工业企业新产品产值,规模以上石油和天然气开采业工业企业新产品产值,规模以上黑色金属矿采选业工业企业新产品产值,规模以上有色金属矿采选业工业企业新产品产值,规模以上非金属矿采选业工业企业新产品产值,规模以上农副食品加工业企业新产品产值,规模以上食品制造业工业企业新产品产值,规模以上饮料制造业工业企业新产品产值,规模以上烟草制品业工业企业新产品产值,规模以上纺织业工业企业新产品产值,规模以上纺织服装、鞋、帽制造业工业企业新产品产值,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业新产品产值,规模以上木材加工及木、竹、藤、棕、草制品业工业企业新产品产值,规模以上家具制造业工业企业新产品产值,规模以上造纸及纸制品业工业企业新产品产值,规模以上印刷业和记录媒介的复制工业企业新产品产值,规模以上文教体育用品制造业工业企业新产品产值,规模以上石油加工、炼焦及核燃料加工工业企业新产品产值,规模以上化学原料及化学制品制造业工业企业新产品产值,规模以上医药制造业工业企业新产品产值,规模以上化学纤维制造业工业企业新产品产值,规模以上橡胶制品业工业企业新产品产值,规模以上塑料制品业工业企业新产品产值,规模以上非金属矿物制品业工业企业新产品产值,规模以上黑色金属冶炼及压延加工业企业新产品产值,规模以上有色金属冶炼及压延加工业企业新产品产值,规模以上金属制品业工业企业新产品产值,规模以上通用设备制造业工业企业新产品产值,规模以上专用设备制造业工业企业新产品产值,规模以上交通运输设备制造业工业企业新产品产值,规模以上电气机械及器材制造业工业企业新产品产值,规模以上通信设备、计算机及电子设备制造业其他工业企业新产品产值,规模以上仪器仪表及文化、办公用机械制造业工业企业新产品产值,规模以上工艺品及其他制造业工业企业新产品产值,规模以上电力、热力的生产和供应业工业企业新产品产值,规模以上燃气生产和供应业工业企业新产品产值,规模以上水的生产和供应业工业企业新产品产值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1008904580.5,11255035.1,363881.1,318465.8,680508.2,542249.0,14780067.1,6741113.3,8087957.7,14974782.5,33324892.9,8573808.6,5275574.4,2605625.4,2578779.2,10133030.3,2817679.3,2096343.1,11207254.2,65922097.1,24918305.9,13540162.8,10407289.5,9622517.3,15027278.1,68573237.2,35428157.3,15980464.4,59312337.9,46174710.1,196814987.8,115091229.2,169691114.9,15120794.8,3866060.0,6610232.3,185081.3,22739.4
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,681988049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,585227473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,230417447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
