年份,规模以上工业企业新产品产值,大中型工业企业新产品产值,规模以上工业内资企业新产品产值,规模以上工业国有企业新产品产值,规模以上工业集体企业新产品产值,规模以上工业股份合作企业新产品产值,规模以上工业联营企业新产品产值,规模以上工业国有联营企业新产品产值,规模以上工业有限责任公司新产品产值,规模以上工业国有独资公司新产品产值,规模以上工业股份有限公司新产品产值,规模以上工业私营企业新产品产值,规模以上工业其他企业新产品产值,规模以上工业港、澳、台商投资企业新产品产值,规模以上工业港、澳、台商合资经营企业新产品产值,规模以上工业港、澳、台商合作经营企业新产品产值,规模以上工业港、澳、台商独资经营企业新产品产值,规模以上工业港、澳、台商投资股份有限公司新产品产值,规模以上工业外商投资企业新产品产值,规模以上工业中外合资经营企业新产品产值,规模以上工业中外合作经营企业新产品产值,规模以上工业外资企业新产品产值,规模以上工业外商投资股份有限公司新产品产值
2019,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,
2011,1008904580.5,885826552.3,661590500.3,78091561.2,8042397.1,2922990.9,1937405.3,1094092.8,255339267.9,49167119.3,169244030.4,141786991.9,4225855.6,98746031.2,43940934.8,510816.5,46354292.3,7218947.8,248562255.4,153884486.7,1409814.3,82263726.9,10826197.1
2010,,736062822.4,,,,,,,,,,,,,,,,,,,,,
2009,681988049.0,587144048.6,,,,,,,,,,,,,,,,,,,,,
2008,585227473.0,523942671.7,,,,,,,,,,,,,,,,,,,,,
2007,,427637650.0,,,,,,,,,,,,,,,,,,,,,
2006,,322619625.0,,,,,,,,,,,,,,,,,,,,,
2005,,253823290.0,,,,,,,,,,,,,,,,,,,,,
2004,230417447.0,205625718.0,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,
2000,,79973698.6,,,,,,,,,,,,,,,,,,,,,
