年份,规模以上工业企业新产品项目数,规模以上煤炭开采和洗选业工业企业新产品项目数,规模以上石油和天然气开采业工业企业新产品项目数,规模以上黑色金属矿采选业工业企业新产品项目数,规模以上有色金属矿采选业工业企业新产品项目数,规模以上非金属矿采选业工业企业新产品项目数,规模以上农副食品加工业企业新产品项目数,规模以上食品制造业工业企业新产品项目数,规模以上饮料制造业工业企业新产品项目数,规模以上烟草制品业工业企业新产品项目数,规模以上纺织业工业企业新产品项目数,规模以上纺织服装、鞋、帽制造业工业企业新产品项目数,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业新产品项目数,规模以上木材加工及木、竹、藤、棕、草制品业工业企业新产品项目数,规模以上家具制造业工业企业新产品项目数,规模以上造纸及纸制品业工业企业新产品项目数,规模以上印刷业和记录媒介的复制工业企业新产品项目数,规模以上文教体育用品制造业工业企业新产品项目数,规模以上石油加工、炼焦及核燃料加工工业企业新产品项目数,规模以上化学原料及化学制品制造业工业企业新产品项目数,规模以上医药制造业工业企业新产品项目数,规模以上化学纤维制造业工业企业新产品项目数,规模以上橡胶制品业工业企业新产品项目数,规模以上塑料制品业工业企业新产品项目数,规模以上非金属矿物制品业工业企业新产品项目数,规模以上黑色金属冶炼及压延加工业企业新产品项目数,规模以上有色金属冶炼及压延加工业企业新产品项目数,规模以上金属制品业工业企业新产品项目数,规模以上通用设备制造业工业企业新产品项目数,规模以上专用设备制造业工业企业新产品项目数,规模以上交通运输设备制造业工业企业新产品项目数,规模以上电气机械及器材制造业工业企业新产品项目数,规模以上通信设备、计算机及电子设备制造业其他工业企业新产品项目数,规模以上仪器仪表及文化、办公用机械制造业工业企业新产品项目数,规模以上工艺品及其他制造业工业企业新产品项目数,规模以上电力、热力的生产和供应业工业企业新产品项目数,规模以上燃气生产和供应业工业企业新产品项目数,规模以上水的生产和供应业工业企业新产品项目数
2019,671799,1219,630,355,429,603,13771,10861,,1404,16792,,,3715,7323,7232,5916,,2626,42578,36098,4032,,,26952,11145,11843,36399,64452,57743,,78462,76274,,,5153,658,592
2018,558305,1341,596,216,372,479,11862,9383,,1185,12781,,,3011,5210,5761,4463,,2323,37432,31679,3154,,,21309,9760,10364,28036,53128,46597,,67027,64306,,,3292,505,393
2017,477861,1292,835,236,282,425,11323,7877,,1069,9982,,,2339,4061,4537,3609,,1851,34054,28584,2948,,,16827,9272,9083,21437,44181,39780,,58584,54162,,,2599,264,354
2016,391872,1134,558,256,237,356,9649,6618,,1129,8639,,,1899,2801,3406,2681,,1670,28763,25320,2342,,,12834,8349,7751,16586,37274,31838,,47952,42040,,,2332,156,239
2015,326286,1258,486,248,188,314,7295,5201,,892,7466,,,1549,1947,2511,2097,,1581,24755,22106,2086,,,10499,7903,6283,12483,32280,26692,,39587,33410,,,2072,153,215
2014,375863,1601,732,243,165,320,7594,5471,,923,8844,,,1462,2028,2417,2044,,1887,25539,24414,2056,,,11048,9733,7096,13507,36206,32814,,45860,45358,,,2133,103,227
2013,358287,2004,740,193,130,242,6816,4982,,948,8614,,,1335,2059,2112,1913,,1707,23590,26523,1980,,,9936,8971,6131,12353,34325,31313,,43991,45390,,,2168,75,148
2012,323448,2124,851,106,113,277,5542,4041,,901,7894,,,1264,1285,1774,1618,,1542,21720,19925,1764,,,8327,9235,5476,11128,33191,26807,,39107,41332,,,1740,65,158
2011,266232,1470,1043,67,81,224,3947,3007,2628.0,800,7822,1452.0,1049.0,821,1134,1512,1081,1690.0,1578,17353,16440,1563,3310.0,9438.0,6238,7371,4041,6520,27985,22362,31329.0,32603,34672,9802.0,2016.0,1569,48,86
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,237754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,184859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,76176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
