年份,规模以上工业企业开发新产品经费,规模以上煤炭开采和洗选业工业企业开发新产品经费,规模以上石油和天然气开采业工业企业开发新产品经费,规模以上黑色金属矿采选业工业企业开发新产品经费,规模以上有色金属矿采选业工业企业开发新产品经费,规模以上非金属矿采选业工业企业开发新产品经费,规模以上农副食品加工业企业开发新产品经费,规模以上食品制造业工业企业开发新产品经费,规模以上饮料制造业工业企业开发新产品经费,规模以上烟草制品业工业企业开发新产品经费,规模以上纺织业工业企业开发新产品经费,规模以上纺织服装、鞋、帽制造业工业企业开发新产品经费,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业开发新产品经费,规模以上木材加工及木、竹、藤、棕、草制品业工业企业开发新产品经费,规模以上家具制造业工业企业开发新产品经费,规模以上造纸及纸制品业工业企业开发新产品经费,规模以上印刷业和记录媒介的复制工业企业开发新产品经费,规模以上文教体育用品制造业工业企业开发新产品经费,规模以上石油加工、炼焦及核燃料加工工业企业开发新产品经费,规模以上化学原料及化学制品制造业工业企业开发新产品经费,规模以上医药制造业工业企业开发新产品经费,规模以上化学纤维制造业工业企业开发新产品经费,规模以上橡胶制品业工业企业开发新产品经费,规模以上塑料制品业工业企业开发新产品经费,规模以上非金属矿物制品业工业企业开发新产品经费,规模以上黑色金属冶炼及压延加工业企业开发新产品经费,规模以上有色金属冶炼及压延加工业企业开发新产品经费,规模以上金属制品业工业企业开发新产品经费,规模以上通用设备制造业工业企业开发新产品经费,规模以上专用设备制造业工业企业开发新产品经费,规模以上交通运输设备制造业工业企业开发新产品经费,规模以上电气机械及器材制造业工业企业开发新产品经费,规模以上通信设备、计算机及电子设备制造业其他工业企业开发新产品经费,规模以上仪器仪表及文化、办公用机械制造业工业企业开发新产品经费,规模以上工艺品及其他制造业工业企业开发新产品经费,规模以上电力、热力的生产和供应业工业企业开发新产品经费,规模以上燃气生产和供应业工业企业开发新产品经费,规模以上水的生产和供应业工业企业开发新产品经费
2019,169857184.5,467255.5,237280.3,102199,107003.4,133836.7,2917579.2,1956976,,293782.7,2996885,,,678021.4,1014522.4,1841320.6,965199.1,,1222222.6,8783711.6,7325193,1607880.7,,,5543096.9,9559299.9,4280598.5,5723341.9,10278695.4,9698819.9,,17644377.7,36778180.5,,,913683.9,127985.9,111764.2
2018,149872195.7,726981.3,183456.3,45035.8,136895.5,86931.3,2833269.4,1760064,,289340.9,2687411.6,,,605078.9,840057.2,1674833.9,730495.6,,1009337.0,8253092.0,6520596.1,1308989.4,,,4242259.8,7602845.9,4082920.7,4624372.5,8812593.8,8423383.0,,16855765.2,31123180.6,,,618903.6,116863.4,81207.5
2017,134978371.2,753210.6,159305.9,62091.6,135579.8,97897.0,3014682.3,1670109.6,,267621.6,2380514.5,,,586929.4,681163.3,1457380.1,603330.0,,903399.9,8142838.0,5886028,1229238.1,,,3691507.6,6088864.3,3801627.0,3844541.0,7924954.0,7599517.4,,15017157.5,26970175.9,,,735766.1,74528.5,60418.7
2016,117662657.9,661930.4,180382.2,58039,126466.6,76911.9,2743868.1,1586257.5,,233524.2,2229996.9,,,511598.4,563542.5,1171996.8,472019.6,,782452.2,7453922.4,4978805.7,982567.6,,,3035081.6,5073974.1,3296787.4,3376747.9,7287116.3,6262610.0,,13000483.4,23494423.0,,,482680.4,43180.9,39789.0
2015,102708341.9,611804.0,142489.4,52606.5,108468.0,74207.1,2261973.3,1382301.6,,150135.4,2081405.5,,,428827.1,412753.2,870417.9,372602.1,,838718.2,6873045.3,4279485.1,942638.1,,,2487517.1,4838219.4,2732463.1,2808475.6,6690067.2,6108741.8,,11290147.1,19822682.9,,,434522.1,35806.4,44651.7
2014,101231582.0,711094.6,204528.0,50805.6,147445.3,69157.9,2250686.5,1315863.5,,201412.6,2046845.9,,,370635.1,343029.4,828185.6,341469.4,,1037901.8,6934590.4,4079308.4,1002438.8,,,2506637.8,6155502.3,2721549.1,2701305.2,7015415.5,6370376.7,,11286991.7,17822715.2,,,353030.0,29711.6,37557.2
2013,92467435.9,807902.7,243636.5,49431.6,65144.4,51074.4,2140687.0,1049121.5,,195983.5,1905565.5,,,300401.4,283317.7,795367.6,328121.1,,1131378.8,6292465.9,3645005.6,939357.9,,,2193521.2,6060242.4,2629011.7,2473428.7,6555971.4,5887266.5,,10453248.9,15558038.6,,,397664.6,24203.5,32114.6
2012,79985405.1,638024.9,266716.8,16521.6,74987.0,57087.7,1611686.1,897427.5,,152353.6,1761983.5,,,240672.2,208509.5,742744.8,287795.3,,797241.4,5432972.8,3082346.6,885544.9,,,1660509.9,6071824.0,2128459.2,2126664.3,5719081.0,5139262.5,,8630769.0,13639751.7,,,277267.4,29390.6,23068.4
2011,68459429.8,503870.7,304433.3,30761.1,37522.4,38939.8,1197057.1,682740.7,716557.0,164400.8,1652356.9,401891.6,209395.0,160893.0,129601.7,635175.1,219486.6,172333.9,607878.7,4460791.2,2330717.9,847647.3,810419.1,919429.9,1375154.6,5368655.4,1784679.5,1275446.9,5003972.1,4580085.7,9734549.9,7683598.7,12357995.5,1483066.3,268384.0,265257.2,10886.7,11578.0
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44820000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,36760615.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,9657000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
