年份,规模以上工业企业开发新产品经费,大中型工业企业开发新产品经费,规模以上工业内资企业开发新产品经费,规模以上工业国有企业开发新产品经费,规模以上工业集体企业开发新产品经费,规模以上工业股份合作企业开发新产品经费,规模以上工业联营企业开发新产品经费,规模以上工业国有联营企业开发新产品经费,规模以上工业有限责任公司开发新产品经费,规模以上工业国有独资公司开发新产品经费,规模以上工业股份有限公司开发新产品经费,规模以上工业私营企业开发新产品经费,规模以上工业其他企业开发新产品经费,规模以上工业港、澳、台商投资企业开发新产品经费,规模以上工业港、澳、台商合资经营企业开发新产品经费,规模以上工业港、澳、台商合作经营企业开发新产品经费,规模以上工业港、澳、台商独资经营企业开发新产品经费,规模以上工业港、澳、台商投资股份有限公司开发新产品经费,规模以上工业外商投资企业开发新产品经费,规模以上工业中外合资经营企业开发新产品经费,规模以上工业中外合作经营企业开发新产品经费,规模以上工业外资企业开发新产品经费,规模以上工业外商投资股份有限公司开发新产品经费
2019,169857184.5,120324780.5,133642654.9,935778.1,68050,76186.9,4825.3,687.9,54394710.3,7616360.2,24090702.9,53896801.4,175600,14875718.6,5385408.2,141925.7,8240202.1,1046393.7,21338811.0,10966504.8,238221.6,9124686.2,773956.3
2018,149872195.7,108744998.8,116493351.4,841251.8,66523.4,78041.5,1796.6,731.3,48431587.3,7571132.2,21885257.3,45017358.6,171534.9,13938026.4,4891951.0,140592.1,7784585.1,1057532.6,19440817.9,10152833.1,212228.9,8072917.0,845898.5
2017,134978371.2,100640517.1,103371254.2,2677166.8,619604.7,61493.0,10520.6,3836.8,44143288.6,6167601.2,20454872.3,35374843.7,29464.5,13694049.1,5080100.5,184987.6,7441281.6,894281.2,17913067.9,9410438.6,168567.3,7301379.6,924942.6
2016,117662657.9,89037617.1,89317094.8,2960806.0,595155.6,59183.2,9038.9,3864.8,38635727.2,4897257.6,17288944.1,29726928.9,41310.9,11508389.0,4246905.6,139991.5,6300833.2,739696.9,16837174.1,8657268.6,195294.5,7056011.4,880830.4
2015,102708341.9,79788542.3,77699890.9,3033658.9,792398.6,70196.1,9402.4,5889.7,33231050.7,4891592.8,16022522.2,24427470.4,113191.6,9935587.6,3910984.6,97360.9,5124350.1,777635.8,15072863.4,8047225.0,190089.1,5941588.5,860314.0
2014,101231582.0,79532787.9,75759343.4,2702241.9,604850.7,74667.0,53643.8,49787.8,32526953.7,5766656.4,16546230.2,23169548.3,81207.8,9639508.3,4043951.9,139394.2,4783414.2,665508.6,15832730.3,8565541.3,246113.2,6147815.9,852648.4
2013,92467435.9,74406399.3,68562481.2,2854119.8,583732.3,86268.2,67878.4,65430.0,29403877.5,5836971.6,15703824.1,19762562.3,100218.6,9010132.1,3644876.5,138929.3,4634668.2,578806.5,14894822.6,7969857.1,242580.5,5887815.3,777059.6
2012,79985405.1,65718382.0,57916116.8,5510422.4,588384.9,221537.6,108230.2,83248.2,22686245.6,4477729.5,13693781.0,14625193.2,482321.9,8123552.8,3301316.2,117384.4,4101610.2,556857.3,13945735.5,7016444.0,169633.5,5922677.3,797599.4
2011,68459429.8,56971680.7,49343583.4,4633558.1,425793.5,211025.8,109033.9,75552.8,19893923.8,4126141.5,12474503.6,11177558.7,418186,6985007.4,2960830.9,67766.5,3400280.2,530982.0,12130839.0,5830463.2,116466.4,5314612.4,854873.5
2010,,44206917.4,,,,,,,,,,,,,,,,,,,,,
2009,44820000.0,36546131.0,,,,,,,,,,,,,,,,,,,,,
2008,36760615.3,30955692.2,,,,,,,,,,,,,,,,,,,,,
2007,,24533447.9,,,,,,,,,,,,,,,,,,,,,
2006,,18629418.0,,,,,,,,,,,,,,,,,,,,,
2005,,14571954.7,,,,,,,,,,,,,,,,,,,,,
2004,9657000.0,8209592.0,,,,,,,,,,,,,,,,,,,,,
2003,,6389593.0,,,,,,,,,,,,,,,,,,,,,
2002,,5092038.0,,,,,,,,,,,,,,,,,,,,,
2001,,4220419.0,,,,,,,,,,,,,,,,,,,,,
2000,,3888539.2,,,,,,,,,,,,,,,,,,,,,
