年份,规模以上工业企业新产品销售收入,规模以上煤炭开采和洗选业工业企业新产品销售收入,规模以上石油和天然气开采业工业企业新产品销售收入,规模以上黑色金属矿采选业工业企业新产品销售收入,规模以上有色金属矿采选业工业企业新产品销售收入,规模以上非金属矿采选业工业企业新产品销售收入,规模以上农副食品加工业企业新产品销售收入,规模以上食品制造业工业企业新产品销售收入,规模以上饮料制造业工业企业新产品销售收入,规模以上烟草制品业工业企业新产品销售收入,规模以上纺织业工业企业新产品销售收入,规模以上纺织服装、鞋、帽制造业工业企业新产品销售收入,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业新产品销售收入,规模以上木材加工及木、竹、藤、棕、草制品业工业企业新产品销售收入,规模以上家具制造业工业企业新产品销售收入,规模以上造纸及纸制品业工业企业新产品销售收入,规模以上印刷业和记录媒介的复制工业企业新产品销售收入,规模以上文教体育用品制造业工业企业新产品销售收入,规模以上石油加工、炼焦及核燃料加工工业企业新产品销售收入,规模以上化学原料及化学制品制造业工业企业新产品销售收入,规模以上医药制造业工业企业新产品销售收入,规模以上化学纤维制造业工业企业新产品销售收入,规模以上橡胶制品业工业企业新产品销售收入,规模以上塑料制品业工业企业新产品销售收入,规模以上非金属矿物制品业工业企业新产品销售收入,规模以上黑色金属冶炼及压延加工业企业新产品销售收入,规模以上有色金属冶炼及压延加工业企业新产品销售收入,规模以上金属制品业工业企业新产品销售收入,规模以上通用设备制造业工业企业新产品销售收入,规模以上专用设备制造业工业企业新产品销售收入,规模以上交通运输设备制造业工业企业新产品销售收入,规模以上电气机械及器材制造业工业企业新产品销售收入,规模以上通信设备、计算机及电子设备制造业其他工业企业新产品销售收入,规模以上仪器仪表及文化、办公用机械制造业工业企业新产品销售收入,规模以上工艺品及其他制造业工业企业新产品销售收入,规模以上电力、热力的生产和供应业工业企业新产品销售收入,规模以上燃气生产和供应业工业企业新产品销售收入,规模以上水的生产和供应业工业企业新产品销售收入
2019,2120602637.5,5586542.4,2257449.1,835078.2,2067433.9,1440718.2,32029999.8,18072560.9,,9085919.5,37490323.1,,,6798559.4,12768722.8,29512526.4,12103802.5,,31879700.1,118385427.4,66734598.7,28412216.8,,,61740472.3,105635968.7,79519572.5,62784691.1,117112623.8,89600082.8,,243040112.0,441509516.4,,,4257913.9,5655523.8,793400.3
2018,1970940693.9,10427844.9,1199813.0,805343.8,2485994.7,1478469.2,31857684.5,16559504.4,,9723199.5,35772338.7,,,5931368.7,11198873.2,29140356.2,9290973.8,,32059068.2,123874658.2,63670361.4,22069534.2,,,49171292.8,95748048.2,80367983.0,51534577.1,100236055.7,84073382.7,,225188310.7,427938758.0,,,3960132.5,1073319.7,676035.8
2017,1915686889.4,10090782.0,1112342.1,630160.5,2372374.1,966089.7,33601202.2,15705489.9,,16890810.2,51245343.4,,,6125699.3,9976305.5,24290959.6,8135556.1,,26835999.6,118211469.4,57132497.7,20362191.5,,,41788670.1,90985290.2,75496509.2,44718345.4,93864597.8,73561409.1,,212862746.2,398752317.9,,,3350245.0,693055.4,236200.8
2016,1746041534.3,4979234.0,952723.8,338905.0,2294419.5,983409.0,33319427.7,16039336.4,,17742748.8,51746137.6,,,6095457.9,9466171.4,20926494.9,6484638.8,,26737035.9,117622696.4,54227526.5,18454130.1,,,33953918.4,71200326.2,69760132.8,39656070.9,89485474.6,64300459.4,,194090805.8,348386662.4,,,2792641.1,510130.1,258053.4
2015,1508565472.7,5846632.6,618503.1,307215.0,1517150.3,888092.0,28484303.2,13345183.2,,16507421.7,47421038.0,,,5336648.6,6017028.6,16688026.6,5658318.7,,25079048.9,107041486.7,47362674.5,17137249.8,,,29010266.7,66290939.6,58170504.2,35548896.4,80435662.1,60276516.6,,165025929.0,306577277.7,,,2492720.8,265702.2,201342.6
2014,1428952867.0,8979203.0,236906.3,527984.7,1282013.8,672074.9,24650632.4,11587056.5,,15222666.6,43107326.8,,,4728976.4,5093831.5,15410581.9,5133460.9,,28647574.7,101691212.8,43018345.3,15845079.8,,,26010894.7,80428617.5,59403446.1,32051316.1,76409126.9,61128090.3,,161569917.4,267651601.3,,,2114387.7,158789.8,111353.4
2013,1284606903.2,11393445.9,61155.1,385563.3,3113695.9,475532.6,21216452.9,10968404.2,,15913129.8,40512571.0,,,3355673.7,3910684.8,13822519.6,4360006.2,,26469415.7,91376297.6,36061673.8,15093388.4,,,24108128.4,79719165.5,51915643.1,27219666.1,72693612.6,58947065.1,,138605057.7,241635185.7,,,2221947.8,158475.0,132749.0
2012,1105297711.1,11100652.6,163294.9,360102.7,3479857.5,523506.8,20041824.2,8444769.1,,13836853.2,33711924.3,,,3233002.4,2908385.9,11255337.1,3691488.2,,17420808.7,78730818.4,29286008.9,14392962.0,,,17836658.3,75917476.1,39906367.4,23685735.0,62773071.9,51792189.5,,117922424.6,194715449.1,,,1971995.9,586644.6,137827.4
2011,1005827244.7,11156173.4,592611.9,322942.0,669279.0,534697.3,14677320.8,6814431.2,7833814.6,14928820.2,32539362.0,8075744.5,5078221.2,2464674.5,2549037.4,10182264.0,2795216.8,2079770.1,11571278.8,64328994.8,23170434.7,12845566.2,10968601.1,9208861.5,14523911.7,68352484.2,34103900.8,15547665.8,59293577.5,44792465.5,200879220.8,109980157.0,182267800.5,14584253.3,3881170.4,1799907.0,171814.3,22770.5
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,658382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,570270986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,228085839.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
