年份,规模以上工业企业新产品项目数,大中型工业企业新产品项目数,规模以上工业内资企业新产品项目数,规模以上工业国有企业新产品项目数,规模以上工业集体企业新产品项目数,规模以上工业股份合作企业新产品项目数,规模以上工业联营企业新产品项目数,规模以上工业国有联营企业新产品项目数,规模以上工业有限责任公司新产品项目数,规模以上工业国有独资公司新产品项目数,规模以上工业股份有限公司新产品项目数,规模以上工业私营企业新产品项目数,规模以上工业其他企业新产品项目数,规模以上工业港、澳、台商投资企业新产品项目数,规模以上工业港、澳、台商合资经营企业新产品项目数,规模以上工业港、澳、台商合作经营企业新产品项目数,规模以上工业港、澳、台商独资经营企业新产品项目数,规模以上工业港、澳、台商投资股份有限公司新产品项目数,规模以上工业外商投资企业新产品项目数,规模以上工业中外合资经营企业新产品项目数,规模以上工业中外合作经营企业新产品项目数,规模以上工业外资企业新产品项目数,规模以上工业外商投资股份有限公司新产品项目数
2019,671799,253058,568733,3494,373,808,28,7,156913,16980,68678,338247,192,48400,17639,485,27311,2625,54666,24142,585,27168,2149
2018,558305,233296,463865,2466,333,645,15,5,142539,17539,63899,253782,186,44253,16524,482,24636,2321,50187,22500,686,24637,1824
2017,477861,222448,388276,5313,826,566,38,17,133898,14189,58706,188834,95,43324,16968,747,23144,2146,46261,21430,636,22101,1591
2016,391872,195747,313231,5700,749,502,44,17,110556,13220,50236,145329,115,36315,15051,575,18608,1874,42326,20252,561,19826,1484
2015,326286,176447,257633,6912,869,553,44,30,92383,12230,43073,113439,360,30416,13535,425,14635,1731,38237,19477,567,16618,1453
2014,375863,225206,295229,9074,2180,548,103,86,112979,16439,50561,119467,317,33181,15287,515,15383,1963,47453,24530,854,20345,1631
2013,358287,222508,274397,10696,2170,593,108,91,108132,16729,49300,103038,360,34247,15460,810,16011,1896,49643,23357,887,23202,2091
2012,323448,210730,247015,20468,1945,2862,258,117,90011,12941,45631,83612,2228,30947,14098,824,13781,1919,45486,23373,740,19086,2161
2011,266232,176044,205080,18350,1387,1013,237,108,76702,13069,38051,67557,1783,25518,11947,417,11703,1300,35634,18581,678,14350,1961
2010,,159637,,,,,,,,,,,,,,,,,,,,,
2009,237754,152770,,,,,,,,,,,,,,,,,,,,,
2008,184859,121358,,,,,,,,,,,,,,,,,,,,,
2007,,112369,,,,,,,,,,,,,,,,,,,,,
2006,,100760,,,,,,,,,,,,,,,,,,,,,
2005,,81033,,,,,,,,,,,,,,,,,,,,,
2004,76176,46575,,,,,,,,,,,,,,,,,,,,,
2003,,68633,,,,,,,,,,,,,,,,,,,,,
2002,,59788,,,,,,,,,,,,,,,,,,,,,
2001,,57418,,,,,,,,,,,,,,,,,,,,,
2000,,55953,,,,,,,,,,,,,,,,,,,,,
