年份,规模以上工业企业新产品出口销售收入,规模以上煤炭开采和洗选业工业企业新产品出口销售收入,规模以上石油和天然气开采业工业企业新产品出口销售收入,规模以上黑色金属矿采选业工业企业新产品出口销售收入,规模以上有色金属矿采选业工业企业新产品出口销售收入,规模以上非金属矿采选业工业企业新产品出口销售收入,规模以上农副食品加工业企业新产品出口销售收入,规模以上食品制造业工业企业新产品出口销售收入,规模以上饮料制造业工业企业新产品出口销售收入,规模以上烟草制品业工业企业新产品出口销售收入,规模以上纺织业工业企业新产品出口销售收入,规模以上纺织服装、鞋、帽制造业工业企业新产品出口销售收入,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业新产品出口销售收入,规模以上木材加工及木、竹、藤、棕、草制品业工业企业新产品出口销售收入,规模以上家具制造业工业企业新产品出口销售收入,规模以上造纸及纸制品业工业企业新产品出口销售收入,规模以上印刷业和记录媒介的复制工业企业新产品出口销售收入,规模以上文教体育用品制造业工业企业新产品出口销售收入,规模以上石油加工、炼焦及核燃料加工工业企业新产品出口销售收入,规模以上化学原料及化学制品制造业工业企业新产品出口销售收入,规模以上医药制造业工业企业新产品出口销售收入,规模以上化学纤维制造业工业企业新产品出口销售收入,规模以上橡胶制品业工业企业新产品出口销售收入,规模以上塑料制品业工业企业新产品出口销售收入,规模以上非金属矿物制品业工业企业新产品出口销售收入,规模以上黑色金属冶炼及压延加工业企业新产品出口销售收入,规模以上有色金属冶炼及压延加工业企业新产品出口销售收入,规模以上金属制品业工业企业新产品出口销售收入,规模以上通用设备制造业工业企业新产品出口销售收入,规模以上专用设备制造业工业企业新产品出口销售收入,规模以上交通运输设备制造业工业企业新产品出口销售收入,规模以上电气机械及器材制造业工业企业新产品出口销售收入,规模以上通信设备、计算机及电子设备制造业其他工业企业新产品出口销售收入,规模以上仪器仪表及文化、办公用机械制造业工业企业新产品出口销售收入,规模以上工艺品及其他制造业工业企业新产品出口销售收入,规模以上电力、热力的生产和供应业工业企业新产品出口销售收入,规模以上燃气生产和供应业工业企业新产品出口销售收入,规模以上水的生产和供应业工业企业新产品出口销售收入
2019,392692887.9,1486275,,,5146.4,34894,1870545.6,1685006,,168210.5,8228462.3,,,1095529.1,3981194.6,1846276.4,1603034.9,,2994293.1,11371433.7,5537529.8,2434445.4,,,5739005.5,7810863.9,4921919.5,10492485.8,16952769.4,11862951.4,,51763381.1,181935898.6,,,32413.4,100.8,1690
2018,361608191.1,92144.6,320.0,,1335.2,29915.2,1585970.4,1385170.7,,39932.7,7315128.5,,,819722.9,3870079.8,1588980.4,1376944.1,,567111.4,11818653.9,4872273.8,1792916.9,,,4805807.9,6737600.9,5368811.2,8978024.2,15063913.4,11634031.9,,45409743.3,176358232.8,,,7200.5,,
2017,349447537.4,254303,,,13.3,20979.7,1677883.5,1401013.6,,29213.7,7141578.3,,,755775.7,3639732.5,1701062.8,1044211.7,,330056.7,11995171.7,4996441.6,1460212.6,,,4698916.2,8090521.6,4584691.7,6489918.5,13189300.9,10100462.4,,40376313.5,175435291.7,,,16694.8,,
2016,327130958.4,261761,,16723.0,3144.5,16834.5,1627775.1,1189634.3,,145066.2,7228701.7,,,884388.9,2720977.0,2137418.1,917223.9,,89505.6,11826737.8,4896556.0,1506909.6,,,3598515.6,8321577.8,4042202.5,6296435.1,12212339.6,8290407.2,,35036891.7,165812666.2,,,78092.1,,637.5
2015,291326776.3,227436,11385.7,101.1,331.1,7476.5,1294526.0,1080976.6,,113980.8,5985370.3,,,778746.7,1853635.2,1109189.2,575443.3,,43776.7,9853104.7,3725503.2,1463103.0,,,2978871.9,7217099.5,3789118.9,5127304.0,10058277.7,8550488.3,,29407862.0,156134829.0,,,622.4,,554.1
2014,269043782.5,362210.9,,739.2,10801.1,6120.1,1509677.2,1214700.3,,38638.2,6753510.9,,,689355.4,1595520.7,1161912.7,380125.5,,42732.2,8910377.9,3194422.0,1374265.7,,,2718396.7,8863480.4,3635328.1,5146222.6,9798770.9,7543519.6,,27047272.9,138749123.8,,,33773.3,,
2013,228534683.0,507529.9,580.0,,2103.4,6172.9,1338445.8,1280354,,61447.1,5578100.3,,,523592.0,1524342.6,866566.4,318939.5,,57765.8,8136824.3,3168254.7,1191032.9,,,2778272.5,7545887.2,3578179.1,4471631.3,8871992.1,8280087.4,,22512999.2,113450701.3,,,33378.1,,
2012,218941519.3,736899,,5.2,4600.0,5969.2,1199277.7,1298583.7,,41206.2,6295479.9,,,558121.1,1130409.7,923184.5,227750.6,,49335.8,8009253.6,2933596.2,1106669.7,,,2588919.9,7605736.2,3909708.8,4066462.0,9579730.1,6428327.9,,22507520.7,105419212.5,,,46076.9,,
2011,202230938.1,842514.4,2102.4,,1896.0,5239.6,1258787.2,930873.2,214597.3,32325.8,6164165.0,953207.0,1264770.9,374461.3,879144.5,1073575.8,211688.8,954128.7,37031.6,6666167.6,2424277.2,1375161.4,2790811.1,1669939.4,1899670.0,5866789.5,3253270.9,2952550.0,7452655.2,5093861.4,21612716.5,23161204.8,96385715.6,3159888.1,1220726.5,45023.4,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,115725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,140816000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,53122000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
