年份,民族自治地方普通高等学校在校学生数,民族自治地方普通中学在校学生数,民族自治地方普通小学在校学生数,民族自治地方普通高等学校专任教师数,民族自治地方普通中学专任教师数,民族自治地方普通小学专任教师数
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,178.6723,999.532,1437.7698,10.3154,68.6915,86.0506
2012,171.8717,1021.4721,1478.6986,10.0625,69.3283,88.9401
2011,165.9152,1039.6445,1484.4181,9.6912,69.8778,89.3862
2010,161.8806,1050.3548,1536.2948,9.4695,67.4421,90.7285
2009,148.5061,1050.1506,1580.8933,8.6976,66.1871,90.5851
2008,137.4689,1061.5717,1615.5343,8.2202,64.7337,89.9776
2007,123.4624,1083.5901,1645.3871,7.7105,63.7076,89.1405
2006,113.0,1092.61,1653.1,7.1,62.57,88.2
2005,100.0,1082.39,1667.7,6.3,61.1,88.1
2004,,,,,,
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,34.2,872.97,1886.0084,3.6391,47.89,89.9402
