年份,民族自治地方国际游客,民族自治地方旅游外汇收入
2019,,
2018,,
2017,,
2016,,
2015,,
2014,,
2013,1435.60451,57.98778025
2012,1226.489257,45.436484
2011,867.0,36.3732307
2010,820.0,30.0
2009,751.0,26.78044152
2008,899.0881,18.186496
2007,765.075,21.750132
2006,599.9,15.8
2005,467.0,12.8
2004,,
2003,,
2002,,
2001,,
2000,269.0,7.54940745
