年份,民族自治地方财政收入,民族自治地方财政支出
2019,,
2018,,
2017,,
2016,,
2015,,
2014,,
2013,6101.04829,17461.38804
2012,5220.35645,16070.7994
2011,4276.35737,13588.74422
2010,3256.9944,10511.52636
2009,2099.8825,6496.7311
2008,2099.8825,6496.7311
2007,1660.7909,4905.1909
2006,1281.0,3732.9
2005,1026.3526,3050.437
2004,,
2003,,
2002,,
2001,,
2000,475.5399,1172.89784
