年份,民族自治地方地级区划数,民族自治地方地级市数,民族自治地方自治州数,民族自治地方县级区划数,民族自治地方县级市数,民族自治地方自治县(旗)数
2019,77,38,30,713,83,120
2018,77,38,30,711,78,120
2017,77,38,30,711,77,120
2016,77,34,30,709,74,120
2015,77,33,30,707,74,120
2014,,,,,,
2013,77,31,30,705,72,120
2012,77,31,30,702,68,120
2011,77,31,30,698,65,120
2010,77,31,30,698,65,120
2009,77,31,30,698,65,120
2008,77,31,30,698,65,120
2007,77,31,30,698,65,120
2006,77,31,30,699,66,120
2005,77,31,30,699,66,120
2004,77,31,30,699,66,120
2003,77,31,,699,66,
2002,76,28,,699,68,
2001,77,23,,699,68,
2000,77,20,,699,70,
