年份,民族自治地方建筑业企业人数,民族自治地方建筑业总产值,民族自治地方施工房屋面积,民族自治地方竣工房屋面积
2019,,,,
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,218.2667,8021.32877,59672.6201,12359.6379
2012,195.9589,6823.220903,49143.9746,19199.4186
2011,190.1403,6391.75764257,42752.8193,17483.1218
2010,194.2371,5202.988768,35052.1759,15418.4797
2009,183.97125,3961.73416059,28156.4689,13166.9995
2008,165.2803,3082.893006,24600.0436,11857.8808
2007,162.2774,2500.48848,22717.247,11234.5947
2006,151.9,1927.9,18543.6,9183.2
2005,141.7,1655.9,15964.4,8072.1
2004,,,,
2003,,,,
2002,,,,
2001,,,,
2000,131.5884,754.303528,9231.85,5325.88
