年份,民族自治地方金融机构各项存款,民族自治地方金融机构各项贷款
2019,,
2018,,
2017,,
2016,,
2015,,
2014,,
2013,72956.766848,52450.982143
2012,64118.389703,44516.930082
2011,54671.93975,37299.11681
2010,46621.780239,30578.948686
2009,37097.90385,24493.956607
2008,30144.331164,19318.345311
2007,24208.775903,15696.9819
2006,19897.9,13419.6
2005,16323.8,11299.7
2004,,
2003,,
2002,,
2001,,
2000,7905.7892554,6548.0088124
