年份,民族自治地方耕地面积,民族自治地方灌溉面积,民族自治地方农林牧渔总产值,民族自治地方粮食产量,民族自治地方棉花产量,民族自治地方油料产量,民族自治地方大牲畜年底头数,民族自治地方羊年底头数,民族自治地方猪年底头数
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,2589.609,1652.7935,17135.496084,9580.34689,352.46145,478.589826,5368.2969,15149.47547,8511.1796
2012,2374.56882,1235.25106,13631.275064,9141.599067,354.53683,454.671307,5485.6225,15130.6337,8554.59691
2011,2375.65994,1186.01150333333,12125.670481,8691.2372959,290.42125,416.64584365,6023.70098,14667.6275,8098.9258
2010,2380.47622,1156.219893,10374.442211,8307.912924,248.46636,422.400995,6067.8395,14885.2323,8141.2187
2009,2302.55307,1114.1615,8260.449885,7925.385821,303.33963,396.600293,5598.5962,14466.9987,7696.787
2008,2302.55307,1114.1615,8260.449885,7925.385821,303.33963,396.600293,5598.5962,14466.9987,7696.787
2007,2282.126,1097.28364,7103.645079,7324.780878,302.141012,286.540051,5745.1795,15296.2524,7868.8837
2006,2087.6,1050.0,5905.8,7202.1,219.5,359.5,6265.1,16459.7,8143.9
2005,2033.133455,1027.40782,5349.471615,7186.776768,187.92951,372.021856,6152.6251,16390.8288,8526.4393
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,2086.4437,935.70194,3199.772531,6381.356197,146.2351,353.162295,5565.947,13075.8445,8200.842
