年份,民族自治地方工业总产值,民族自治地方布产量,民族自治地方机制纸及纸板产量,民族自治地方成品糖产量,民族自治地方原煤产量,民族自治地方原油产量,民族自治地方发电量,民族自治地方粗钢产量,民族自治地方生铁产量,民族自治地方水泥产量,民族自治地方木材产量
2019,,,,,,,,,,,
2018,,,,,,,,,,,
2017,,,,,,,,,,,
2016,,,,,,,,,,,
2015,,,,,,,,,,,
2014,,,,,,,,,,,
2013,,1.748911999,509.4577,1282.795753,13.4545853974,3345.38754,10450.700105,4671.5961,5838.653011,35512.691146,
2012,,2.06865,512.9363,1102.302523,13.8050358509,3230.0972,8989.47147,4018.9415,5140.4951,31246.763574,
2011,50975.929457,3.7356,437.372432,935.386135,10.7862415877,3185.83907,7131.440757,3240.007584,4799.340576,23235.355425,341.8781
2010,38473.8601,3.6326,385.2677,906.886756,10.3894283602,3059.1815,6729.86103,4004.8127,4447.4943,21652.559438,417.0105
2009,29145.37507,3.088515,500.217093,1047.412705,8.3287336745,4649.487921,5910.843326,3468.6056,3945.557,21375.538029,400.5529
2008,25910.66128,3.2091,358.321367,1174.416575,6.52838768,3054.78,5500.947817,2980.8671,3021.32083,15779.763932,385.3401
2007,19025.54176,4.460387,283.38958,1005.39283,5.0991084682,3033.0795,4903.3687217,2660.0415,2907.68452,14011.360625,131.40738
2006,14214.7,4.7,258.7,758.5,4.3,2913.8,3740.2,2150.2,2384.3,11752.7,464.5
2005,10653.6,3.5,272.9,678.1,3.8,2832.5,3052.2,1846.3,2086.8,10155.9,169.4
2004,,,,,,,,,,,
2003,,,,,,,,,,,
2002,,,,,,,,,,,
2001,,,,,,,,,,,
2000,3923.47,5.009603,175.4627,498.2184,1.462251209,2291.7067,1712.45598,647.0505,724.8395,5703.1496,1052.4888
