年份,民族自治地方进出口总额,民族自治地方出口额,民族自治地方进口额
2019,,,
2018,,,
2017,,,
2016,,,
2015,,,
2014,,,
2013,922.75239655,608.77119814,313.98119841
2012,821.121678,512.981851,308.139827
2011,698.426139,425.675023,272.751116
2010,533.264832,331.441152,201.82368
2009,415.809117,265.719384,150.089733
2008,531.364015,367.939861,163.424154
2007,381.080221,245.906665,135.347606
2006,275.2,171.9,103.5
2005,221.5,126.4,95.1
2004,,,
2003,,,
2002,,,
2001,,,
2000,85.64098,49.67788,35.9631
