年份,亿元以上商品交易市场成交额,综合市场成交额,生产资料综合市场成交额,工业消费品综合市场成交额,农产品综合市场成交额,其他综合市场成交额,专业市场成交额,生产资料市场成交额,农业生产用具市场成交额,农用生产资料市场成交额,煤炭市场成交额,木材市场成交额,建材市场成交额,化工材料及制品市场成交额,金属材料市场成交额,机械设备市场成交额,其他生产资料市场成交额,农产品市场成交额,粮油市场成交额,肉禽蛋市场成交额,水产品市场成交额,蔬菜市场成交额,干鲜果品市场成交额,棉麻土畜、烟叶市场成交额,其他农产品市场成交额,食品、饮料及烟酒市场成交额,食品饮料市场成交额,茶叶市场成交额,烟酒市场成交额,其他食品饮料及烟酒市场成交额,纺织、服装、鞋帽市场成交额,布料及纺织品市场成交额,服装市场成交额,鞋帽市场成交额,其他纺织服装鞋帽市场成交额,日用品及文化用品市场成交额,小商品市场成交额,箱包市场成交额,玩具市场成交额,文具市场成交额,图书、报刊杂志市场成交额,音像制品及电子出版物市场成交额,体育用品市场成交额,其他日用品及文化用品市场成交额,黄金、珠宝、玉器等首饰市场成交额,电器、通讯器材、电子设备市场成交额,家电市场成交额,通讯器材市场成交额,照相、摄像器材市场成交额,计算机及辅助设备市场成交额,其他电器、通讯器材、电子设备市场成交额,医药、医疗用品及器材市场成交额,中药材市场成交额,其他医药、医疗用品及器材市场成交额,家具、五金及装饰材料市场成交额,家具市场成交额,装饰材料市场成交额,灯具市场成交额,厨具、盥洗设备市场成交额,五金材料市场成交额,其他装修市场成交额,汽车、摩托车及零配件市场成交额,汽车市场成交额,摩托车市场成交额,机动车零配件市场成交额,花、鸟、鱼、虫市场成交额,花卉市场成交额,鸟市场成交额,观赏鱼市场成交额,其他花鸟鱼虫市场成交额,旧货市场成交额,古玩、古董、字画市场成交额,邮票、硬币市场成交额,其他旧货市场成交额,其他专业市场成交额
2019,112016.7763,26895.2092,1571.862,7257.7429,13098.5719,4967.0324,85121.5671,30634.3525,177.4702,105.8061,158.9615,356.6767,1896.0786,4313.2833,21137.2587,841.2707,1647.5467,19785.3127,1917.2947,2104.2384,4258.1853,3879.7972,3871.1458,472.9954,3281.6559,1152.4338,208.4871,307.9749,105.0323,530.9395,15744.8566,7180.838,6278.499,489.0653,1796.4543,1896.1742,579.884,705.5163,30.9118,7.4,32.4077,3.2234,1.963,534.868,843.1865,563.9199,163.162,68.9709,6.3226,268.5334,56.931,1653.0009,1653.0009,,5204.4332,1618.0342,1890.7203,220.6555,16.0903,958.054,500.8789,6172.4716,5360.4435,38.0797,773.9484,763.4135,750.8445,,,12.569,23.2334,1,,22.2334,684.7783
2018,109373.3087,26056.2647,1369.6621,7247.9684,12300.6259,5138.0083,83317.044,30249.4488,244.033,115.7714,285.7624,628.5857,2020.9941,4287.8723,19838.3556,874.0077,1954.0666,18327.2636,1707.07,1544.5979,3738.0156,3972.3242,3820.9271,470.8049,3073.5239,1200.4299,275.0137,296.9213,107.1033,521.3916,15429.4618,6850.5362,6004.4808,615.0941,1959.3507,1922.8596,656.0401,700.4189,25.8295,6.7801,34.7997,6.1172,1.9038,490.9703,758.4351,780.3301,271.5754,104.9465,6.4356,327.3556,70.017,1518.3618,1518.3618,,5644.8129,1806.3338,1945.3424,246.6945,27.2667,968.4665,650.709,6080.267,5217.2227,38.5179,824.5264,669.2259,642.504,,,26.7219,25.2738,1,,24.2738,710.8737
2017,108247.5882,25834.331,1299.111,8705.7416,10681.7127,5147.7657,82413.2572,29330.6045,255.887,131.9961,264.0355,690.4882,1961.6505,3846.1676,19771.0185,679.3679,1729.9932,19346.6821,1627.9748,1473.265,3661.3008,4262.2444,4588.7362,465.3624,3267.7985,1206.8037,309.238,254.8969,104.6112,538.0576,15169.3011,6587.4385,5826.1792,633.3363,2122.3471,1202.7522,454.5242,185.546,25.1107,17.4686,35.7339,15.849,1.8,466.7198,694.4937,789.085,304.0354,110.6072,9.0725,307.3904,57.9795,1314.7475,1314.7475,,5442.6323,1777.6577,1855.4388,231.2978,27.4113,1048.6377,502.189,6621.2034,5636.9697,52.5805,931.6532,475.5482,453.2793,,,22.2689,31.832,2.0339,,29.7981,787.5715
2016,102139.6989,25531.0922,1264.1888,8594.1204,11099.733,4573.05,76608.6067,26199.0577,232.3348,162.7835,264.9934,746.2739,1999.1876,3462.6995,16467.7242,703.5642,2159.4966,17466.5222,1669.2071,1546.4209,3233.9409,4261.0862,3102.6704,684.1903,2969.0064,1345.1552,342.9901,279.0416,109.6748,613.4487,14617.2513,6293.856,5755.1268,479.2043,2089.0642,1179.9762,464.2779,189.0734,23.9958,29.3409,41.9543,15.3775,1.75,414.2064,541.512,816.0828,288.8789,110.1934,9.1484,344.4322,63.4299,1228.9933,1228.9933,,5467.8923,1746.8598,1855.4296,203.0669,25.9368,1055.3052,581.294,6629.0242,5519.6569,56.548,1052.8193,443.6956,422.8774,,,20.8182,33.3129,2.2226,,31.0903,640.131
2015,100133.7865,24452.9012,1357.1117,8264.3671,10035.4209,4796.0015,75680.8853,27658.1294,225.8153,165.5157,296.5148,737.8181,2015.6975,3375.0825,17826.6318,740.4701,2274.5836,16483.8269,1869.9248,1401.2019,3319.1373,4013.8757,2825.6346,721.5286,2332.524,1282.7516,358.5947,268.9537,73.4493,581.7539,14080.9542,5954.8142,5591.4545,461.5385,2073.147,1150.0101,482.3527,188.588,24.0103,27.6829,30.8162,17.3076,,379.2524,492.2379,917.3124,299.8394,109.2739,6.9872,446.2739,54.938,901.0915,901.0915,,5066.0436,1460.0105,1879.5484,199.7516,23.3574,950.4025,552.9732,6409.8647,5306.9969,64.349,1038.5188,426.9087,406.3079,,,20.6008,66.3151,2.2425,,64.0726,745.4392
2014,100309.9019,22348.7017,1395.5352,7863.0449,9332.0042,3758.1174,77961.2002,30386.439,211.5061,175.9164,509.5466,752.0237,1958.4605,3096.9037,21155.6567,738.0053,1788.42,15507.8289,1753.7303,1328.2633,3157.1881,3771.5572,2484.5498,665.4345,2347.1057,1313.8723,398.8745,247.0912,76.3313,591.5753,14099.4615,6115.6379,5492.6601,438.1755,2052.988,1144.1667,419.0082,218.218,22.9926,21.4029,36.5185,7.4403,,418.5862,473.1067,972.0526,316.4356,106.656,7.1768,484.0267,57.7575,1507.1149,1507.1149,,5010.1625,1463.2727,1833.6847,214.3539,18.6573,895.3205,584.8734,6318.0252,5119.3604,75.7255,1122.9393,436.2671,417.3195,,,18.9476,83.1015,3.0213,,80.0802,709.6013
2013,98365.1,20277.8596,1593.6243,7110.243,8077.1284,3496.8639,78087.3,32259.4349,184.857,178.2656,566.5082,727.0326,1684.5813,2725.5339,23560.3573,666.8276,1965.4714,14584.0812,1565.111,1224.2077,2808.8149,3838.246,2337.8841,707.5122,2102.3053,1674.9438,752.7914,244.3307,73.6557,604.166,13034.5559,5528.77,5077.2652,388.8823,2039.6384,1055.7979,338.979,222.8496,23.7377,20.616,38.0735,7.9673,1.4572,402.1176,467.5878,1110.5215,321.5183,121.205,7.1266,606.3206,54.351,1368.8,1368.8,,4871.34,1323.9593,1761.696,192.9081,19.7523,938.348,634.6763,6322.3907,5095.5379,76.2932,1150.5596,413.2376,396.2413,,,16.9963,79.0799,3.0473,,76.0326,845.5216
2012,93023.7663,18159.8635,1406.2835,6464.4228,7012.871,3276.2862,74863.9028,32034.4944,197.5663,165.7738,606.1054,692.8927,1601.8953,2627.5867,23049.5219,604.2094,2488.9429,13713.6418,1641.2602,1029.068,2974.1219,3601.0737,2004.4608,628.8778,1834.7794,1692.8263,449.4697,226.1657,87.2702,929.9207,11898.758,4956.8147,4881.8688,360.1506,1699.9239,1178.7549,303.9859,215.7668,22.2331,27.21,39.073,21.551,1.2075,547.7276,426.0714,1287.764,307.3281,121.3356,7.3557,792.0433,59.7013,814.7553,797.9043,16.851,4832.8898,1240.6392,1623.4707,171.577,20.0546,961.5417,815.6066,5707.2067,4636.65,90.8138,979.7429,379.8231,364.8433,,,14.9798,80.8211,5.8489,1.1235,73.8487,816.096
2011,82017.2688,16102.8457,1367.3462,5439.6716,6325.1069,2970.721,65914.4231,26808.1307,166.4105,176.5167,723.8282,594.2381,1528.8396,2623.4215,18201.7208,610.7674,2182.3879,12595.2637,1436.9982,895.216,2739.0123,3264.5153,1888.7975,908.445,1462.2794,1503.8566,391.9548,191.3295,83.6721,836.9002,10796.6005,4673.9183,4193.414,407.1954,1522.0728,1191.0178,300.3086,213.265,21.9542,26.065,40.6099,17.1087,1.2115,570.4949,365.1203,1281.2838,306.8091,119.9723,5.5472,766.112,82.8432,801.0022,790.6822,10.32,4499.9775,1090.7507,1362.6425,166.8599,19.1187,863.3333,997.2724,5181.8098,4189.8821,94.7254,897.2023,398.2867,385.9587,,1.2,11.128,86.3903,3.8483,,82.542,405.6832
2010,72703.5303,14794.2258,1755.3203,4843.1265,5477.7699,2718.0091,57909.3045,23867.5832,148.0377,153.4107,893.6684,545.243,1755.712,2582.3959,15759.3107,557.1088,1472.696,10593.2302,1467.7318,813.549,2096.6288,3062.7041,1682.1904,450.2493,1020.1768,1322.272,447.3081,171.284,74.1666,629.5133,9263.236,3709.8158,3960.5239,371.5536,1221.3427,1169.5028,285.7162,193.9498,9.543,30.0023,32.5381,13.0208,1.3,603.4326,328.635,1190.3051,305.4198,109.4083,4.3373,666.6489,104.4908,471.5779,412.7374,58.8405,3961.4183,1084.647,1047.9926,151.2743,15.0495,1021.8299,640.625,4824.9573,3935.6553,115.9684,773.3336,292.6179,283.1644,,,9.4535,136.0958,13.5092,,122.5866,487.873
