年份,亿元以上商品交易市场营业面积,综合市场营业面积,生产资料综合市场营业面积,工业消费品综合市场营业面积,农产品综合市场营业面积,其他综合市场营业面积,专业市场营业面积,生产资料市场营业面积,农业生产用具市场营业面积,农用生产资料市场营业面积,煤炭市场营业面积,木材市场营业面积,建材市场营业面积,化工材料及制品市场营业面积,金属材料市场营业面积,机械设备市场营业面积,其他生产资料市场营业面积,农产品市场营业面积,粮油市场营业面积,肉禽蛋市场营业面积,水产品市场营业面积,蔬菜市场营业面积,干鲜果品市场营业面积,棉麻土畜、烟叶市场营业面积,其他农产品市场营业面积,食品、饮料及烟酒市场营业面积,食品饮料市场营业面积,茶叶市场营业面积,烟酒市场营业面积,其他食品饮料及烟酒市场营业面积,纺织、服装、鞋帽市场营业面积,布料及纺织品市场营业面积,服装市场营业面积,鞋帽市场营业面积,其他纺织服装鞋帽市场营业面积,日用品及文化用品市场营业面积,小商品市场营业面积,箱包市场营业面积,玩具市场营业面积,文具市场营业面积,图书、报刊杂志市场营业面积,音像制品及电子出版物市场营业面积,体育用品市场营业面积,其他日用品及文化用品市场营业面积,黄金、珠宝、玉器等首饰市场营业面积,电器、通讯器材、电子设备市场营业面积,家电市场营业面积,通讯器材市场营业面积,照相、摄像器材市场营业面积,计算机及辅助设备市场营业面积,其他电器、通讯器材、电子设备市场营业面积,医药、医疗用品及器材市场营业面积,中药材市场营业面积,其他医药、医疗用品及器材市场营业面积,家具、五金及装饰材料市场营业面积,家具市场营业面积,装饰材料市场营业面积,灯具市场营业面积,厨具、盥洗设备市场营业面积,五金材料市场营业面积,其他装修市场营业面积,汽车、摩托车及零配件市场营业面积,汽车市场营业面积,摩托车市场营业面积,机动车零配件市场营业面积,花、鸟、鱼、虫市场营业面积,花卉市场营业面积,鸟市场营业面积,观赏鱼市场营业面积,其他花鸟鱼虫市场营业面积,旧货市场营业面积,古玩、古董、字画市场营业面积,邮票、硬币市场营业面积,其他旧货市场营业面积,其他专业市场营业面积
2019,28447.3664,7932.8702,800.595,2522.7917,2484.9707,2124.5128,20514.4962,5523.349,119.8408,46.4242,40.64,302.7952,2331.241,192.8918,1955.1401,288.7339,245.642,3949.3911,325.6617,375.4837,458.3142,1492.877,589.4785,121.3041,586.2719,333.1993,66.631,125.6455,22.6268,118.296,3402.5416,1048.3707,1919.0409,119.1147,316.0153,364.7087,146.6273,70.074,32.275,7.3,5.6174,0.65,1.28,100.885,204.9544,292.0893,143.3415,33.3748,1.632,98.7575,14.9835,319.3236,319.3236,,4241.0488,1687.9171,1541.7087,102.7835,11.5808,436.3331,460.7256,1419.5592,1134.7588,22.7826,262.0178,187.7618,179.8486,,,7.9132,16.183,1.312,,14.871,260.3864
2018,29190.6299,8054.8533,783.7378,2472.871,2573.0655,2225.179,21135.7766,5939.896,165.6938,48.51,198.34,433.7741,2406.374,200.6735,1952.5447,289.1577,244.8282,4000.1735,318.5129,302.7853,471.1862,1539.4936,618.0981,121.7391,628.3583,356.2524,68.007,132.3515,25.6968,130.1971,3389.6723,993.804,1884.9494,127.1945,383.7244,343.2598,123.3972,69.481,33.005,7.3,6.0274,1.75,1.28,101.0192,254.8702,305.2312,144.4835,32.2185,1.632,111.9137,14.9835,298.9736,298.9736,,4349.532,1693.6939,1591.5274,104.2835,34.6048,418.5842,506.8382,1449.5,1152.4836,22.7826,274.2338,173.0546,164.3959,,,8.6587,18.683,1.312,,17.371,256.678
2017,29691.7738,8166.7819,787.6154,2700.2806,2449.1383,2229.7476,21524.9919,6094.1695,174.8938,99.2256,198.34,501.2998,2331.0862,209.0035,2068.0741,270.1721,242.0744,4207.7829,358.0674,282.9124,451.9338,1630.9891,734.438,139.2911,610.1511,386.2885,110.4023,107.0075,27.9688,140.9099,3457.9515,990.5598,1955.0359,132.5945,379.7613,292.6604,102.2027,59.14,36.9874,11.7446,6.9274,2.05,1.28,72.3283,255.6322,319.0272,147.8308,40.6971,5.632,107.6893,17.178,263.0857,263.0857,,4315.8975,1680.5644,1567.7993,120.2935,34.6048,416.9937,495.6418,1452.8325,1130.2105,27.693,294.929,146.8675,140.7088,,,6.1587,23.5185,2.784,,20.7345,309.278
2016,30023.3736,8009.9279,789.9751,2798.3322,2402.5059,2019.1147,22013.4457,6553.3569,156.4891,116.4209,376.208,544.0978,2309.2092,227.5227,2308.1878,280.7314,234.49,4371.8321,364.7592,293.4265,428.5616,1687.6456,632.9336,397.2684,567.2372,405.9773,118.6638,108.8365,35.0508,143.4262,3210.8585,902.2405,1795.6032,128.754,384.2608,274.0561,88.0527,59.14,11.941,13.7204,8.4756,2.05,1.28,89.3964,192.982,323.0237,149.572,35.1876,5.68,114.8761,17.708,265.2735,265.2735,,4357.3319,1696.7232,1609.626,111.6865,37.3768,417.4564,484.463,1512.9465,1172.3668,27.693,312.8867,207.7773,201.6186,,,6.1587,25.5165,2.784,,22.7325,312.5134
2015,30065.7328,7978.0696,849.1552,2905.1418,2374.1254,1849.6472,22087.6632,6756.0741,144.2876,106.3832,376.208,571.6238,2461.0135,230.2807,2335.6137,278.2272,252.4364,4415.4391,362.2389,281.351,493.4686,1650.6109,629.3406,404.1474,594.2817,404.0027,119.7625,106.68,35.5191,142.0411,3143.0495,876.1337,1751.3853,127.8584,387.6721,295.5269,108.6859,56.44,11.941,17.232,9.1513,2.05,,90.0267,194.9538,334.651,153.447,38.5864,2.0866,125.623,14.908,137.9874,137.9874,,4227.4049,1499.5377,1627.3366,116.8014,37.3768,466.3503,480.0021,1500.1497,1160.6664,27.693,311.7903,332.2142,325.1487,,,7.0655,34.2986,2.784,,31.5146,311.9113
2014,29567.9201,7455.2148,783.339,2669.0863,2295.3276,1707.4619,22112.7053,6861.1999,148.7442,109.0445,550.588,553.0502,2313.4249,226.9817,2477.5967,244.0909,237.6788,4275.3631,369.8692,295.7651,482.6168,1551.7178,577.6615,398.8724,598.8603,386.1698,114.5525,87.3184,33.9317,150.3672,3216.0542,959.8497,1700.9732,126.9139,428.3174,296.5341,114.2942,56.24,11.941,10.8881,9.7513,1.75,,91.6695,189.6966,348.2702,155.9014,35.7099,2.0866,138.6943,15.878,257.8979,257.8979,,4141.0231,1403.8418,1613.7842,132.7759,32.2268,486.8484,471.546,1471.3285,1118.826,25.6366,326.8659,336.74,329.6745,,,7.0655,36.684,3.1882,,33.4958,295.7439
2013,28868.3344,6915.7362,726.6117,2586.2004,2140.8721,1462.052,21952.5982,6795.4238,138.9942,110.6423,686.0218,551.2922,2067.12,216.0562,2522.3485,266.1586,236.79,4316.3197,361.6525,303.137,469.6914,1596.2433,581.8729,396.9224,606.8002,461.7778,171.4499,101.7844,34.6817,153.8618,3242.0372,957.112,1663.7684,150.7759,470.3809,277.2983,102.6882,51.54,11.941,8.12,10.3413,1.88,0.67,90.1178,92.3948,357.3417,157.2878,42.011,2.0866,142.309,13.6473,227.8907,227.8907,,3994.5237,1357.7131,1583.1436,108.1379,12.2168,462.5328,470.7795,1502.2118,1149.4575,26.1366,326.6177,340.0971,334.1416,,,5.9555,38.474,3.1882,,35.2858,306.8076
2012,27899.3712,6724.1666,751.1747,2612.9403,2055.5855,1304.4661,21175.2046,6258.4533,141.1981,106.6203,686.5634,570.916,1455.3403,211.037,2600.5587,266.9575,219.262,4271.6869,394.9882,277.5796,489.0307,1558.9465,582.3879,402.4691,566.2849,475.7826,122.7052,97.9094,33.4459,221.7221,2924.2789,712.6428,1646.2372,142.2702,423.1287,281.2381,99.9479,52.3,11.941,11.4494,10.0609,2.88,0.67,91.9889,93.298,382.3812,169.3088,45.2375,2.08,147.2239,18.531,153.1949,143.5669,9.628,3831.816,1274.993,1465.9926,93.0716,10.4148,489.8045,497.5395,1459.2727,1105.6893,30.0529,323.5305,666.8631,660.9076,,,5.9555,43.0216,3.812,0.66,38.5496,333.9173
2011,26234.5039,5899.644,734.1888,2145.5552,1779.5198,1240.3802,20334.8599,6548.3789,147.6522,111.8107,701.7507,552.5968,1592.6548,205.9774,2658.4891,288.3519,289.0953,4158.6693,425.7698,242.7328,478.0288,1536.874,587.902,458.246,429.1159,476.5886,169.7619,76.1639,21.4281,209.2347,2733.8467,669.1505,1499.5167,155.6978,409.4817,307.3376,112.2319,52.62,11.941,10.1694,10.1289,3.98,0.67,105.5964,75.6302,270.2337,73.8395,44.8021,1.76,130.2935,19.5386,132.249,123.249,9.0,3427.0892,1089.4506,1268.456,82.6823,9.184,360.0572,617.2591,1318.0029,991.7165,30.7528,295.5336,658.4109,652.1708,,1.2,5.0401,37.1205,1.862,,35.2585,191.3024
2010,24832.3113,5740.1634,810.3183,2011.4897,1711.1215,1207.2339,19092.1479,6082.1474,146.0241,93.6754,587.9492,450.6084,1535.4058,231.9937,2354.2663,276.6653,405.5592,4063.6756,455.094,311.2759,378.2291,1586.8521,579.1758,335.7746,417.2741,423.9654,163.0037,71.437,21.1431,168.3816,2492.2892,592.1832,1368.7703,145.2953,386.0404,279.3196,94.2973,57.8,5.075,12.6137,10.1289,3.98,0.67,94.7547,68.8071,267.4744,79.9545,37.1574,1.56,122.3429,26.4596,93.5661,86.8431,6.723,3202.178,1094.9629,1100.5359,66.7631,10.473,448.1298,481.3133,1200.6853,902.4258,33.0528,265.2067,645.8933,640.6464,,,5.2469,42.1998,1.8133,,40.3865,229.9467
