年份,亿元以上商品交易市场数量,综合市场数量,生产资料综合市场数量,工业消费品综合市场数量,农产品综合市场数量,其他综合市场数量,专业市场数量,生产资料市场数量,农业生产用具市场数量,农用生产资料市场数量,煤炭市场数量,木材市场数量,建材市场数量,化工材料及制品市场数量,金属材料市场数量,机械设备市场数量,其他生产资料市场数量,农产品市场数量,粮油市场数量,肉禽蛋市场数量,水产品市场数量,蔬菜市场数量,干鲜果品市场数量,棉麻土畜、烟叶市场数量,其他农产品市场数量,食品、饮料及烟酒市场数量,食品饮料市场数量,茶叶市场数量,烟酒市场数量,其他食品饮料及烟酒市场数量,纺织、服装、鞋帽市场数量,布料及纺织品市场数量,服装市场数量,鞋帽市场数量,其他纺织服装鞋帽市场数量,日用品及文化用品市场数量,小商品市场数量,箱包市场数量,玩具市场数量,文具市场数量,图书、报刊杂志市场数量,音像制品及电子出版物市场数量,体育用品市场数量,其他日用品及文化用品市场数量,黄金、珠宝、玉器等首饰市场数量,电器、通讯器材、电子设备市场数量,家电市场数量,通讯器材市场数量,照相、摄像器材市场数量,计算机及辅助设备市场数量,其他电器、通讯器材、电子设备市场数量,医药、医疗用品及器材市场数量,中药材市场数量,其他医药、医疗用品及器材市场数量,家具、五金及装饰材料市场数量,家具市场数量,装饰材料市场数量,灯具市场数量,厨具、盥洗设备市场数量,五金材料市场数量,其他装修市场数量,汽车、摩托车及零配件市场数量,汽车市场数量,摩托车市场数量,机动车零配件市场数量,花、鸟、鱼、虫市场数量,花卉市场数量,鸟市场数量,观赏鱼市场数量,其他花鸟鱼虫市场数量,旧货市场数量,古玩、古董、字画市场数量,邮票、硬币市场数量,其他旧货市场数量,其他专业市场数量
2019,4037,1194,40,217,634,303,2843,510,11,16,3,32,191,22,161,40,34,796,81,93,127,224,105,11,155,98,26,29,8,35,421,54,274,33,60,74,35,5,3,2,4,1,1,23,24,98,29,16,2,44,7,21,21,,494,158,197,13,3,67,56,239,177,7,55,23,19,,,4,8,1,,7,37
2018,4296,1254,43,237,648,326,3042,549,14,17,4,35,204,26,171,46,32,853,85,101,134,244,113,11,165,104,26,32,9,37,455,60,286,36,73,77,34,5,4,2,5,2,1,24,23,107,30,17,2,51,7,21,21,,532,169,213,14,6,68,62,246,181,7,58,25,19,,,6,9,1,,8,41
2017,4617,1309,47,267,661,334,3308,607,17,25,4,40,214,31,195,45,36,937,100,108,139,274,124,15,177,117,34,29,10,44,511,67,327,38,79,79,32,5,4,4,6,3,1,24,25,121,32,20,3,56,10,22,22,,555,174,221,16,6,77,61,250,178,10,62,28,23,,,5,12,2,,10,44
2016,4861,1369,49,292,681,347,3492,655,20,28,6,46,218,33,219,49,36,966,106,116,141,293,129,18,163,124,38,28,12,46,541,71,340,38,92,85,33,5,3,5,8,3,1,27,25,128,33,20,3,61,11,23,23,,583,179,240,15,5,79,65,269,189,10,70,30,25,,,5,13,2,,11,50
2015,4952,1379,51,302,683,343,3573,680,19,28,6,51,227,35,229,49,36,979,103,125,145,299,129,21,157,124,41,26,14,43,552,69,354,38,91,92,38,5,3,6,8,3,,29,26,141,35,23,2,72,9,22,22,,585,173,249,17,5,78,63,270,186,10,74,29,24,,,5,17,2,,15,56
2014,5023,1376,51,305,683,337,3647,693,20,30,12,53,211,36,250,46,35,999,105,126,145,304,136,21,162,130,43,25,14,48,570,73,362,38,97,94,39,5,3,4,10,2,,31,26,154,38,26,2,78,10,25,25,,576,162,247,18,4,80,65,273,186,9,78,30,25,,,5,20,3,,17,57
2013,5089,1381,46,315,689,331,3708,699,20,33,14,56,192,37,264,47,36,1019,103,134,150,312,137,22,161,142,52,28,15,47,576,73,359,39,105,91,36,4,3,3,11,2,1,31,27,161,41,31,2,79,8,25,25,,577,159,252,17,4,78,67,283,190,10,83,29,25,,,4,20,3,,17,59
2012,5194,1392,49,330,715,298,3802,731,21,33,16,61,189,41,284,49,37,1044,111,121,160,312,147,24,169,159,56,29,15,59,578,75,353,40,110,95,32,5,3,4,12,3,1,35,28,168,45,27,2,82,12,26,25,1.0,572,158,248,15,4,80,67,291,195,13,83,29,25,,,4,21,3,1.0,17,60
2011,5075,1368,57,314,702,295,3707,764,19,35,18,59,210,41,289,51,42,1020,111,114,157,313,147,34,144,159,55,27,13,64,559,80,335,44,100,104,35,6,3,3,12,4,1,40,22,162,40,24,2,82,14,26,25,1.0,525,138,229,15,4,75,64,273,181,13,79,28,24,,1.0,3,20,3,,17,45
2010,4940,1341,62,310,691,278,3599,754,17,32,16,56,212,43,287,48,43,981,109,124,150,295,147,23,133,154,62,26,13,53,553,77,344,41,91,105,35,7,2,5,12,4,1,39,19,160,40,24,2,78,16,25,23,2.0,480,135,195,11,4,80,55,270,185,13,72,27,24,,,3,21,3,,18,50
