年份,农、林、牧产品批发负债合计,食品、饮料及烟草制品批发负债合计,米、面制品及食用油批发负债合计,烟草制品批发负债合计,纺织、服装及日用品批发负债合计,服装批发负债合计,文化、体育用品及器材批发负债合计,医药及医疗器材批发负债合计,矿产品、建材及化工产品批发负债合计,煤炭及制品批发负债合计,石油及制品批发负债合计,金属及金属矿批发负债合计,建材批发负债合计,化肥批发负债合计,机械设备、五金交电及电子产品批发负债合计,汽车、摩托车及零配件批发负债合计,日用家电批发负债合计,计算机、软件及辅助设备批发负债合计,贸易经纪与代理负债合计,其他批发负债合计
2019,8020.9194,16510.7207,4398.1412,1323.2995,20278.3305,3597.4156,5434.7628,16412.3276,105398.6948,14445.363,18446.3517,45305.3637,10540.9836,2360.232,34375.5182,11786.4191,6786.8833,2692.8999,4137.512,3606.6463
2018,6777.1,13900.0,3699.8,1499.0,17539.4,3159.2,4587.6,13431.2,87449.9,11373.6,15941.2,37477.3,7860.5,2286.7,30050.2,10335.3,5781.6,2524.9,3659.1,2856.2
2017,5831.218,12426.638,3403.046,1404.872,16757.837,3131.621,4341.532,11129.493,77379.74,11876.717,14921.134,30811.121,6362.505,2229.469,26220.07,7644.117,7540.651,2059.892,4063.211,3447.027
2016,5874.3891,11749.6447,3334.957,1489.921,12830.5731,3271.1526,3658.6219,9104.2064,70270.3881,11458.4154,13115.7145,28029.4266,5673.0525,2437.5827,24117.5017,6706.5471,4180.8166,1774.378,3678.7329,3760.2581
2015,5002.1883,10531.0593,2951.0934,1241.4492,12256.4759,3433.673,3292.2021,7860.2477,64715.5168,10670.1258,13199.6454,24937.1721,4929.687,2805.2562,21201.5288,5911.6759,3734.9446,1523.0953,3746.4365,3408.2428
2014,5044.2804,9054.29019,2907.6223,1043.38945,12008.93097,3192.19664,3057.1921,6787.44364,66920.54876,10791.8915,11493.75865,28300.08487,4922.1905,2795.39121,19645.24262,5487.2254,3839.03541,1397.83524,4187.47921,3464.16064
2013,4190.46501,8259.12714,2689.7878,1124.20438,10790.52899,2599.93472,2478.45012,5568.72269,61209.22809,10040.93037,11580.53766,25951.17297,4220.74909,2208.00495,16732.35015,4817.53471,3337.62487,1144.86334,3531.36821,3064.23344
2012,3517.46318,6578.75463,2330.56959,1130.7083,8762.67973,2174.82349,2312.21339,4447.5403,49061.78167,8036.14995,8838.85896,21178.0502,3352.63295,2127.56813,13713.22429,3808.99922,2818.98558,1070.25224,2924.83134,2499.08804
2011,3166.2907,5669.9411,1661.4093,1124.0913,5238.0194,2018.079,1314.9034,3726.9586,40118.6339,5733.9489,7326.3774,18236.4523,2800.6912,1600.339,14357.1157,3630.5629,2529.6455,1417.5927,3003.2316,2195.1041
2010,3042.7,4375.2,1517.1,871.9,3790.6,1313.5,1023.3,2735.1,29684.8,3948.8,5445.2,13710.9,2106.2,1133.2,11330.5,2850.9,2025.0,809.6,2838.4,1607.8
2009,2415.045,3292.71953,1055.81626,735.13149,3038.53027,1032.33511,810.13123,2260.5343,22349.30868,2652.40077,4484.37513,10154.17266,1629.00223,905.85402,9073.62445,2080.96572,1688.66314,620.02631,1935.98872,1161.6534
2008,2131.9793,3074.0402,1027.4213,686.8905,2882.55,1091.099,756.0325,1881.7133,19727.1443,2078.7541,3761.4891,9229.7274,1335.6587,1041.6412,7522.18,1702.6438,1096.1839,437.0504,1808.3425,1008.1712
2007,2087.10011,2107.26845,560.54974,633.79882,2037.1417,742.98021,496.78898,1380.1738,12613.03585,958.8627,3069.8806,5669.06167,911.55182,648.90818,4998.80442,916.68417,811.01079,302.69683,600.99574,1131.48427
2006,2277.1279,1982.8409,544.75,695.1601,1741.7887,640.7443,429.4246,1223.8867,9162.0318,754.1655,2230.5889,3962.0684,643.3388,542.1189,3907.1142,731.1656,641.3971,257.0113,674.1727,851.2137
2005,2470.3957,1960.55053,557.11687,707.99769,1514.51795,512.99641,380.89053,1093.18158,7816.71737,649.56819,2000.76774,3192.98976,557.06048,442.09339,3636.6364,842.5397,583.19655,312.41803,241.24363,1085.36807
2004,2624.97409,2284.41231,689.35534,830.25031,1491.43818,458.02664,375.95277,1069.60864,7313.38744,583.04494,1968.50655,2939.04008,493.24271,381.41805,4051.39708,1025.98075,578.5725,312.83662,202.7054,791.44542
2003,1798.41645,1917.95231,589.43639,797.70466,1435.12306,439.10928,335.3226,774.60212,4184.00522,278.92421,1199.11209,1652.35147,244.80315,351.68425,2311.69402,594.94051,209.0744,88.61713,321.084,374.01864
2002,,2764.6179,1388.8173,810.179,,,,652.6852,,214.9209,1300.1858,,122.2742,,,404.0337,,,,
2001,,2748.446,1298.7104,838.4645,,,,577.0202,,204.9042,1243.5337,,94.8878,,,438.5139,,,,
2000,,3127.6927,1323.5512,1161.0401,,,,505.8962,,229.6377,1168.3276,922.271,97.2239,,849.0,449.3869,,,,594.8253
